 neg. daughter al23 z=13 n=10 a=23 Q=  6.7680
 pos. daughter mg23 z=12 n=11 a=23 Q= -5.4706
              +++++++++al23 -->mg23 +++++++++---------mg23 -->al23 ----------
    t9  lrho   uf   lbeta+  leps-     lnu    lbeta-   leps+   lnubar
  0.01  1.0 -0.003   0.204  -5.818    0.880 -99.999 -99.999  -99.999
  0.10  1.0 -0.058   0.204  -6.304    0.880 -99.999 -99.999  -99.999
  0.20  1.0 -0.134   0.204  -6.427    0.880 -99.999 -99.999  -99.999
  0.40  1.0 -0.306   0.204  -6.532    0.880 -99.999 -99.999  -99.999
  0.70  1.0 -0.503   0.204  -5.958    0.880 -99.999 -88.439  -89.170
  1.00  1.0 -0.511   0.204  -4.672    0.880 -85.080 -62.578  -63.150
  1.50  1.0 -0.511   0.204  -3.520    0.880 -56.306 -42.335  -42.724
  2.00  1.0 -0.511   0.204  -2.862    0.881 -41.936 -32.114  -32.371
  3.00  1.0 -0.511   0.209  -2.076    0.889 -27.595 -21.742  -21.811
  5.00  1.0 -0.511   0.252  -1.218    0.966 -16.147 -13.189  -13.014
 10.00  1.0 -0.511   0.476  -0.138    1.385  -7.585  -6.300   -5.765
 30.00  1.0 -0.511   2.299   2.323    3.794  -2.154  -0.144    0.934
100.00  1.0 -0.511   3.311   5.343    7.055  -0.458   4.039    5.637
  0.01  2.0 -0.001   0.204  -4.838    0.880 -99.999 -99.999  -99.999
  0.10  2.0 -0.038   0.204  -5.304    0.880 -99.999 -99.999  -99.999
  0.20  2.0 -0.095   0.204  -5.428    0.880 -99.999 -99.999  -99.999
  0.40  2.0 -0.227   0.204  -5.532    0.880 -99.999 -99.999  -99.999
  0.70  2.0 -0.446   0.204  -5.545    0.880 -99.999 -88.852  -89.583
  1.00  2.0 -0.506   0.204  -4.650    0.880 -85.080 -62.599  -63.171
  1.50  2.0 -0.511   0.204  -3.519    0.880 -56.306 -42.336  -42.725
  2.00  2.0 -0.511   0.204  -2.862    0.881 -41.936 -32.114  -32.371
  3.00  2.0 -0.511   0.209  -2.076    0.889 -27.595 -21.742  -21.811
  5.00  2.0 -0.511   0.252  -1.218    0.966 -16.147 -13.189  -13.014
 10.00  2.0 -0.511   0.476  -0.138    1.385  -7.585  -6.300   -5.765
 30.00  2.0 -0.511   2.299   2.323    3.794  -2.154  -0.144    0.934
100.00  2.0 -0.511   3.311   5.343    7.055  -0.458   4.039    5.637
  0.01  3.0  0.003   0.204  -3.937    0.880 -99.999 -99.999  -99.999
  0.10  3.0 -0.018   0.204  -4.309    0.880 -99.999 -99.999  -99.999
  0.20  3.0 -0.055   0.204  -4.429    0.880 -99.999 -99.999  -99.999
  0.40  3.0 -0.147   0.204  -4.532    0.880 -99.999 -99.999  -99.999
  0.70  3.0 -0.314   0.204  -4.597    0.880 -99.999 -89.800  -90.532
  1.00  3.0 -0.465   0.204  -4.444    0.880 -85.080 -62.805  -63.377
  1.50  3.0 -0.506   0.204  -3.504    0.880 -56.306 -42.351  -42.739
  2.00  3.0 -0.510   0.204  -2.859    0.881 -41.936 -32.117  -32.374
  3.00  3.0 -0.511   0.209  -2.075    0.889 -27.595 -21.743  -21.811
  5.00  3.0 -0.511   0.252  -1.218    0.966 -16.147 -13.189  -13.014
 10.00  3.0 -0.511   0.476  -0.138    1.385  -7.585  -6.300   -5.765
 30.00  3.0 -0.511   2.299   2.323    3.794  -2.154  -0.144    0.934
100.00  3.0 -0.511   3.311   5.343    7.055  -0.458   4.039    5.637
  0.01  4.0  0.012   0.204  -3.265    0.880 -99.999 -99.999  -99.999
  0.10  4.0  0.005   0.204  -3.360    0.880 -99.999 -99.999  -99.999
  0.20  4.0 -0.013   0.204  -3.446    0.880 -99.999 -99.999  -99.999
  0.40  4.0 -0.067   0.204  -3.537    0.880 -99.999 -99.999  -99.999
  0.70  4.0 -0.174   0.204  -3.599    0.880 -99.999 -90.807  -91.538
  1.00  4.0 -0.302   0.204  -3.626    0.880 -85.080 -63.627  -64.199
  1.50  4.0 -0.464   0.204  -3.364    0.880 -56.306 -42.492  -42.881
  2.00  4.0 -0.497   0.204  -2.827    0.881 -41.936 -32.149  -32.406
  3.00  4.0 -0.507   0.209  -2.070    0.890 -27.595 -21.748  -21.817
  5.00  4.0 -0.510   0.252  -1.217    0.966 -16.147 -13.190  -13.015
 10.00  4.0 -0.511   0.476  -0.138    1.385  -7.585  -6.300   -5.765
 30.00  4.0 -0.511   2.299   2.323    3.794  -2.154  -0.144    0.934
100.00  4.0 -0.511   3.311   5.343    7.055  -0.458   4.039    5.637
  0.01  5.0  0.053   0.204  -2.515    0.881 -99.999 -99.999  -99.999
  0.10  5.0  0.052   0.204  -2.521    0.881 -99.999 -99.999  -99.999
  0.20  5.0  0.047   0.204  -2.534    0.881 -99.999 -99.999  -99.999
  0.40  5.0  0.026   0.204  -2.573    0.881 -99.999 -99.999  -99.999
  0.70  5.0 -0.026   0.204  -2.611    0.880 -99.999 -91.873  -92.605
  1.00  5.0 -0.098   0.204  -2.635    0.880 -85.080 -64.659  -65.231
  1.50  5.0 -0.246   0.204  -2.646    0.881 -56.306 -43.226  -43.615
  2.00  5.0 -0.383   0.204  -2.545    0.881 -41.937 -32.437  -32.695
  3.00  5.0 -0.476   0.209  -2.019    0.890 -27.595 -21.801  -21.870
  5.00  5.0 -0.502   0.252  -1.210    0.966 -16.147 -13.198  -13.024
 10.00  5.0 -0.509   0.476  -0.137    1.385  -7.585  -6.301   -5.766
 30.00  5.0 -0.511   2.299   2.323    3.794  -2.154  -0.144    0.934
100.00  5.0 -0.511   3.311   5.343    7.055  -0.458   4.039    5.637
  0.01  6.0  0.215   0.204  -1.656    0.887 -99.999 -99.999  -99.999
  0.10  6.0  0.214   0.204  -1.656    0.887 -99.999 -99.999  -99.999
  0.20  6.0  0.213   0.204  -1.655    0.887 -99.999 -99.999  -99.999
  0.40  6.0  0.206   0.204  -1.657    0.887 -99.999 -99.999  -99.999
  0.70  6.0  0.189   0.204  -1.659    0.887 -99.999 -93.423  -94.154
  1.00  6.0  0.161   0.204  -1.662    0.887 -85.083 -65.962  -66.534
  1.50  6.0  0.093   0.204  -1.663    0.887 -56.309 -44.364  -44.753
  2.00  6.0  0.001   0.204  -1.661    0.888 -41.939 -33.404  -33.661
  3.00  6.0 -0.212   0.209  -1.601    0.896 -27.597 -22.244  -22.313
  5.00  6.0 -0.420   0.252  -1.131    0.970 -16.148 -13.281  -13.106
 10.00  6.0 -0.491   0.476  -0.128    1.387  -7.585  -6.310   -5.774
 30.00  6.0 -0.509   2.299   2.323    3.794  -2.154  -0.144    0.934
100.00  6.0 -0.511   3.311   5.343    7.055  -0.458   4.039    5.637
  0.01  7.0  0.711   0.204  -0.671    0.949 -99.999 -99.999  -99.999
  0.10  7.0  0.711   0.204  -0.670    0.949 -99.999 -99.999  -99.999
  0.20  7.0  0.711   0.204  -0.670    0.949 -99.999 -99.999  -99.999
  0.40  7.0  0.708   0.204  -0.669    0.949 -99.999 -99.999  -99.999
  0.70  7.0  0.701   0.204  -0.668    0.950 -99.999 -97.106  -97.837
  1.00  7.0  0.689   0.204  -0.666    0.950 -85.109 -68.625  -69.197
  1.50  7.0  0.662   0.204  -0.660    0.952 -56.334 -46.275  -46.664
  2.00  7.0  0.622   0.204  -0.654    0.954 -41.964 -34.970  -35.227
  3.00  7.0  0.510   0.209  -0.638    0.963 -27.619 -23.458  -23.527
  5.00  7.0  0.187   0.254  -0.582    1.029 -16.164 -13.892  -13.715
 10.00  7.0 -0.315   0.477  -0.045    1.413  -7.591  -6.399   -5.859
 30.00  7.0 -0.490   2.299   2.326    3.796  -2.154  -0.148    0.931
100.00  7.0 -0.509   3.311   5.343    7.055  -0.458   4.038    5.637
  0.01  8.0  1.936   0.204   0.435    1.423 -99.999 -99.999  -99.999
  0.10  8.0  1.936   0.204   0.435    1.423 -99.999 -99.999  -99.999
  0.20  8.0  1.935   0.204   0.435    1.423 -99.999 -99.999  -99.999
  0.40  8.0  1.934   0.204   0.435    1.423 -99.999 -99.999  -99.999
