 neg. daughter al24 z=13 n=11 a=24 Q= -0.0520
 pos. daughter mg24 z=12 n=12 a=24 Q=-13.9306
              +++++++++al24 -->mg24 +++++++++---------mg24 -->al24 ----------
    t9  lrho   uf   lbeta+  leps-     lnu    lbeta-   leps+   lnubar
  0.01  1.0 -0.003  -0.438  -5.933   -0.052 -99.999 -99.999  -99.999
  0.10  1.0 -0.058  -0.438  -6.419   -0.052 -99.999 -99.999  -99.999
  0.20  1.0 -0.134  -0.438  -6.543   -0.052 -99.999 -99.999  -99.999
  0.40  1.0 -0.306  -0.438  -6.647   -0.052 -99.999 -99.999  -99.999
  0.70  1.0 -0.503  -0.438  -6.072   -0.051 -99.999 -99.581  -99.999
  1.00  1.0 -0.511  -0.433  -4.785   -0.040 -99.999 -70.171  -70.742
  1.50  1.0 -0.511  -0.407  -3.633    0.025 -68.425 -47.151  -47.538
  2.00  1.0 -0.511  -0.358  -2.974    0.129 -50.595 -35.509  -35.764
  3.00  1.0 -0.511  -0.242  -2.187    0.345 -32.751 -23.679  -23.746
  5.00  1.0 -0.511  -0.038  -1.329    0.666 -18.482 -13.943  -13.767
 10.00  1.0 -0.511   0.247  -0.246    1.179  -7.857  -6.227   -5.705
 30.00  1.0 -0.511   1.777   1.956    3.346  -1.200   0.041    1.169
100.00  1.0 -0.511   3.020   5.043    6.732   0.713   4.244    5.866
  0.01  2.0 -0.001  -0.438  -4.954   -0.052 -99.999 -99.999  -99.999
  0.10  2.0 -0.038  -0.438  -5.420   -0.052 -99.999 -99.999  -99.999
  0.20  2.0 -0.095  -0.438  -5.543   -0.052 -99.999 -99.999  -99.999
  0.40  2.0 -0.227  -0.438  -5.647   -0.052 -99.999 -99.999  -99.999
  0.70  2.0 -0.446  -0.438  -5.659   -0.051 -99.999 -99.994  -99.999
  1.00  2.0 -0.506  -0.433  -4.764   -0.040 -99.999 -70.193  -70.764
  1.50  2.0 -0.511  -0.407  -3.632    0.025 -68.425 -47.152  -47.539
  2.00  2.0 -0.511  -0.358  -2.974    0.129 -50.595 -35.510  -35.765
  3.00  2.0 -0.511  -0.242  -2.187    0.345 -32.751 -23.679  -23.746
  5.00  2.0 -0.511  -0.038  -1.329    0.666 -18.482 -13.943  -13.767
 10.00  2.0 -0.511   0.247  -0.246    1.179  -7.857  -6.227   -5.705
 30.00  2.0 -0.511   1.777   1.956    3.346  -1.200   0.041    1.169
100.00  2.0 -0.511   3.020   5.043    6.732   0.713   4.244    5.866
  0.01  3.0  0.003  -0.438  -4.053   -0.052 -99.999 -99.999  -99.999
  0.10  3.0 -0.018  -0.438  -4.425   -0.052 -99.999 -99.999  -99.999
  0.20  3.0 -0.055  -0.438  -4.545   -0.052 -99.999 -99.999  -99.999
  0.40  3.0 -0.147  -0.438  -4.647   -0.052 -99.999 -99.999  -99.999
  0.70  3.0 -0.314  -0.438  -4.712   -0.051 -99.999 -99.999  -99.999
  1.00  3.0 -0.465  -0.433  -4.558   -0.040 -99.999 -70.399  -70.970
  1.50  3.0 -0.506  -0.407  -3.617    0.025 -68.425 -47.166  -47.554
  2.00  3.0 -0.510  -0.358  -2.971    0.129 -50.595 -35.513  -35.768
  3.00  3.0 -0.511  -0.242  -2.186    0.345 -32.751 -23.680  -23.746
  5.00  3.0 -0.511  -0.038  -1.329    0.666 -18.482 -13.943  -13.767
 10.00  3.0 -0.511   0.247  -0.246    1.179  -7.857  -6.227   -5.705
 30.00  3.0 -0.511   1.777   1.956    3.346  -1.200   0.041    1.169
100.00  3.0 -0.511   3.020   5.043    6.732   0.713   4.244    5.866
