 neg. daughter al28 z=13 n=15 a=28 Q=-16.8482
 pos. daughter mg28 z=12 n=16 a=28 Q=-15.0164
              +++++++++al28 -->mg28 +++++++++---------mg28 -->al28 ----------
    t9  lrho   uf   lbeta+  leps-     lnu    lbeta-   leps+   lnubar
  0.01  1.0 -0.003 -99.999 -99.999  -99.999  -4.966 -99.999   -5.471
  0.10  1.0 -0.058 -99.999 -99.999  -99.999  -4.966 -55.274   -5.471
  0.20  1.0 -0.134 -99.999 -58.330  -59.599  -4.966 -28.379   -5.471
  0.40  1.0 -0.306 -77.089 -34.834  -35.785  -4.966 -14.383   -5.471
  0.70  1.0 -0.503 -44.773 -23.939  -24.624  -4.966  -8.583   -5.471
  1.00  1.0 -0.511 -31.851 -18.414  -18.922  -4.966  -7.082   -5.455
  1.50  1.0 -0.511 -21.802 -13.845  -14.152  -4.927  -5.807   -5.107
  2.00  1.0 -0.511 -16.778 -11.399  -11.564  -4.529  -5.041   -4.277
  3.00  1.0 -0.511 -11.756  -8.692   -8.663  -3.478  -4.101   -3.131
  5.00  1.0 -0.511  -7.723  -6.014   -5.748  -2.394  -2.921   -1.850
 10.00  1.0 -0.511  -4.657  -2.895   -2.335  -0.082  -1.052    0.621
 30.00  1.0 -0.511  -0.316   1.403    2.459   1.379   2.081    3.370
100.00  1.0 -0.511   2.032   4.774    6.423   1.713   4.915    6.565
  0.01  2.0 -0.001 -99.999 -99.999  -99.999  -4.967 -99.999   -5.472
  0.10  2.0 -0.038 -99.999 -99.999  -99.999  -4.966 -56.276   -5.472
  0.20  2.0 -0.095 -99.999 -57.330  -58.599  -4.966 -29.380   -5.471
  0.40  2.0 -0.227 -77.089 -33.834  -34.785  -4.966 -15.383   -5.471
  0.70  2.0 -0.446 -44.773 -23.526  -24.211  -4.966  -8.996   -5.471
  1.00  2.0 -0.506 -31.851 -18.393  -18.901  -4.966  -7.104   -5.456
  1.50  2.0 -0.511 -21.802 -13.844  -14.150  -4.927  -5.809   -5.108
  2.00  2.0 -0.511 -16.778 -11.399  -11.564  -4.529  -5.042   -4.277
  3.00  2.0 -0.511 -11.756  -8.692   -8.663  -3.478  -4.101   -3.131
  5.00  2.0 -0.511  -7.723  -6.014   -5.748  -2.394  -2.921   -1.850
 10.00  2.0 -0.511  -4.657  -2.895   -2.335  -0.082  -1.052    0.621
 30.00  2.0 -0.511  -0.316   1.403    2.459   1.379   2.081    3.370
100.00  2.0 -0.511   2.032   4.774    6.423   1.713   4.915    6.565
  0.01  3.0  0.003 -99.999 -99.999  -99.999  -4.969 -99.999   -5.476
  0.10  3.0 -0.018 -99.999 -99.999  -99.999  -4.967 -57.293   -5.473
  0.20  3.0 -0.055 -99.999 -56.324  -57.593  -4.967 -30.386   -5.473
  0.40  3.0 -0.147 -77.089 -32.831  -33.783  -4.967 -16.385   -5.472
  0.70  3.0 -0.314 -44.773 -22.578  -23.263  -4.967  -9.945   -5.472
  1.00  3.0 -0.465 -31.851 -18.186  -18.695  -4.967  -7.310   -5.462
  1.50  3.0 -0.506 -21.802 -13.829  -14.136  -4.927  -5.823   -5.112
  2.00  3.0 -0.510 -16.778 -11.396  -11.561  -4.529  -5.045   -4.278
  3.00  3.0 -0.511 -11.756  -8.692   -8.663  -3.478  -4.101   -3.131
  5.00  3.0 -0.511  -7.723  -6.014   -5.748  -2.394  -2.921   -1.850
 10.00  3.0 -0.511  -4.657  -2.895   -2.335  -0.082  -1.052    0.621
 30.00  3.0 -0.511  -0.316   1.403    2.459   1.379   2.081    3.370
100.00  3.0 -0.511   2.032   4.774    6.423   1.713   4.915    6.565
  0.01  4.0  0.012 -99.999 -99.999  -99.999  -4.980 -99.999   -5.492
  0.10  4.0  0.005 -99.999 -99.999  -99.999  -4.977 -58.450   -5.487
  0.20  4.0 -0.013 -99.999 -55.275  -56.543  -4.975 -31.440   -5.483
  0.40  4.0 -0.067 -77.089 -31.813  -32.765  -4.972 -17.403   -5.480
  0.70  4.0 -0.174 -44.773 -21.572  -22.257  -4.971 -10.951   -5.477
  1.00  4.0 -0.302 -31.851 -17.365  -17.873  -4.969  -8.132   -5.473
  1.50  4.0 -0.464 -21.802 -13.688  -13.994  -4.928  -5.964   -5.153
  2.00  4.0 -0.497 -16.778 -11.364  -11.529  -4.529  -5.076   -4.287
  3.00  4.0 -0.507 -11.756  -8.686   -8.657  -3.478  -4.106   -3.132
  5.00  4.0 -0.510  -7.723  -6.013   -5.747  -2.394  -2.922   -1.850
 10.00  4.0 -0.511  -4.657  -2.895   -2.335  -0.082  -1.053    0.621
 30.00  4.0 -0.511  -0.316   1.403    2.459   1.379   2.081    3.370
100.00  4.0 -0.511   2.032   4.774    6.423   1.713   4.915    6.565
  0.01  5.0  0.053 -99.999 -99.999  -99.999  -5.040 -99.999   -5.577
  0.10  5.0  0.052 -99.999 -99.404  -99.999  -5.039 -60.793   -5.575
  0.20  5.0  0.047 -99.999 -53.768  -55.036  -5.035 -32.947   -5.567
  0.40  5.0  0.026 -77.089 -30.643  -31.595  -5.022 -18.572   -5.548
  0.70  5.0 -0.026 -44.773 -20.505  -21.191  -5.009 -12.017   -5.527
  1.00  5.0 -0.098 -31.851 -16.334  -16.843  -4.999  -9.163   -5.511
  1.50  5.0 -0.246 -21.802 -12.955  -13.261  -4.945  -6.697   -5.267
  2.00  5.0 -0.383 -16.778 -11.076  -11.241  -4.533  -5.363   -4.356
  3.00  5.0 -0.476 -11.755  -8.633   -8.604  -3.479  -4.159   -3.144
  5.00  5.0 -0.502  -7.723  -6.005   -5.739  -2.394  -2.930   -1.853
 10.00  5.0 -0.509  -4.656  -2.894   -2.334  -0.082  -1.053    0.621
 30.00  5.0 -0.511  -0.316   1.403    2.459   1.379   2.081    3.370
100.00  5.0 -0.511   2.032   4.774    6.423   1.713   4.915    6.565
  0.01  6.0  0.215 -99.999 -99.999  -99.999  -5.451 -99.999   -6.153
  0.10  6.0  0.214 -99.999 -91.256  -92.818  -5.443 -68.983   -6.138
  0.20  6.0  0.213 -99.999 -49.604  -50.863  -5.435 -37.132   -6.123
  0.40  6.0  0.206 -77.089 -28.385  -29.331  -5.400 -20.844   -6.059
  0.70  6.0  0.189 -44.773 -18.963  -19.647  -5.332 -13.567   -5.942
  1.00  6.0  0.161 -31.851 -15.041  -15.549  -5.264 -10.466   -5.838
  1.50  6.0  0.093 -21.802 -11.828  -12.132  -5.112  -7.835   -5.423
  2.00  6.0  0.001 -16.778 -10.117  -10.279  -4.581  -6.328   -4.454
  3.00  6.0 -0.212 -11.754  -8.194   -8.164  -3.486  -4.596   -3.216
  5.00  6.0 -0.420  -7.722  -5.923   -5.658  -2.396  -3.011   -1.876
 10.00  6.0 -0.491  -4.656  -2.885   -2.326  -0.083  -1.062    0.619
 30.00  6.0 -0.509  -0.316   1.403    2.459   1.379   2.081    3.370
100.00  6.0 -0.511   2.032   4.774    6.423   1.713   4.915    6.565
  0.01  7.0  0.711 -99.999 -99.999  -99.999 -99.999 -99.999  -99.999
  0.10  7.0  0.711 -99.999 -75.209  -75.910 -21.721 -94.042  -23.318
  0.20  7.0  0.711 -99.999 -40.639  -41.326 -14.468 -49.674  -15.776
  0.40  7.0  0.708 -77.089 -23.365  -24.003 -10.409 -27.167  -11.440
  0.70  7.0  0.701 -44.773 -15.826  -16.347  -8.390 -17.250   -9.215
  1.00  7.0  0.689 -31.851 -12.697  -13.100  -7.371 -13.129   -7.919
  1.50  7.0  0.662 -21.802 -10.088  -10.333  -5.938  -9.746   -5.829
  2.00  7.0  0.622 -16.778  -8.659   -8.783  -4.784  -7.893   -4.597
  3.00  7.0  0.510 -11.754  -7.026   -6.977  -3.560  -5.808   -3.347
  5.00  7.0  0.187  -7.715  -5.321   -5.057  -2.425  -3.613   -1.994
 10.00  7.0 -0.315  -4.647  -2.797   -2.238  -0.123  -1.147    0.563
 30.00  7.0 -0.490  -0.316   1.406    2.462   1.379   2.078    3.367
100.00  7.0 -0.509   2.032   4.774    6.423   1.713   4.914    6.565
  0.01  8.0  1.936 -99.999 -99.999  -99.999 -99.999 -99.999  -99.999
  0.10  8.0  1.936 -99.999 -72.400  -72.329 -75.909 -99.999  -75.921
  0.20  8.0  1.935 -99.999 -37.846  -37.775 -38.774 -80.528  -38.784
  0.40  8.0  1.934 -77.089 -20.608  -20.534 -20.207 -42.613  -20.215
  0.70  8.0  1.931 -44.773 -13.219  -13.140 -12.246 -26.106  -12.250
  1.00  8.0  1.925 -31.851 -10.241  -10.154  -9.057 -19.359   -9.055
  1.50  8.0  1.913 -21.802  -7.871   -7.769  -6.566 -13.949   -6.550
  2.00  8.0  1.895 -16.778  -6.629   -6.509  -5.313 -11.100   -5.282
  3.00  8.0  1.844 -11.754  -5.268   -5.099  -4.027  -8.047   -3.956
  5.00  8.0  1.681  -7.713  -3.931   -3.633  -2.694  -5.115   -2.308
 10.00  8.0  0.982  -4.617  -2.153   -1.597  -0.159  -1.785    0.452
 30.00  8.0 -0.302  -0.314   1.438    2.493   1.373   2.048    3.337
100.00  8.0 -0.492   2.032   4.775    6.424   1.712   4.914    6.564
  0.01  9.0  4.671 -99.999  -2.259   -2.235 -99.999 -99.999  -99.999
  0.10  9.0  4.671 -99.999  -2.258   -2.234 -99.999 -99.999  -99.999
  0.20  9.0  4.671 -99.999  -2.255   -2.230 -78.045 -99.999  -79.336
  0.40  9.0  4.671 -77.089  -2.249   -2.220 -41.325 -77.092  -42.318
  0.70  9.0  4.665 -44.773  -2.245   -2.211 -25.176 -45.797  -25.944
  1.00  9.0  4.665 -31.851  -2.232   -2.188 -18.597 -33.169  -19.213
  1.50  9.0  4.660 -21.802  -2.208   -2.142 -13.299 -23.181  -13.730
  2.00  9.0  4.650 -16.778  -2.176   -2.082 -10.497 -18.043  -10.751
  3.00  9.0  4.625 -11.754  -2.071   -1.885  -7.155 -12.719   -6.957
  5.00  9.0  4.551  -7.713  -1.720   -1.342  -3.495  -8.008   -3.116
 10.00  9.0  4.197  -4.608  -0.615   -0.061  -0.548  -3.401   -0.077
 30.00  9.0  1.461  -0.300   1.731    2.785   1.304   1.762    3.060
100.00  9.0 -0.324   2.034   4.783    6.432   1.709   4.905    6.556
  0.01 10.0 10.608 -99.999   1.744    2.145 -99.999 -99.999  -99.999
  0.10 10.0 10.608 -99.999   1.744    2.145 -99.999 -99.999  -99.999
  0.20 10.0 10.608 -99.999   1.743    2.144 -99.999 -99.999  -99.999
  0.40 10.0 10.608 -77.089   1.743    2.144 -99.999 -99.999  -99.999
  0.70 10.0 10.608 -44.773   1.744    2.146 -64.999 -88.586  -65.748
  1.00 10.0 10.603 -31.851   1.744    2.147 -45.542 -63.095  -46.139
  1.50 10.0 10.603 -21.802   1.750    2.157 -30.273 -43.149  -30.699
  2.00 10.0 10.598 -16.778   1.756    2.168 -22.522 -33.032  -22.828
  3.00 10.0 10.588 -11.754   1.775    2.203 -14.578 -22.738  -14.739
  5.00 10.0 10.552  -7.713   1.833    2.307  -8.076 -14.057   -8.032
 10.00 10.0 10.389  -4.608   2.035    2.655  -2.895  -6.522   -2.620
 30.00 10.0  8.651  -0.285   2.891    3.954   0.615   0.565    1.911
100.00 10.0  1.351   2.056   4.865    6.515   1.675   4.823    6.473
  0.01 11.0 23.419 -99.999   4.474    5.578 -99.999 -99.999  -99.999
  0.10 11.0 23.424 -99.999   4.474    5.579 -99.999 -99.999  -99.999
