 neg. daughter ar33 z=18 n=15 a=33 Q= -9.3850
 pos. daughter cl33 z=17 n=16 a=33 Q=-21.0030
              +++++++++ar33 -->cl33 +++++++++---------cl33 -->ar33 ----------
    t9  lrho   uf   lbeta+  leps-     lnu    lbeta-   leps+   lnubar
  0.01  1.0 -0.003   0.652  -5.278    1.297 -99.999 -99.999  -99.999
  0.10  1.0 -0.058   0.652  -5.776    1.297 -99.999 -99.999  -99.999
  0.20  1.0 -0.134   0.652  -5.912    1.297 -99.999 -99.999  -99.999
  0.40  1.0 -0.306   0.652  -6.034    1.297 -99.999 -99.999  -99.999
  0.70  1.0 -0.503   0.652  -5.476    1.297 -99.999 -84.102  -84.835
  1.00  1.0 -0.511   0.652  -4.201    1.297 -80.962 -59.580  -60.155
  1.50  1.0 -0.511   0.652  -3.062    1.297 -53.728 -40.372  -40.764
  2.00  1.0 -0.511   0.652  -2.413    1.297 -40.112 -30.649  -30.912
  3.00  1.0 -0.511   0.653  -1.642    1.302 -26.498 -20.760  -20.836
  5.00  1.0 -0.511   0.656  -0.825    1.339 -15.590 -12.569  -12.405
 10.00  1.0 -0.511   0.761   0.135    1.666  -7.379  -6.004   -5.487
 30.00  1.0 -0.511   2.281   2.462    3.893  -2.081  -0.021    1.037
100.00  1.0 -0.511   3.083   5.352    7.059  -0.375   4.088    5.687
  0.01  2.0 -0.001   0.652  -4.298    1.297 -99.999 -99.999  -99.999
  0.10  2.0 -0.038   0.652  -4.776    1.297 -99.999 -99.999  -99.999
  0.20  2.0 -0.095   0.652  -4.912    1.297 -99.999 -99.999  -99.999
  0.40  2.0 -0.227   0.652  -5.034    1.297 -99.999 -99.999  -99.999
  0.70  2.0 -0.446   0.652  -5.063    1.297 -99.999 -84.515  -85.248
  1.00  2.0 -0.506   0.652  -4.179    1.297 -80.962 -59.602  -60.177
  1.50  2.0 -0.511   0.652  -3.061    1.297 -53.728 -40.373  -40.766
  2.00  2.0 -0.511   0.652  -2.412    1.297 -40.112 -30.650  -30.912
  3.00  2.0 -0.511   0.653  -1.642    1.302 -26.498 -20.760  -20.836
  5.00  2.0 -0.511   0.656  -0.825    1.339 -15.590 -12.569  -12.405
 10.00  2.0 -0.511   0.761   0.135    1.666  -7.379  -6.004   -5.487
 30.00  2.0 -0.511   2.281   2.462    3.893  -2.081  -0.021    1.037
100.00  2.0 -0.511   3.083   5.352    7.059  -0.375   4.088    5.687
  0.01  3.0  0.003   0.652  -3.397    1.297 -99.999 -99.999  -99.999
  0.10  3.0 -0.018   0.652  -3.782    1.297 -99.999 -99.999  -99.999
  0.20  3.0 -0.055   0.652  -3.914    1.297 -99.999 -99.999  -99.999
  0.40  3.0 -0.147   0.652  -4.034    1.297 -99.999 -99.999  -99.999
  0.70  3.0 -0.314   0.652  -4.115    1.297 -99.999 -85.463  -86.197
  1.00  3.0 -0.465   0.652  -3.973    1.297 -80.962 -59.808  -60.383
  1.50  3.0 -0.506   0.652  -3.046    1.297 -53.728 -40.387  -40.780
  2.00  3.0 -0.510   0.652  -2.409    1.297 -40.112 -30.653  -30.915
  3.00  3.0 -0.511   0.653  -1.642    1.302 -26.498 -20.761  -20.836
  5.00  3.0 -0.511   0.656  -0.824    1.339 -15.590 -12.569  -12.405
 10.00  3.0 -0.511   0.761   0.135    1.666  -7.379  -6.004   -5.487
 30.00  3.0 -0.511   2.281   2.462    3.893  -2.081  -0.021    1.037
100.00  3.0 -0.511   3.083   5.352    7.059  -0.375   4.088    5.687
  0.01  4.0  0.012   0.652  -2.732    1.297 -99.999 -99.999  -99.999
  0.10  4.0  0.005   0.652  -2.836    1.297 -99.999 -99.999  -99.999
  0.20  4.0 -0.013   0.652  -2.933    1.297 -99.999 -99.999  -99.999
  0.40  4.0 -0.067   0.652  -3.039    1.297 -99.999 -99.999  -99.999
  0.70  4.0 -0.174   0.652  -3.118    1.297 -99.999 -86.469  -87.203
  1.00  4.0 -0.302   0.652  -3.155    1.297 -80.962 -60.630  -61.205
  1.50  4.0 -0.464   0.652  -2.906    1.297 -53.728 -40.529  -40.922
  2.00  4.0 -0.497   0.652  -2.378    1.297 -40.112 -30.684  -30.947
  3.00  4.0 -0.507   0.653  -1.637    1.302 -26.498 -20.766  -20.842
  5.00  4.0 -0.510   0.656  -0.824    1.339 -15.590 -12.570  -12.406
