 neg. daughter ar39 z=18 n=21 a=39 Q=-33.2410
 pos. daughter cl39 z=17 n=22 a=39 Q=-29.8030
              +++++++++ar39 -->cl39 +++++++++---------cl39 -->ar39 ----------
    t9  lrho   uf   lbeta+  leps-     lnu    lbeta-   leps+   lnubar
  0.01  1.0 -0.003 -99.999 -99.999  -99.999  -3.653 -99.999   -3.596
  0.10  1.0 -0.058 -99.999 -99.999  -99.999  -3.653 -55.819   -3.596
  0.20  1.0 -0.134 -99.999 -98.229  -99.505  -3.653 -28.851   -3.596
  0.40  1.0 -0.306 -99.999 -54.444  -55.410  -3.653 -14.806   -3.596
  0.70  1.0 -0.503 -65.538 -34.866  -35.576  -3.648  -8.982   -3.591
  1.00  1.0 -0.511 -45.928 -25.873  -26.415  -3.618  -7.469   -3.556
  1.50  1.0 -0.511 -30.669 -18.607  -18.957  -3.512  -6.174   -3.434
  2.00  1.0 -0.511 -23.032 -14.804  -15.018  -3.394  -5.407   -3.296
  3.00  1.0 -0.511 -15.385 -10.762  -10.781  -3.203  -4.461   -3.040
  5.00  1.0 -0.511  -9.280  -7.161   -6.930  -2.959  -3.408   -2.512
 10.00  1.0 -0.511  -4.869  -3.901   -3.233  -2.591  -2.068   -1.281
 30.00  1.0 -0.511  -0.457   0.088    1.415  -2.202   0.830    1.860
100.00  1.0 -0.511   1.867   4.101    5.834  -2.142   4.590    6.161
  0.01  2.0 -0.001 -99.999 -99.999  -99.999  -3.653 -99.999   -3.597
  0.10  2.0 -0.038 -99.999 -99.999  -99.999  -3.653 -56.820   -3.596
  0.20  2.0 -0.095 -99.999 -97.229  -98.505  -3.653 -29.852   -3.596
  0.40  2.0 -0.227 -99.999 -53.444  -54.410  -3.653 -15.805   -3.596
  0.70  2.0 -0.446 -65.538 -34.453  -35.163  -3.648  -9.395   -3.591
  1.00  2.0 -0.506 -45.928 -25.851  -26.394  -3.618  -7.491   -3.556
  1.50  2.0 -0.511 -30.669 -18.605  -18.956  -3.512  -6.175   -3.434
  2.00  2.0 -0.511 -23.032 -14.804  -15.017  -3.394  -5.407   -3.296
  3.00  2.0 -0.511 -15.385 -10.762  -10.781  -3.203  -4.461   -3.040
  5.00  2.0 -0.511  -9.280  -7.161   -6.930  -2.959  -3.408   -2.512
 10.00  2.0 -0.511  -4.869  -3.901   -3.233  -2.591  -2.068   -1.281
 30.00  2.0 -0.511  -0.457   0.088    1.415  -2.202   0.830    1.860
100.00  2.0 -0.511   1.867   4.101    5.834  -2.142   4.590    6.161
  0.01  3.0  0.003 -99.999 -99.999  -99.999  -3.654 -99.999   -3.597
  0.10  3.0 -0.018 -99.999 -99.999  -99.999  -3.653 -57.838   -3.597
  0.20  3.0 -0.055 -99.999 -96.223  -97.499  -3.653 -30.857   -3.597
  0.40  3.0 -0.147 -99.999 -52.442  -53.408  -3.653 -16.808   -3.597
  0.70  3.0 -0.314 -65.538 -33.505  -34.214  -3.648 -10.344   -3.591
  1.00  3.0 -0.465 -45.928 -25.645  -26.188  -3.618  -7.697   -3.556
  1.50  3.0 -0.506 -30.669 -18.591  -18.941  -3.512  -6.190   -3.434
  2.00  3.0 -0.510 -23.032 -14.801  -15.014  -3.394  -5.411   -3.296
  3.00  3.0 -0.511 -15.385 -10.761  -10.781  -3.203  -4.462   -3.040
  5.00  3.0 -0.511  -9.280  -7.161   -6.930  -2.959  -3.408   -2.512
 10.00  3.0 -0.511  -4.869  -3.901   -3.233  -2.591  -2.068   -1.281
 30.00  3.0 -0.511  -0.457   0.088    1.415  -2.202   0.830    1.860
100.00  3.0 -0.511   1.867   4.101    5.834  -2.142   4.590    6.161
  0.01  4.0  0.012 -99.999 -99.999  -99.999  -3.655 -99.999   -3.599
  0.10  4.0  0.005 -99.999 -99.999  -99.999  -3.655 -58.994   -3.598
  0.20  4.0 -0.013 -99.999 -95.168  -96.444  -3.654 -31.912   -3.598
  0.40  4.0 -0.067 -99.999 -51.424  -52.390  -3.654 -17.826   -3.597
  0.70  4.0 -0.174 -65.538 -32.498  -33.208  -3.649 -11.350   -3.591
  1.00  4.0 -0.302 -45.928 -24.823  -25.366  -3.619  -8.519   -3.556
  1.50  4.0 -0.464 -30.669 -18.449  -18.800  -3.512  -6.331   -3.435
  2.00  4.0 -0.497 -23.032 -14.769  -14.983  -3.394  -5.442   -3.297
  3.00  4.0 -0.507 -15.385 -10.756  -10.775  -3.203  -4.467   -3.041
  5.00  4.0 -0.510  -9.280  -7.160   -6.929  -2.959  -3.409   -2.512
 10.00  4.0 -0.511  -4.869  -3.901   -3.232  -2.591  -2.069   -1.281
 30.00  4.0 -0.511  -0.457   0.088    1.415  -2.202   0.830    1.860
100.00  4.0 -0.511   1.867   4.101    5.834  -2.142   4.590    6.161
  0.01  5.0  0.053 -99.999 -99.999  -99.999  -3.662 -99.999   -3.607
  0.10  5.0  0.052 -99.999 -99.999  -99.999  -3.662 -61.338   -3.607
  0.20  5.0  0.047 -99.999 -93.662  -94.938  -3.661 -33.419   -3.607
  0.40  5.0  0.026 -99.999 -50.265  -51.230  -3.660 -18.995   -3.605
  0.70  5.0 -0.026 -65.538 -31.431  -32.141  -3.654 -12.417   -3.598
  1.00  5.0 -0.098 -45.928 -23.791  -24.334  -3.623  -9.550   -3.562
  1.50  5.0 -0.246 -30.669 -17.715  -18.066  -3.515  -7.064   -3.439
  2.00  5.0 -0.383 -23.032 -14.480  -14.694  -3.395  -5.729   -3.303
  3.00  5.0 -0.476 -15.385 -10.703  -10.722  -3.204  -4.519   -3.048
  5.00  5.0 -0.502  -9.280  -7.152   -6.920  -2.960  -3.417   -2.517
 10.00  5.0 -0.509  -4.869  -3.900   -3.232  -2.591  -2.069   -1.282
 30.00  5.0 -0.511  -0.457   0.088    1.415  -2.202   0.830    1.860
100.00  5.0 -0.511   1.867   4.101    5.834  -2.142   4.590    6.161
  0.01  6.0  0.215 -99.999 -99.999  -99.999  -3.700 -99.999   -3.654
