 neg. daughter ca36 z=20 n=16 a=36 Q= -6.4400
 pos. daughter k36  z=19 n=17 a=36 Q=-17.4260
              +++++++++ca36 -->k36  +++++++++---------k36  -->ca36 ----------
    t9  lrho   uf   lbeta+  leps-     lnu    lbeta-   leps+   lnubar
  0.01  1.0 -0.003   0.538  -5.195    1.065 -99.999 -99.999  -99.999
  0.10  1.0 -0.058   0.538  -5.696    1.065 -99.999 -99.999  -99.999
  0.20  1.0 -0.134   0.538  -5.835    1.065 -99.999 -99.999  -99.999
  0.40  1.0 -0.306   0.538  -5.961    1.065 -99.999 -99.999  -99.999
  0.70  1.0 -0.503   0.538  -5.409    1.065 -99.999 -79.951  -80.685
  1.00  1.0 -0.511   0.538  -4.137    1.065 -99.999 -56.796  -57.372
  1.50  1.0 -0.511   0.538  -3.003    1.065 -99.999 -38.652  -39.047
  2.00  1.0 -0.511   0.538  -2.356    1.066 -99.999 -29.466  -29.730
  3.00  1.0 -0.511   0.537  -1.582    1.072 -99.999 -20.127  -20.200
  5.00  1.0 -0.511   0.537  -0.712    1.117 -99.999 -12.427  -12.243
 10.00  1.0 -0.511   0.618   0.431    1.609 -99.999  -6.157   -5.608
 30.00  1.0 -0.511   1.998   2.558    3.829 -99.999  -0.159    0.921
100.00  1.0 -0.511   2.832   5.234    6.909 -99.999   3.945    5.562
  0.01  2.0 -0.001   0.538  -4.215    1.065 -99.999 -99.999  -99.999
  0.10  2.0 -0.038   0.538  -4.696    1.065 -99.999 -99.999  -99.999
  0.20  2.0 -0.095   0.538  -4.835    1.065 -99.999 -99.999  -99.999
  0.40  2.0 -0.227   0.538  -4.962    1.065 -99.999 -99.999  -99.999
  0.70  2.0 -0.446   0.538  -4.996    1.065 -99.999 -80.364  -81.098
  1.00  2.0 -0.506   0.538  -4.116    1.065 -99.999 -56.818  -57.394
  1.50  2.0 -0.511   0.538  -3.002    1.065 -99.999 -38.653  -39.048
  2.00  2.0 -0.511   0.538  -2.356    1.066 -99.999 -29.466  -29.730
