 neg. daughter ca38 z=20 n=18 a=38 Q=-22.0600
 pos. daughter  k38 z=19 n=19 a=38 Q=-28.8020
              +++++++++ca38 --> k38 +++++++++--------- k38 -->ca38 ----------
    t9  lrho   uf   lbeta+  leps-     lnu    lbeta-   leps+   lnubar
  0.01  1.0 -0.003   0.211  -5.262    0.656 -99.999 -99.999  -99.999
  0.10  1.0 -0.058   0.211  -5.762    0.656 -99.999 -99.999  -99.999
  0.20  1.0 -0.134   0.211  -5.901    0.656 -99.999 -99.999  -99.999
  0.40  1.0 -0.306   0.211  -6.027    0.656 -93.227 -86.511  -87.491
  0.70  1.0 -0.503   0.211  -5.473    0.656 -55.546 -49.606  -50.339
  1.00  1.0 -0.511   0.211  -4.201    0.656 -40.479 -35.623  -36.197
  1.50  1.0 -0.511   0.211  -3.064    0.657 -28.772 -24.616  -25.007
  2.00  1.0 -0.511   0.211  -2.416    0.658 -22.932 -18.999  -19.259
  3.00  1.0 -0.511   0.210  -1.640    0.669 -17.123 -13.220  -13.290
  5.00  1.0 -0.511   0.205  -0.784    0.746 -12.516  -8.317   -8.142
 10.00  1.0 -0.511   0.130   0.234    1.258  -8.998  -4.126   -3.598
 30.00  1.0 -0.511   1.309   2.113    3.364  -6.376   0.179    1.256
100.00  1.0 -0.511   2.206   4.835    6.523  -5.418   3.804    5.410
  0.01  2.0 -0.001   0.211  -4.282    0.656 -99.999 -99.999  -99.999
  0.10  2.0 -0.038   0.211  -4.763    0.656 -99.999 -99.999  -99.999
  0.20  2.0 -0.095   0.211  -4.901    0.656 -99.999 -99.999  -99.999
  0.40  2.0 -0.227   0.211  -5.027    0.656 -93.227 -87.511  -88.491
  0.70  2.0 -0.446   0.211  -5.060    0.656 -55.546 -50.019  -50.752
  1.00  2.0 -0.506   0.211  -4.179    0.656 -40.479 -35.645  -36.218
  1.50  2.0 -0.511   0.211  -3.063    0.657 -28.772 -24.618  -25.009
  2.00  2.0 -0.511   0.211  -2.416    0.658 -22.932 -19.000  -19.259
