 neg. daughter ca44 z=20 n=24 a=44 Q=-41.4660
 pos. daughter k44  z=19 n=25 a=44 Q=-35.8070
              +++++++++ca44 -->k44  +++++++++---------k44  -->ca44 ----------
    t9  lrho   uf   lbeta+  leps-     lnu    lbeta-   leps+   lnubar
  0.01  1.0 -0.003 -99.999 -99.999  -99.999  -3.224 -99.999   -2.965
  0.10  1.0 -0.058 -99.999 -99.999  -99.999  -3.224 -55.568   -2.965
  0.20  1.0 -0.134 -99.999 -99.999  -99.999  -3.224 -28.569   -2.964
  0.40  1.0 -0.306 -99.999 -81.079  -82.053  -3.206 -14.494   -2.952
  0.70  1.0 -0.503 -84.605 -49.431  -50.144  -3.076  -8.621   -2.852
  1.00  1.0 -0.511 -58.832 -35.543  -36.085  -2.917  -7.059   -2.721
  1.50  1.0 -0.511 -38.731 -24.399  -24.755  -2.735  -5.722   -2.560
  2.00  1.0 -0.511 -28.640 -18.664  -18.882  -2.640  -4.957   -2.470
  3.00  1.0 -0.511 -18.510 -12.716  -12.740  -2.554  -4.066   -2.341
  5.00  1.0 -0.511 -10.445  -7.710   -7.484  -2.328  -3.122   -1.852
 10.00  1.0 -0.511  -4.772  -3.698   -3.062  -1.762  -1.885   -0.862
 30.00  1.0 -0.511  -0.266   0.629    1.900  -1.353   0.643    1.715
100.00  1.0 -0.511   1.991   4.431    6.147  -1.307   4.363    5.933
  0.01  2.0 -0.001 -99.999 -99.999  -99.999  -3.224 -99.999   -2.965
  0.10  2.0 -0.038 -99.999 -99.999  -99.999  -3.224 -56.570   -2.965
  0.20  2.0 -0.095 -99.999 -99.999  -99.999  -3.224 -29.569   -2.964
  0.40  2.0 -0.227 -99.999 -80.079  -81.054  -3.206 -15.494   -2.952
  0.70  2.0 -0.446 -84.605 -49.018  -49.731  -3.076  -9.034   -2.852
  1.00  2.0 -0.506 -58.832 -35.521  -36.064  -2.917  -7.080   -2.721
  1.50  2.0 -0.511 -38.731 -24.398  -24.753  -2.735  -5.723   -2.560
  2.00  2.0 -0.511 -28.640 -18.664  -18.882  -2.640  -4.957   -2.470
  3.00  2.0 -0.511 -18.510 -12.716  -12.740  -2.554  -4.066   -2.341
  5.00  2.0 -0.511 -10.445  -7.710   -7.484  -2.328  -3.122   -1.852
 10.00  2.0 -0.511  -4.772  -3.698   -3.062  -1.762  -1.885   -0.862
 30.00  2.0 -0.511  -0.266   0.629    1.900  -1.353   0.643    1.715
100.00  2.0 -0.511   1.991   4.431    6.147  -1.307   4.363    5.933
  0.01  3.0  0.003 -99.999 -99.999  -99.999  -3.224 -99.999   -2.965
  0.10  3.0 -0.018 -99.999 -99.999  -99.999  -3.224 -57.587   -2.965
  0.20  3.0 -0.055 -99.999 -99.999  -99.999  -3.224 -30.575   -2.965
