 neg. daughter cl31 z=17 n=14 a=31 Q= -7.0700
 pos. daughter s31  z=16 n=15 a=31 Q=-18.9920
              +++++++++cl31 -->s31  +++++++++---------s31  -->cl31 ----------
    t9  lrho   uf   lbeta+  leps-     lnu    lbeta-   leps+   lnubar
  0.01  1.0 -0.003   0.405  -5.433    0.977 -99.999 -99.999  -99.999
  0.10  1.0 -0.058   0.405  -5.930    0.977 -99.999 -99.999  -99.999
  0.20  1.0 -0.134   0.405  -6.064    0.977 -99.999 -99.999  -99.999
  0.40  1.0 -0.306   0.405  -6.183    0.977 -99.999 -99.999  -99.999
  0.70  1.0 -0.503   0.405  -5.623    0.977 -99.999 -85.812  -86.545
  1.00  1.0 -0.511   0.405  -4.346    0.977 -84.741 -60.634  -61.209
  1.50  1.0 -0.511   0.406  -3.206    0.978 -55.925 -40.911  -41.304
  2.00  1.0 -0.511   0.406  -2.558    0.980 -41.516 -30.933  -31.195
  3.00  1.0 -0.511   0.408  -1.789    0.991 -27.106 -20.777  -20.853
  5.00  1.0 -0.511   0.423  -0.961    1.055 -15.592 -12.377  -12.213
 10.00  1.0 -0.511   0.507   0.062    1.418  -7.073  -5.662   -5.144
 30.00  1.0 -0.511   2.250   2.363    3.799  -1.789   0.048    1.135
100.00  1.0 -0.511   3.449   5.451    7.165  -0.096   4.181    5.781
  0.01  2.0 -0.001   0.405  -4.453    0.977 -99.999 -99.999  -99.999
  0.10  2.0 -0.038   0.405  -4.930    0.977 -99.999 -99.999  -99.999
  0.20  2.0 -0.095   0.405  -5.064    0.977 -99.999 -99.999  -99.999
  0.40  2.0 -0.227   0.405  -5.183    0.977 -99.999 -99.999  -99.999
  0.70  2.0 -0.446   0.405  -5.210    0.977 -99.999 -86.225  -86.958
  1.00  2.0 -0.506   0.405  -4.324    0.977 -84.741 -60.655  -61.230
  1.50  2.0 -0.511   0.406  -3.205    0.978 -55.925 -40.912  -41.305
  2.00  2.0 -0.511   0.406  -2.557    0.980 -41.516 -30.933  -31.196
  3.00  2.0 -0.511   0.408  -1.789    0.991 -27.106 -20.777  -20.853
  5.00  2.0 -0.511   0.423  -0.961    1.055 -15.592 -12.377  -12.213
 10.00  2.0 -0.511   0.507   0.062    1.418  -7.073  -5.662   -5.144
 30.00  2.0 -0.511   2.250   2.363    3.799  -1.789   0.048    1.135
100.00  2.0 -0.511   3.449   5.451    7.165  -0.096   4.181    5.781
  0.01  3.0  0.003   0.405  -3.552    0.977 -99.999 -99.999  -99.999
  0.10  3.0 -0.018   0.405  -3.935    0.977 -99.999 -99.999  -99.999
  0.20  3.0 -0.055   0.405  -4.066    0.977 -99.999 -99.999  -99.999
  0.40  3.0 -0.147   0.405  -4.183    0.977 -99.999 -99.999  -99.999
  0.70  3.0 -0.314   0.405  -4.262    0.977 -99.999 -87.173  -87.907
  1.00  3.0 -0.465   0.405  -4.118    0.977 -84.741 -60.861  -61.436
  1.50  3.0 -0.506   0.406  -3.190    0.978 -55.925 -40.927  -41.320
  2.00  3.0 -0.510   0.406  -2.554    0.980 -41.516 -30.936  -31.199
  3.00  3.0 -0.511   0.408  -1.789    0.991 -27.106 -20.778  -20.854
  5.00  3.0 -0.511   0.423  -0.961    1.055 -15.592 -12.377  -12.213
 10.00  3.0 -0.511   0.507   0.062    1.418  -7.073  -5.662   -5.144
 30.00  3.0 -0.511   2.250   2.363    3.799  -1.789   0.048    1.135
100.00  3.0 -0.511   3.449   5.451    7.165  -0.096   4.181    5.781
  0.01  4.0  0.012   0.405  -2.886    0.978 -99.999 -99.999  -99.999
  0.10  4.0  0.005   0.405  -2.989    0.978 -99.999 -99.999  -99.999
  0.20  4.0 -0.013   0.405  -3.084    0.977 -99.999 -99.999  -99.999
  0.40  4.0 -0.067   0.405  -3.189    0.977 -99.999 -99.999  -99.999
  0.70  4.0 -0.174   0.405  -3.264    0.977 -99.999 -88.179  -88.913
  1.00  4.0 -0.302   0.405  -3.301    0.977 -84.741 -61.683  -62.258
  1.50  4.0 -0.464   0.406  -3.050    0.978 -55.925 -41.068  -41.461
  2.00  4.0 -0.497   0.406  -2.523    0.980 -41.516 -30.968  -31.230
  3.00  4.0 -0.507   0.408  -1.783    0.991 -27.106 -20.783  -20.859
  5.00  4.0 -0.510   0.423  -0.960    1.055 -15.592 -12.378  -12.214
 10.00  4.0 -0.511   0.507   0.062    1.418  -7.073  -5.662   -5.144
 30.00  4.0 -0.511   2.250   2.363    3.799  -1.789   0.048    1.135
100.00  4.0 -0.511   3.449   5.451    7.165  -0.096   4.181    5.781
  0.01  5.0  0.053   0.405  -2.162    0.979 -99.999 -99.999  -99.999
