 neg. daughter cl34 z=17 n=17 a=34 Q=-24.4383
 pos. daughter s34  z=16 n=18 a=34 Q=-29.9313
              +++++++++cl34 -->s34  +++++++++---------s34  -->cl34 ----------
    t9  lrho   uf   lbeta+  leps-     lnu    lbeta-   leps+   lnubar
  0.01  1.0 -0.003  -0.342  -5.797    0.042 -99.999 -99.999  -99.999
  0.10  1.0 -0.058  -0.342  -6.294    0.042 -99.999 -99.999  -99.999
  0.20  1.0 -0.134  -0.342  -6.429    0.041 -99.999 -99.999  -99.999
  0.40  1.0 -0.306  -0.383  -6.587    0.001 -80.573 -70.352  -71.332
  0.70  1.0 -0.503  -0.551  -6.192   -0.167 -48.211 -40.182  -40.914
  1.00  1.0 -0.511  -0.702  -5.061   -0.319 -35.266 -28.886  -29.459
  1.50  1.0 -0.511  -0.867  -4.077   -0.483 -25.201 -19.960  -20.349
  2.00  1.0 -0.511  -0.969  -3.520   -0.583 -20.167 -15.371  -15.628
  3.00  1.0 -0.511  -1.094  -2.849   -0.694 -14.083 -10.596  -10.661
  5.00  1.0 -0.511  -1.217  -2.074   -0.703  -7.885  -6.450   -6.245
 10.00  1.0 -0.511  -1.174  -0.813    0.089  -3.317  -2.719   -2.055
 30.00  1.0 -0.511   0.771   1.976    3.131  -0.857   1.251    2.400
100.00  1.0 -0.511   1.912   4.958    6.622  -0.155   4.547    6.174
  0.01  2.0 -0.001  -0.342  -4.818    0.042 -99.999 -99.999  -99.999
  0.10  2.0 -0.038  -0.342  -5.294    0.042 -99.999 -99.999  -99.999
  0.20  2.0 -0.095  -0.342  -5.429    0.041 -99.999 -99.999  -99.999
  0.40  2.0 -0.227  -0.383  -5.588    0.001 -80.573 -71.352  -72.332
  0.70  2.0 -0.446  -0.551  -5.779   -0.167 -48.211 -40.595  -41.327
  1.00  2.0 -0.506  -0.702  -5.040   -0.319 -35.266 -28.908  -29.481
  1.50  2.0 -0.511  -0.867  -4.076   -0.483 -25.201 -19.961  -20.351
  2.00  2.0 -0.511  -0.969  -3.520   -0.583 -20.167 -15.371  -15.628
  3.00  2.0 -0.511  -1.094  -2.849   -0.694 -14.083 -10.596  -10.662
  5.00  2.0 -0.511  -1.217  -2.074   -0.703  -7.885  -6.450   -6.245
 10.00  2.0 -0.511  -1.174  -0.813    0.089  -3.317  -2.719   -2.055
 30.00  2.0 -0.511   0.771   1.976    3.131  -0.857   1.251    2.400
