 neg. daughter cl38 z=17 n=21 a=38 Q=-29.7980
 pos. daughter  s38 z=16 n=22 a=38 Q=-26.8620
              +++++++++cl38 --> s38 +++++++++--------- s38 -->cl38 ----------
    t9  lrho   uf   lbeta+  leps-     lnu    lbeta-   leps+   lnubar
  0.01  1.0 -0.003 -99.999 -99.999  -99.999  -4.132 -99.999   -4.266
  0.10  1.0 -0.058 -99.999 -99.999  -99.999  -4.132 -55.236   -4.266
  0.20  1.0 -0.134 -99.999 -85.634  -86.901  -4.132 -28.280   -4.266
  0.40  1.0 -0.306 -99.999 -48.156  -49.105  -4.132 -14.239   -4.266
  0.70  1.0 -0.503 -59.798 -31.253  -31.938  -4.132  -8.414   -4.266
  1.00  1.0 -0.511 -42.052 -23.322  -23.835  -4.132  -6.902   -4.264
  1.50  1.0 -0.511 -28.256 -16.897  -17.213  -4.133  -5.618   -4.235
  2.00  1.0 -0.511 -21.374 -13.546  -13.720  -4.127  -4.868   -4.093
  3.00  1.0 -0.511 -14.539 -10.019   -9.994  -3.978  -3.951   -3.467
  5.00  1.0 -0.511  -9.139  -6.926   -6.652  -3.296  -2.941   -2.384
 10.00  1.0 -0.511  -5.070  -3.996   -3.321  -2.655  -1.694   -0.967
 30.00  1.0 -0.511  -0.823   0.104    1.367  -2.475   0.910    1.955
100.00  1.0 -0.511   1.176   3.841    5.547  -2.491   4.465    6.043
  0.01  2.0 -0.001 -99.999 -99.999  -99.999  -4.132 -99.999   -4.266
  0.10  2.0 -0.038 -99.999 -99.999  -99.999  -4.132 -56.238   -4.266
  0.20  2.0 -0.095 -99.999 -84.633  -85.900  -4.132 -29.281   -4.266
  0.40  2.0 -0.227 -99.999 -47.156  -48.105  -4.132 -15.239   -4.266
  0.70  2.0 -0.446 -59.798 -30.840  -31.525  -4.132  -8.827   -4.266
  1.00  2.0 -0.506 -42.052 -23.300  -23.813  -4.132  -6.923   -4.264
  1.50  2.0 -0.511 -28.256 -16.896  -17.212  -4.133  -5.619   -4.235
  2.00  2.0 -0.511 -21.374 -13.545  -13.720  -4.127  -4.869   -4.094
  3.00  2.0 -0.511 -14.539 -10.019   -9.994  -3.978  -3.952   -3.467
  5.00  2.0 -0.511  -9.139  -6.926   -6.652  -3.296  -2.941   -2.384
 10.00  2.0 -0.511  -5.070  -3.996   -3.321  -2.655  -1.694   -0.967
 30.00  2.0 -0.511  -0.823   0.104    1.367  -2.475   0.910    1.955
100.00  2.0 -0.511   1.176   3.841    5.547  -2.491   4.465    6.043
  0.01  3.0  0.003 -99.999 -99.999  -99.999  -4.133 -99.999   -4.267
  0.10  3.0 -0.018 -99.999 -99.999  -99.999  -4.133 -57.255   -4.266
  0.20  3.0 -0.055 -99.999 -83.628  -84.894  -4.132 -30.286   -4.266
  0.40  3.0 -0.147 -99.999 -46.154  -47.103  -4.132 -16.242   -4.266
  0.70  3.0 -0.314 -59.798 -29.891  -30.576  -4.132  -9.776   -4.266
  1.00  3.0 -0.465 -42.052 -23.094  -23.607  -4.132  -7.129   -4.265
  1.50  3.0 -0.506 -28.256 -16.882  -17.197  -4.133  -5.634   -4.236
  2.00  3.0 -0.510 -21.374 -13.542  -13.717  -4.127  -4.872   -4.095
  3.00  3.0 -0.511 -14.539 -10.019   -9.994  -3.978  -3.952   -3.467
  5.00  3.0 -0.511  -9.139  -6.926   -6.652  -3.296  -2.941   -2.384
 10.00  3.0 -0.511  -5.070  -3.996   -3.321  -2.655  -1.694   -0.967
 30.00  3.0 -0.511  -0.823   0.104    1.367  -2.475   0.910    1.955
100.00  3.0 -0.511   1.176   3.841    5.547  -2.491   4.465    6.043
  0.01  4.0  0.012 -99.999 -99.999  -99.999  -4.137 -99.999   -4.271
  0.10  4.0  0.005 -99.999 -99.999  -99.999  -4.136 -58.411   -4.270
  0.20  4.0 -0.013 -99.999 -82.573  -83.840  -4.135 -31.341   -4.269
  0.40  4.0 -0.067 -99.999 -45.136  -46.085  -4.134 -17.260   -4.268
  0.70  4.0 -0.174 -59.798 -28.885  -29.570  -4.134 -10.782   -4.268
  1.00  4.0 -0.302 -42.052 -22.272  -22.785  -4.133  -7.951   -4.267
  1.50  4.0 -0.464 -28.256 -16.740  -17.055  -4.133  -5.775   -4.245
  2.00  4.0 -0.497 -21.374 -13.511  -13.685  -4.127  -4.903   -4.104
  3.00  4.0 -0.507 -14.539 -10.013   -9.989  -3.978  -3.957   -3.471
  5.00  4.0 -0.510  -9.139  -6.925   -6.651  -3.296  -2.942   -2.385
 10.00  4.0 -0.511  -5.070  -3.995   -3.321  -2.655  -1.694   -0.967
 30.00  4.0 -0.511  -0.823   0.104    1.367  -2.475   0.910    1.955
100.00  4.0 -0.511   1.176   3.841    5.547  -2.491   4.465    6.043
  0.01  5.0  0.053 -99.999 -99.999  -99.999  -4.157 -99.999   -4.294
  0.10  5.0  0.052 -99.999 -99.999  -99.999  -4.156 -60.755   -4.293
  0.20  5.0  0.047 -99.999 -81.066  -82.333  -4.155 -32.848   -4.291
  0.40  5.0  0.026 -99.999 -43.968  -44.916  -4.151 -18.428   -4.287
  0.70  5.0 -0.026 -59.798 -27.819  -28.504  -4.147 -11.849   -4.283
  1.00  5.0 -0.098 -42.052 -21.241  -21.754  -4.144  -8.983   -4.279
  1.50  5.0 -0.246 -28.256 -16.007  -16.322  -4.141  -6.508   -4.271
  2.00  5.0 -0.383 -21.374 -13.223  -13.397  -4.131  -5.190   -4.173
  3.00  5.0 -0.476 -14.539  -9.960   -9.935  -3.979  -4.010   -3.508
  5.00  5.0 -0.502  -9.139  -6.917   -6.643  -3.296  -2.950   -2.392
 10.00  5.0 -0.509  -5.070  -3.995   -3.320  -2.655  -1.695   -0.968
 30.00  5.0 -0.511  -0.823   0.104    1.367  -2.475   0.910    1.955
100.00  5.0 -0.511   1.176   3.841    5.547  -2.491   4.465    6.043
  0.01  6.0  0.215 -99.999 -99.999  -99.999  -4.259 -99.999   -4.416
  0.10  6.0  0.214 -99.999 -99.999  -99.999  -4.259 -68.945   -4.415
  0.20  6.0  0.213 -99.999 -76.976  -78.203  -4.258 -37.033   -4.415
  0.40  6.0  0.206 -99.999 -41.739  -42.667  -4.254 -20.701   -4.409
  0.70  6.0  0.189 -59.798 -26.296  -26.968  -4.245 -13.398   -4.396
  1.00  6.0  0.161 -42.052 -19.956  -20.460  -4.233 -10.286   -4.381
  1.50  6.0  0.093 -28.256 -14.880  -15.190  -4.214  -7.646   -4.356
  2.00  6.0  0.001 -21.374 -12.263  -12.433  -4.188  -6.155   -4.306
  3.00  6.0 -0.212 -14.539  -9.521   -9.494  -4.002  -4.447   -3.762
  5.00  6.0 -0.420  -9.138  -6.835   -6.561  -3.301  -3.031   -2.458
 10.00  6.0 -0.491  -5.069  -3.986   -3.311  -2.656  -1.703   -0.976
 30.00  6.0 -0.509  -0.823   0.104    1.368  -2.475   0.910    1.955
100.00  6.0 -0.511   1.176   3.841    5.547  -2.491   4.465    6.043
  0.01  7.0  0.711 -99.999 -99.999  -99.999  -4.958 -99.999   -4.985
  0.10  7.0  0.711 -99.999 -99.999  -99.999  -4.949 -94.004   -4.984
  0.20  7.0  0.711 -99.999 -64.847  -66.124  -4.945 -49.575   -4.983
  0.40  7.0  0.708 -99.999 -35.909  -36.875  -4.930 -27.024   -4.974
  0.70  7.0  0.701 -59.798 -23.118  -23.771  -4.891 -17.081   -4.952
  1.00  7.0  0.689 -42.052 -17.685  -18.110  -4.840 -12.949   -4.919
  1.50  7.0  0.662 -28.256 -13.180  -13.417  -4.722  -9.556   -4.833
  2.00  7.0  0.622 -21.374 -10.816  -10.938  -4.614  -7.721   -4.724
  3.00  7.0  0.510 -14.538  -8.355   -8.305  -4.225  -5.659   -4.188
  5.00  7.0  0.187  -9.135  -6.235   -5.958  -3.359  -3.633   -2.883
 10.00  7.0 -0.315  -5.064  -3.899   -3.227  -2.668  -1.789   -1.060
 30.00  7.0 -0.490  -0.823   0.107    1.371  -2.476   0.906    1.951
100.00  7.0 -0.509   1.176   3.841    5.547  -2.491   4.465    6.043
  0.01  8.0  1.936 -99.999 -99.999  -99.999  -5.940 -99.999   -6.088
  0.10  8.0  1.936 -99.999 -62.246  -63.831  -5.928 -99.999   -6.070
  0.20  8.0  1.935 -99.999 -36.141  -37.423  -5.915 -80.429   -6.051
  0.40  8.0  1.934 -99.999 -22.627  -23.604  -5.909 -42.470   -6.041
  0.70  8.0  1.931 -59.798 -16.474  -17.148  -5.901 -25.937   -6.024
  1.00  8.0  1.925 -42.052 -13.476  -13.719  -5.889 -19.179   -6.001
  1.50  8.0  1.913 -28.256 -10.383  -10.431  -5.860 -13.760   -5.946
  2.00  8.0  1.895 -21.374  -8.621   -8.562  -5.784 -10.927   -5.852
  3.00  8.0  1.844 -14.538  -6.640   -6.447  -5.141  -7.899   -5.172
  5.00  8.0  1.681  -9.133  -4.894   -4.554  -3.830  -5.136   -3.697
 10.00  8.0  0.982  -5.043  -3.273   -2.609  -2.834  -2.433   -1.676
 30.00  8.0 -0.302  -0.820   0.137    1.400  -2.486   0.875    1.920
100.00  8.0 -0.492   1.176   3.842    5.548  -2.491   4.464    6.042
  0.01  9.0  4.671 -99.999  -5.422   -5.293 -99.999 -99.999  -99.999
  0.10  9.0  4.671 -99.999  -5.422   -5.292 -98.554 -99.999  -99.999
  0.20  9.0  4.671 -99.999  -5.421   -5.291 -53.948 -99.999  -55.238
  0.40  9.0  4.671 -99.999  -5.419   -5.288 -31.202 -76.948  -32.197
  0.70  9.0  4.665 -59.798  -5.418   -5.284 -21.090 -45.628  -21.848
  1.00  9.0  4.665 -42.052  -5.410   -5.270 -16.910 -32.988  -17.520
  1.50  9.0  4.660 -28.256  -5.399   -5.244 -13.492 -22.992  -13.939
  2.00  9.0  4.650 -21.374  -5.338   -5.131 -11.644 -17.870  -11.981
  3.00  9.0  4.625 -14.538  -4.456   -4.033  -9.093 -12.570   -9.283
  5.00  9.0  4.551  -9.133  -3.076   -2.548  -6.212  -8.029   -6.225
 10.00  9.0  4.197  -5.037  -1.908   -1.195  -3.962  -4.050   -3.225
 30.00  9.0  1.461  -0.802   0.416    1.675  -2.612   0.581    1.625
100.00  9.0 -0.324   1.179   3.850    5.556  -2.495   4.456    6.034
  0.01 10.0 10.608 -99.999  -2.905   -2.114 -99.999 -99.999  -99.999
  0.10 10.0 10.608 -99.999  -2.904   -2.113 -99.999 -99.999  -99.999
  0.20 10.0 10.608 -99.999  -2.904   -2.113 -99.999 -99.999  -99.999
  0.40 10.0 10.608 -99.999  -2.904   -2.113 -99.999 -99.999  -99.999
  0.70 10.0 10.608 -59.798  -2.904   -2.112 -63.879 -88.417  -64.637
  1.00 10.0 10.603 -42.052  -2.905   -2.113 -46.836 -62.915  -47.447
  1.50 10.0 10.603 -28.256  -2.909   -2.116 -33.460 -42.960  -33.907
  2.00 10.0 10.598 -21.374  -2.890   -2.094 -26.635 -32.859  -26.971
  3.00 10.0 10.588 -14.538  -2.270   -1.443 -19.114 -22.589  -19.302
  5.00 10.0 10.552  -9.133  -1.094   -0.231 -12.259 -14.078  -12.271
 10.00 10.0 10.389  -5.037  -0.203    0.724  -7.054  -7.171   -6.340
 30.00 10.0  8.651  -0.783   1.431    2.725  -3.542  -0.625    0.419
100.00 10.0  1.351   1.202   3.931    5.639  -2.535   4.372    5.950
  0.01 11.0 23.419 -99.999  -1.000    0.225 -99.999 -99.999  -99.999
