 neg. daughter co55 z=27 n=28 a=55 Q=-54.0239
 pos. daughter fe55 z=26 n=29 a=55 Q=-57.4786
              +++++++++co55 -->fe55 +++++++++---------fe55 -->co55 ----------
    t9  lrho   uf   lbeta+  leps-     lnu    lbeta-   leps+   lnubar
  0.01  1.0 -0.003  -5.078  -8.364   -5.198 -99.999 -99.999  -99.999
  0.10  1.0 -0.058  -5.078  -8.865   -5.199 -99.999 -99.999  -99.999
  0.20  1.0 -0.134  -5.078  -9.006   -5.199 -98.432 -92.429  -93.704
  0.40  1.0 -0.306  -5.078  -9.134   -5.199 -50.704 -47.483  -48.444
  0.70  1.0 -0.503  -5.078  -8.570   -5.198 -30.249 -28.283  -28.982
  1.00  1.0 -0.511  -5.078  -7.212   -5.192 -22.069 -21.357  -21.826
  1.50  1.0 -0.511  -5.079  -5.660   -5.072 -15.716 -15.763  -15.837
  2.00  1.0 -0.511  -5.077  -4.579   -4.552 -12.557 -12.578  -12.399
  3.00  1.0 -0.511  -4.842  -3.276   -3.230  -9.445  -8.751   -8.430
  5.00  1.0 -0.511  -3.427  -1.827   -1.539  -7.087  -5.312   -4.857
 10.00  1.0 -0.511  -1.722  -0.061    0.560  -5.513  -2.265   -1.580
 30.00  1.0 -0.511   1.095   2.461    3.604  -4.341   1.264    2.385
100.00  1.0 -0.511   2.854   5.329    7.018  -3.856   4.558    6.165
  0.01  2.0 -0.001  -5.078  -7.384   -5.193 -99.999 -99.999  -99.999
  0.10  2.0 -0.038  -5.078  -7.865   -5.197 -99.999 -99.999  -99.999
  0.20  2.0 -0.095  -5.078  -8.006   -5.198 -98.432 -93.430  -94.704
  0.40  2.0 -0.227  -5.078  -8.135   -5.198 -50.704 -48.483  -49.439
  0.70  2.0 -0.446  -5.078  -8.157   -5.198 -30.249 -28.696  -29.386
  1.00  2.0 -0.506  -5.078  -7.191   -5.191 -22.069 -21.378  -21.845
  1.50  2.0 -0.511  -5.079  -5.658   -5.072 -15.716 -15.764  -15.838
  2.00  2.0 -0.511  -5.077  -4.579   -4.552 -12.557 -12.578  -12.399
  3.00  2.0 -0.511  -4.842  -3.276   -3.230  -9.445  -8.751   -8.431
  5.00  2.0 -0.511  -3.427  -1.827   -1.539  -7.087  -5.312   -4.857
 10.00  2.0 -0.511  -1.722  -0.061    0.560  -5.513  -2.265   -1.580
 30.00  2.0 -0.511   1.095   2.461    3.604  -4.341   1.264    2.385
100.00  2.0 -0.511   2.854   5.329    7.018  -3.856   4.558    6.165
  0.01  3.0  0.003  -5.078  -6.483   -5.158 -99.999 -99.999  -99.999
  0.10  3.0 -0.018  -5.078  -6.871   -5.182 -99.999 -99.999  -99.999
  0.20  3.0 -0.055  -5.078  -7.008   -5.186 -98.434 -94.436  -95.710
  0.40  3.0 -0.147  -5.078  -7.135   -5.189 -50.705 -49.485  -50.393
  0.70  3.0 -0.314  -5.078  -7.209   -5.191 -30.250 -29.645  -30.234
  1.00  3.0 -0.465  -5.078  -6.985   -5.187 -22.069 -21.584  -22.014
  1.50  3.0 -0.506  -5.079  -5.644   -5.068 -15.717 -15.779  -15.848
  2.00  3.0 -0.510  -5.077  -4.576   -4.549 -12.557 -12.581  -12.402
  3.00  3.0 -0.511  -4.842  -3.275   -3.229  -9.445  -8.751   -8.431
  5.00  3.0 -0.511  -3.427  -1.827   -1.539  -7.087  -5.312   -4.857
 10.00  3.0 -0.511  -1.722  -0.061    0.560  -5.513  -2.265   -1.580
 30.00  3.0 -0.511   1.095   2.461    3.604  -4.341   1.264    2.385
100.00  3.0 -0.511   2.854   5.329    7.018  -3.856   4.558    6.165
  0.01  4.0  0.012  -5.078  -5.819   -5.036 -99.999 -99.999  -99.999
  0.10  4.0  0.005  -5.078  -5.927   -5.066 -99.999 -99.999  -99.999
  0.20  4.0 -0.013  -5.078  -6.028   -5.091 -98.448 -95.490  -96.762
  0.40  4.0 -0.067  -5.078  -6.141   -5.112 -50.714 -50.503  -51.094
  0.70  4.0 -0.174  -5.078  -6.211   -5.125 -30.256 -30.651  -30.751
  1.00  4.0 -0.302  -5.078  -6.166   -5.126 -22.073 -22.406  -22.497
  1.50  4.0 -0.464  -5.079  -5.503   -5.027 -15.718 -15.921  -15.939
  2.00  4.0 -0.497  -5.077  -4.544   -4.525 -12.558 -12.613  -12.428
  3.00  4.0 -0.507  -4.842  -3.270   -3.224  -9.446  -8.757   -8.436
  5.00  4.0 -0.510  -3.427  -1.826   -1.538  -7.087  -5.313   -4.858
 10.00  4.0 -0.511  -1.722  -0.061    0.560  -5.513  -2.265   -1.580
 30.00  4.0 -0.511   1.095   2.461    3.604  -4.341   1.264    2.385
100.00  4.0 -0.511   2.854   5.329    7.018  -3.856   4.558    6.165
  0.01  5.0  0.053  -5.078  -5.112   -4.675 -99.999 -99.999  -99.999
  0.10  5.0  0.052  -5.078  -5.120   -4.680 -99.999 -99.999  -99.999
  0.20  5.0  0.047  -5.078  -5.137   -4.692 -98.559 -96.997  -98.225
  0.40  5.0  0.026  -5.078  -5.187   -4.724 -50.801 -51.672  -51.422
  0.70  5.0 -0.026  -5.078  -5.225   -4.751 -30.316 -31.718  -30.936
  1.00  5.0 -0.098  -5.078  -5.168   -4.754 -22.117 -23.438  -22.719
  1.50  5.0 -0.246  -5.078  -4.775   -4.646 -15.743 -16.654  -16.253
  2.00  5.0 -0.383  -5.076  -4.257   -4.286 -12.570 -12.900  -12.653
  3.00  5.0 -0.476  -4.842  -3.217   -3.172  -9.451  -8.809   -8.488
  5.00  5.0 -0.502  -3.427  -1.818   -1.530  -7.089  -5.321   -4.866
 10.00  5.0 -0.509  -1.722  -0.060    0.561  -5.513  -2.266   -1.581
 30.00  5.0 -0.511   1.095   2.462    3.604  -4.341   1.264    2.385
100.00  5.0 -0.511   2.854   5.329    7.018  -3.856   4.558    6.165
  0.01  6.0  0.215  -5.078  -4.297   -3.973 -99.999 -99.999  -99.999
  0.10  6.0  0.214  -5.078  -4.297   -3.973 -99.999 -99.999  -99.999
  0.20  6.0  0.213  -5.078  -4.296   -3.971 -99.444 -99.999  -99.999
  0.40  6.0  0.206  -5.078  -4.295   -3.970 -51.477 -53.944  -52.324
  0.70  6.0  0.189  -5.078  -4.253   -3.960 -30.832 -33.267  -31.576
  1.00  6.0  0.161  -5.078  -4.114   -3.927 -22.505 -24.741  -23.194
  1.50  6.0  0.093  -5.078  -3.622   -3.693 -15.995 -17.792  -16.631
  2.00  6.0  0.001  -5.075  -3.305   -3.393 -12.737 -13.866  -13.227
  3.00  6.0 -0.212  -4.838  -2.777   -2.740  -9.520  -9.248   -8.912
  5.00  6.0 -0.420  -3.426  -1.736   -1.451  -7.106  -5.401   -4.948
 10.00  6.0 -0.491  -1.721  -0.052    0.569  -5.516  -2.275   -1.590
 30.00  6.0 -0.509   1.095   2.462    3.604  -4.341   1.264    2.385
100.00  6.0 -0.511   2.854   5.329    7.018  -3.856   4.558    6.165
  0.01  7.0  0.711  -5.078  -2.442   -2.658 -99.999 -99.999  -99.999
  0.10  7.0  0.711  -5.078  -2.439   -2.655 -99.999 -99.999  -99.999
  0.20  7.0  0.711  -5.078  -2.432   -2.648 -99.999 -99.999  -99.999
  0.40  7.0  0.708  -5.078  -2.409   -2.624 -57.423 -60.267  -58.454
  0.70  7.0  0.701  -5.078  -2.352   -2.561 -34.263 -36.950  -35.108
  1.00  7.0  0.689  -5.078  -2.273   -2.466 -24.763 -27.404  -25.541
  1.50  7.0  0.662  -5.078  -2.116   -2.262 -17.434 -19.703  -18.125
  2.00  7.0  0.622  -5.075  -1.953   -2.033 -13.746 -15.432  -14.358
  3.00  7.0  0.510  -4.836  -1.616   -1.563 -10.069 -10.460  -10.041
  5.00  7.0  0.187  -3.422  -1.137   -0.855  -7.338  -6.005   -5.552
 10.00  7.0 -0.315  -1.718   0.035    0.656  -5.548  -2.361   -1.677
 30.00  7.0 -0.490   1.096   2.465    3.607  -4.342   1.261    2.381
100.00  7.0 -0.509   2.854   5.329    7.019  -3.856   4.558    6.165
  0.01  8.0  1.936  -5.078  -0.110    0.015 -99.999 -99.999  -99.999
  0.10  8.0  1.936  -5.078  -0.111    0.015 -99.999 -99.999  -99.999
  0.20  8.0  1.935  -5.078  -0.110    0.016 -99.999 -99.999  -99.999
  0.40  8.0  1.934  -5.078  -0.108    0.019 -72.788 -75.713  -73.813
  0.70  8.0  1.931  -5.078  -0.103    0.029 -43.091 -45.806  -43.927
  1.00  8.0  1.925  -5.078  -0.095    0.044 -31.085 -33.634  -31.830
  1.50  8.0  1.913  -5.078  -0.076    0.078 -21.686 -23.906  -22.359
  2.00  8.0  1.895  -5.075  -0.051    0.124 -16.966 -18.638  -17.569
  3.00  8.0  1.844  -4.836   0.015    0.243 -12.242 -12.699  -12.266
  5.00  8.0  1.681  -3.420   0.213    0.566  -8.505  -7.508   -7.054
 10.00  8.0  0.982  -1.706   0.659    1.283  -5.916  -3.005   -2.325
 30.00  8.0 -0.302   1.097   2.496    3.637  -4.357   1.230    2.350
100.00  8.0 -0.492   2.854   5.330    7.019  -3.857   4.558    6.164
  0.01  9.0  4.671  -5.078   1.780    2.337 -99.999 -99.999  -99.999
  0.10  9.0  4.671  -5.078   1.780    2.337 -99.999 -99.999  -99.999
  0.20  9.0  4.671  -5.078   1.780    2.337 -99.999 -99.999  -99.999
  0.40  9.0  4.671  -5.078   1.780    2.338 -99.999 -99.999  -99.999
  0.70  9.0  4.665  -5.078   1.780    2.337 -62.717 -65.497  -63.545
  1.00  9.0  4.665  -5.078   1.782    2.341 -44.895 -47.443  -45.639
  1.50  9.0  4.660  -5.078   1.785    2.347 -30.918 -33.138  -31.591
  2.00  9.0  4.650  -5.075   1.789    2.353 -23.909 -25.582  -24.512
