 neg. daughter cr59 z=24 n=35 a=59 Q=-46.9800
 pos. daughter v59  z=23 n=36 a=59 Q=-37.3300
              +++++++++cr59 -->v59  +++++++++---------v59  -->cr59 ----------
    t9  lrho   uf   lbeta+  leps-     lnu    lbeta-   leps+   lnubar
  0.01  1.0 -0.003 -99.999 -99.999  -99.999   0.005 -99.999    0.713
  0.10  1.0 -0.058 -99.999 -99.999  -99.999   0.005 -55.035    0.713
  0.20  1.0 -0.134 -99.999 -99.999  -99.999   0.005 -27.988    0.713
  0.40  1.0 -0.306 -99.999 -99.999  -99.999   0.005 -13.893    0.713
  0.70  1.0 -0.503 -99.999 -77.925  -78.662   0.005  -8.052    0.713
  1.00  1.0 -0.511 -82.654 -55.597  -56.178   0.005  -6.547    0.713
  1.50  1.0 -0.511 -54.813 -38.037  -38.437   0.005  -5.292    0.713
  2.00  1.0 -0.511 -40.900 -29.147  -29.419   0.006  -4.579    0.715
  3.00  1.0 -0.511 -26.995 -20.066  -20.157   0.063  -3.709    0.781
  5.00  1.0 -0.511 -15.878 -12.130  -11.989   0.650  -2.384    1.420
 10.00  1.0 -0.511  -7.557  -5.165   -4.698   1.583  -0.429    2.374
 30.00  1.0 -0.511  -1.155   0.671    1.721   2.213   2.028    3.504
100.00  1.0 -0.511   2.261   4.629    6.309   2.355   4.820    6.450
  0.01  2.0 -0.001 -99.999 -99.999  -99.999   0.005 -99.999    0.713
  0.10  2.0 -0.038 -99.999 -99.999  -99.999   0.005 -56.037    0.713
  0.20  2.0 -0.095 -99.999 -99.999  -99.999   0.005 -28.989    0.713
  0.40  2.0 -0.227 -99.999 -99.999  -99.999   0.005 -14.893    0.713
  0.70  2.0 -0.446 -99.999 -77.512  -78.249   0.005  -8.465    0.713
  1.00  2.0 -0.506 -82.654 -55.575  -56.156   0.005  -6.568    0.713
  1.50  2.0 -0.511 -54.813 -38.035  -38.436   0.005  -5.293    0.713
  2.00  2.0 -0.511 -40.900 -29.146  -29.419   0.006  -4.580    0.715
  3.00  2.0 -0.511 -26.995 -20.066  -20.157   0.063  -3.709    0.781
  5.00  2.0 -0.511 -15.878 -12.130  -11.989   0.650  -2.384    1.420
 10.00  2.0 -0.511  -7.557  -5.165   -4.698   1.583  -0.429    2.374
 30.00  2.0 -0.511  -1.155   0.671    1.721   2.213   2.028    3.504
100.00  2.0 -0.511   2.261   4.629    6.309   2.355   4.820    6.450
  0.01  3.0  0.003 -99.999 -99.999  -99.999   0.005 -99.999    0.713
  0.10  3.0 -0.018 -99.999 -99.999  -99.999   0.005 -57.054    0.713
  0.20  3.0 -0.055 -99.999 -99.999  -99.999   0.005 -29.995    0.713
  0.40  3.0 -0.147 -99.999 -99.999  -99.999   0.005 -15.895    0.713
  0.70  3.0 -0.314 -99.999 -76.563  -77.301   0.005  -9.414    0.713
  1.00  3.0 -0.465 -82.654 -55.369  -55.950   0.005  -6.774    0.713
  1.50  3.0 -0.506 -54.813 -38.021  -38.422   0.005  -5.308    0.713
  2.00  3.0 -0.510 -40.900 -29.143  -29.416   0.006  -4.583    0.715
  3.00  3.0 -0.511 -26.995 -20.066  -20.156   0.063  -3.709    0.781
  5.00  3.0 -0.511 -15.878 -12.129  -11.989   0.650  -2.384    1.420
 10.00  3.0 -0.511  -7.557  -5.165   -4.698   1.583  -0.429    2.374
 30.00  3.0 -0.511  -1.155   0.671    1.721   2.213   2.028    3.504
100.00  3.0 -0.511   2.261   4.629    6.309   2.355   4.820    6.450
  0.01  4.0  0.012 -99.999 -99.999  -99.999   0.005 -99.999    0.713
  0.10  4.0  0.005 -99.999 -99.999  -99.999   0.005 -58.211    0.713
  0.20  4.0 -0.013 -99.999 -99.999  -99.999   0.005 -31.049    0.713
  0.40  4.0 -0.067 -99.999 -99.999  -99.999   0.005 -16.913    0.713
  0.70  4.0 -0.174 -99.999 -75.557  -76.295   0.005 -10.420    0.713
  1.00  4.0 -0.302 -82.654 -54.547  -55.128   0.005  -7.596    0.713
  1.50  4.0 -0.464 -54.813 -37.879  -38.280   0.005  -5.449    0.713
