 neg. daughter cu57 z=29 n=28 a=57 Q=-47.6000
 pos. daughter ni57 z=28 n=29 a=57 Q=-56.0767
              +++++++++cu57 -->ni57 +++++++++---------ni57 -->cu57 ----------
    t9  lrho   uf   lbeta+  leps-     lnu    lbeta-   leps+   lnubar
  0.01  1.0 -0.003   0.439  -5.108    1.044 -99.999 -99.999  -99.999
  0.10  1.0 -0.058   0.439  -5.612    1.044 -99.999 -99.999  -99.999
  0.20  1.0 -0.134   0.439  -5.758    1.044 -99.999 -99.999  -99.999
  0.40  1.0 -0.306   0.439  -5.897    1.044 -99.999 -99.999  -99.999
  0.70  1.0 -0.503   0.439  -5.357    1.044 -80.385 -61.398  -62.131
  1.00  1.0 -0.511   0.439  -4.095    1.044 -56.186 -43.661  -44.234
  1.50  1.0 -0.511   0.439  -2.972    1.044 -37.366 -29.726  -30.117
  2.00  1.0 -0.511   0.439  -2.333    1.046 -27.956 -22.638  -22.897
  3.00  1.0 -0.511   0.441  -1.569    1.053 -18.548 -15.376  -15.446
  5.00  1.0 -0.511   0.446  -0.720    1.102 -11.033  -9.272   -9.092
 10.00  1.0 -0.511   0.658   0.450    1.676  -5.437  -4.126   -3.586
 30.00  1.0 -0.511   1.915   2.916    4.196  -1.811   0.978    2.036
100.00  1.0 -0.511   2.416   5.617    7.295  -0.581   4.608    6.217
  0.01  2.0 -0.001   0.439  -4.128    1.044 -99.999 -99.999  -99.999
  0.10  2.0 -0.038   0.439  -4.613    1.044 -99.999 -99.999  -99.999
  0.20  2.0 -0.095   0.439  -4.758    1.044 -99.999 -99.999  -99.999
  0.40  2.0 -0.227   0.439  -4.897    1.044 -99.999 -99.999  -99.999
  0.70  2.0 -0.446   0.439  -4.944    1.044 -80.385 -61.811  -62.544
  1.00  2.0 -0.506   0.439  -4.073    1.044 -56.186 -43.682  -44.256
  1.50  2.0 -0.511   0.439  -2.970    1.044 -37.366 -29.728  -30.118
  2.00  2.0 -0.511   0.439  -2.332    1.046 -27.956 -22.639  -22.898
  3.00  2.0 -0.511   0.441  -1.569    1.053 -18.548 -15.376  -15.446
  5.00  2.0 -0.511   0.446  -0.720    1.102 -11.033  -9.272   -9.092
 10.00  2.0 -0.511   0.658   0.450    1.676  -5.437  -4.126   -3.586
 30.00  2.0 -0.511   1.915   2.916    4.196  -1.811   0.978    2.036
100.00  2.0 -0.511   2.416   5.617    7.295  -0.581   4.608    6.217
  0.01  3.0  0.003   0.439  -3.227    1.044 -99.999 -99.999  -99.999
  0.10  3.0 -0.018   0.439  -3.618    1.044 -99.999 -99.999  -99.999
  0.20  3.0 -0.055   0.439  -3.760    1.044 -99.999 -99.999  -99.999
  0.40  3.0 -0.147   0.439  -3.897    1.044 -99.999 -99.999  -99.999
  0.70  3.0 -0.314   0.439  -3.996    1.044 -80.385 -62.760  -63.492
  1.00  3.0 -0.465   0.439  -3.867    1.044 -56.186 -43.888  -44.462
  1.50  3.0 -0.506   0.439  -2.956    1.044 -37.366 -29.742  -30.133
  2.00  3.0 -0.510   0.439  -2.329    1.046 -27.956 -22.642  -22.901
  3.00  3.0 -0.511   0.441  -1.568    1.053 -18.549 -15.376  -15.447
  5.00  3.0 -0.511   0.446  -0.720    1.102 -11.033  -9.272   -9.092
 10.00  3.0 -0.511   0.658   0.450    1.676  -5.437  -4.126   -3.586
 30.00  3.0 -0.511   1.915   2.916    4.196  -1.811   0.978    2.036
100.00  3.0 -0.511   2.416   5.617    7.295  -0.581   4.608    6.217
  0.01  4.0  0.012   0.439  -2.565    1.045 -99.999 -99.999  -99.999
  0.10  4.0  0.005   0.439  -2.675    1.045 -99.999 -99.999  -99.999
  0.20  4.0 -0.013   0.439  -2.781    1.044 -99.999 -99.999  -99.999
  0.40  4.0 -0.067   0.439  -2.903    1.044 -99.999 -99.999  -99.999
  0.70  4.0 -0.174   0.439  -2.999    1.044 -80.385 -63.766  -64.498
  1.00  4.0 -0.302   0.439  -3.050    1.044 -56.187 -44.710  -45.284
  1.50  4.0 -0.464   0.439  -2.815    1.045 -37.366 -29.884  -30.274
  2.00  4.0 -0.497   0.439  -2.298    1.046 -27.956 -22.673  -22.933
  3.00  4.0 -0.507   0.441  -1.563    1.053 -18.549 -15.382  -15.452
  5.00  4.0 -0.510   0.446  -0.719    1.102 -11.033  -9.273   -9.093
 10.00  4.0 -0.511   0.658   0.450    1.676  -5.437  -4.126   -3.586
 30.00  4.0 -0.511   1.915   2.916    4.196  -1.811   0.978    2.036
