 neg. daughter f21  z= 9 n=12 a=21 Q= -0.0470
 pos. daughter o21  z= 8 n=13 a=21 Q=  8.1400
              +++++++++f21  -->o21  +++++++++---------o21  -->f21  ----------
    t9  lrho   uf   lbeta+  leps-     lnu    lbeta-   leps+   lnubar
  0.01  1.0 -0.003 -99.999 -99.999  -99.999  -0.316 -99.999    0.291
  0.10  1.0 -0.058 -99.999 -99.999  -99.999  -0.316 -53.939    0.291
  0.20  1.0 -0.134 -99.999 -99.999  -99.999  -0.316 -27.117    0.291
  0.40  1.0 -0.306 -99.999 -99.999  -99.999  -0.316 -13.184    0.291
  0.70  1.0 -0.503 -80.157 -67.338  -68.073  -0.316  -7.439    0.291
  1.00  1.0 -0.511 -56.641 -48.131  -48.707  -0.316  -5.980    0.292
  1.50  1.0 -0.511 -38.347 -32.971  -33.366  -0.310  -4.765    0.299
  2.00  1.0 -0.511 -29.196 -25.261  -25.526  -0.298  -4.070    0.312
  3.00  1.0 -0.511 -20.040 -17.363  -17.441  -0.272  -3.237    0.342
  5.00  1.0 -0.511 -12.738 -10.749  -10.569  -0.235  -2.318    0.389
 10.00  1.0 -0.511  -7.110  -5.237   -4.634  -0.196  -1.058    0.538
 30.00  1.0 -0.511  -1.516  -0.001    1.141   1.715   1.593    3.056
100.00  1.0 -0.511   0.333   3.933    5.560   2.963   4.794    6.480
  0.01  2.0 -0.001 -99.999 -99.999  -99.999  -0.316 -99.999    0.291
  0.10  2.0 -0.038 -99.999 -99.999  -99.999  -0.316 -54.941    0.291
  0.20  2.0 -0.095 -99.999 -99.999  -99.999  -0.316 -28.118    0.291
  0.40  2.0 -0.227 -99.999 -99.999  -99.999  -0.316 -14.184    0.291
  0.70  2.0 -0.446 -80.156 -66.925  -67.660  -0.316  -7.852    0.291
  1.00  2.0 -0.506 -56.641 -48.109  -48.685  -0.316  -6.002    0.292
  1.50  2.0 -0.511 -38.347 -32.969  -33.364  -0.310  -4.766    0.299
  2.00  2.0 -0.511 -29.196 -25.260  -25.525  -0.298  -4.070    0.312
  3.00  2.0 -0.511 -20.040 -17.363  -17.441  -0.272  -3.237    0.342
  5.00  2.0 -0.511 -12.738 -10.749  -10.569  -0.235  -2.318    0.389
 10.00  2.0 -0.511  -7.110  -5.237   -4.634  -0.196  -1.058    0.538
 30.00  2.0 -0.511  -1.516  -0.001    1.141   1.715   1.593    3.056
100.00  2.0 -0.511   0.333   3.933    5.560   2.963   4.794    6.480
  0.01  3.0  0.003 -99.999 -99.999  -99.999  -0.316 -99.999    0.291
  0.10  3.0 -0.018 -99.999 -99.999  -99.999  -0.316 -55.958    0.291
  0.20  3.0 -0.055 -99.999 -99.999  -99.999  -0.316 -29.123    0.291
  0.40  3.0 -0.147 -99.999 -99.999  -99.999  -0.316 -15.187    0.291
  0.70  3.0 -0.314 -80.156 -65.977  -66.711  -0.316  -8.801    0.291
  1.00  3.0 -0.465 -56.641 -47.903  -48.479  -0.316  -6.208    0.292
  1.50  3.0 -0.506 -38.347 -32.955  -33.350  -0.310  -4.781    0.299
  2.00  3.0 -0.510 -29.196 -25.257  -25.522  -0.298  -4.073    0.312
  3.00  3.0 -0.511 -20.040 -17.362  -17.440  -0.272  -3.238    0.342
  5.00  3.0 -0.511 -12.738 -10.749  -10.569  -0.235  -2.318    0.389
 10.00  3.0 -0.511  -7.110  -5.237   -4.634  -0.196  -1.058    0.538
 30.00  3.0 -0.511  -1.516  -0.001    1.141   1.715   1.593    3.056
100.00  3.0 -0.511   0.333   3.933    5.560   2.963   4.794    6.480
  0.01  4.0  0.012 -99.999 -99.999  -99.999  -0.316 -99.999    0.291
  0.10  4.0  0.005 -99.999 -99.999  -99.999  -0.316 -57.115    0.291
  0.20  4.0 -0.013 -99.999 -99.999  -99.999  -0.316 -30.178    0.291
  0.40  4.0 -0.067 -99.999 -99.999  -99.999  -0.316 -16.205    0.291
  0.70  4.0 -0.174 -80.156 -64.970  -65.705  -0.316  -9.807    0.291
  1.00  4.0 -0.302 -56.641 -47.081  -47.657  -0.316  -7.030    0.292
  1.50  4.0 -0.464 -38.347 -32.813  -33.208  -0.310  -4.922    0.299
  2.00  4.0 -0.497 -29.195 -25.226  -25.491  -0.298  -4.104    0.312
  3.00  4.0 -0.507 -20.040 -17.357  -17.435  -0.272  -3.243    0.342
  5.00  4.0 -0.510 -12.738 -10.748  -10.568  -0.235  -2.319    0.389
 10.00  4.0 -0.511  -7.110  -5.237   -4.634  -0.196  -1.058    0.538
 30.00  4.0 -0.511  -1.516  -0.001    1.141   1.715   1.593    3.056
100.00  4.0 -0.511   0.333   3.933    5.560   2.963   4.794    6.480
