 neg. daughter fe52 z=26 n=26 a=52 Q=-48.3321
 pos. daughter mn52 z=25 n=27 a=52 Q=-50.7042
              +++++++++fe52 -->mn52 +++++++++---------mn52 -->fe52 ----------
    t9  lrho   uf   lbeta+  leps-     lnu    lbeta-   leps+   lnubar
  0.01  1.0 -0.003  -4.818  -7.735   -5.130 -99.999 -99.999  -99.999
  0.10  1.0 -0.058  -4.818  -8.236   -5.131 -99.999 -99.999  -99.999
  0.20  1.0 -0.134  -4.818  -8.377   -5.131 -99.999 -65.914  -67.187
  0.40  1.0 -0.306  -4.818  -8.506   -5.131 -99.999 -34.605  -35.566
  0.70  1.0 -0.503  -4.818  -7.950   -5.130 -61.406 -21.249  -21.951
  1.00  1.0 -0.511  -4.815  -6.672   -5.101 -42.794 -16.659  -17.193
  1.50  1.0 -0.511  -4.738  -5.514   -4.775 -28.323 -12.920  -13.260
  2.00  1.0 -0.511  -4.517  -4.823   -4.248 -21.093 -10.883  -11.088
  3.00  1.0 -0.511  -4.062  -3.923   -3.386 -13.867  -8.588   -8.603
  5.00  1.0 -0.511  -3.295  -2.831   -2.179  -8.087  -6.334   -6.097
 10.00  1.0 -0.511  -1.227  -1.107   -0.081  -3.683  -3.763   -2.863
 30.00  1.0 -0.511   1.476   2.261    3.535  -0.467   0.626    1.770
100.00  1.0 -0.511   2.744   5.416    7.107   0.731   4.411    6.019
  0.01  2.0 -0.001  -4.818  -6.755   -5.113 -99.999 -99.999  -99.999
  0.10  2.0 -0.038  -4.818  -7.237   -5.125 -99.999 -99.999  -99.999
  0.20  2.0 -0.095  -4.818  -7.378   -5.127 -99.999 -66.915  -68.188
  0.40  2.0 -0.227  -4.818  -7.506   -5.128 -99.999 -35.605  -36.565
  0.70  2.0 -0.446  -4.818  -7.538   -5.128 -61.406 -21.662  -22.364
  1.00  2.0 -0.506  -4.815  -6.650   -5.100 -42.794 -16.680  -17.214
  1.50  2.0 -0.511  -4.738  -5.513   -4.774 -28.323 -12.921  -13.262
  2.00  2.0 -0.511  -4.517  -4.823   -4.248 -21.093 -10.884  -11.089
  3.00  2.0 -0.511  -4.062  -3.923   -3.386 -13.867  -8.588   -8.603
  5.00  2.0 -0.511  -3.295  -2.831   -2.179  -8.087  -6.334   -6.097
 10.00  2.0 -0.511  -1.227  -1.107   -0.081  -3.683  -3.763   -2.863
 30.00  2.0 -0.511   1.476   2.261    3.535  -0.467   0.626    1.770
100.00  2.0 -0.511   2.744   5.416    7.107   0.731   4.411    6.019
  0.01  3.0  0.003  -4.818  -5.854   -5.003 -99.999 -99.999  -99.999
  0.10  3.0 -0.018  -4.818  -6.242   -5.074 -99.999 -99.999  -99.999
  0.20  3.0 -0.055  -4.818  -6.380   -5.089 -99.999 -67.920  -69.193
  0.40  3.0 -0.147  -4.818  -6.506   -5.099 -99.999 -36.608  -37.568
  0.70  3.0 -0.314  -4.818  -6.590   -5.104 -61.406 -22.610  -23.312
  1.00  3.0 -0.465  -4.815  -6.444   -5.086 -42.794 -16.886  -17.420
  1.50  3.0 -0.506  -4.738  -5.498   -4.768 -28.323 -12.935  -13.276
  2.00  3.0 -0.510  -4.517  -4.820   -4.246 -21.093 -10.887  -11.092
  3.00  3.0 -0.511  -4.062  -3.922   -3.386 -13.867  -8.589   -8.604
  5.00  3.0 -0.511  -3.295  -2.831   -2.179  -8.087  -6.334   -6.097
 10.00  3.0 -0.511  -1.227  -1.107   -0.081  -3.683  -3.763   -2.863
 30.00  3.0 -0.511   1.476   2.261    3.535  -0.467   0.626    1.770
100.00  3.0 -0.511   2.744   5.416    7.107   0.731   4.411    6.019
  0.01  4.0  0.012  -4.818  -5.190   -4.716 -99.999 -99.999  -99.999
  0.10  4.0  0.005  -4.818  -5.298   -4.779 -99.999 -99.999  -99.999
  0.20  4.0 -0.013  -4.818  -5.399   -4.831 -99.999 -68.975  -70.248
  0.40  4.0 -0.067  -4.818  -5.512   -4.881 -99.999 -37.626  -38.586
  0.70  4.0 -0.174  -4.818  -5.592   -4.911 -61.406 -23.616  -24.318
  1.00  4.0 -0.302  -4.814  -5.627   -4.916 -42.794 -17.708  -18.242
  1.50  4.0 -0.464  -4.738  -5.358   -4.708 -28.323 -13.077  -13.418
  2.00  4.0 -0.497  -4.517  -4.789   -4.227 -21.093 -10.918  -11.123
  3.00  4.0 -0.507  -4.062  -3.917   -3.381 -13.867  -8.594   -8.609
  5.00  4.0 -0.510  -3.295  -2.830   -2.178  -8.087  -6.335   -6.098
 10.00  4.0 -0.511  -1.227  -1.107   -0.081  -3.683  -3.763   -2.863
 30.00  4.0 -0.511   1.476   2.261    3.535  -0.467   0.626    1.770
100.00  4.0 -0.511   2.744   5.416    7.107   0.731   4.411    6.019
  0.01  5.0  0.053  -4.818  -4.483   -4.165 -99.999 -99.999  -99.999
  0.10  5.0  0.052  -4.818  -4.491   -4.172 -99.999 -99.999  -99.999
  0.20  5.0  0.047  -4.818  -4.508   -4.186 -99.999 -70.482  -71.755
  0.40  5.0  0.026  -4.818  -4.559   -4.226 -99.999 -38.794  -39.755
  0.70  5.0 -0.026  -4.818  -4.609   -4.262 -61.407 -24.683  -25.385
  1.00  5.0 -0.098  -4.814  -4.637   -4.276 -42.794 -18.740  -19.274
  1.50  5.0 -0.246  -4.737  -4.640   -4.235 -28.323 -13.811  -14.151
  2.00  5.0 -0.383  -4.516  -4.507   -4.030 -21.093 -11.207  -11.412
  3.00  5.0 -0.476  -4.061  -3.865   -3.339 -13.867  -8.648   -8.663
  5.00  5.0 -0.502  -3.294  -2.822   -2.171  -8.087  -6.343   -6.106
 10.00  5.0 -0.509  -1.227  -1.106   -0.080  -3.683  -3.764   -2.864
 30.00  5.0 -0.511   1.476   2.261    3.535  -0.467   0.626    1.770
100.00  5.0 -0.511   2.744   5.416    7.107   0.731   4.411    6.019
  0.01  6.0  0.215  -4.818  -3.670   -3.372 -99.999 -99.999  -99.999
  0.10  6.0  0.214  -4.818  -3.670   -3.372 -99.999 -99.999  -99.999
  0.20  6.0  0.213  -4.818  -3.669   -3.369 -99.999 -74.667  -75.940
  0.40  6.0  0.206  -4.818  -3.670   -3.369 -99.999 -41.067  -42.027
  0.70  6.0  0.189  -4.818  -3.670   -3.362 -61.409 -26.233  -26.935
  1.00  6.0  0.161  -4.814  -3.670   -3.354 -42.796 -20.043  -20.577
  1.50  6.0  0.093  -4.737  -3.657   -3.317 -28.325 -14.949  -15.289
  2.00  6.0  0.001  -4.515  -3.620   -3.239 -21.095 -12.173  -12.379
  3.00  6.0 -0.212  -4.057  -3.446   -2.968 -13.868  -9.090   -9.105
  5.00  6.0 -0.420  -3.292  -2.744   -2.102  -8.087  -6.426   -6.186
 10.00  6.0 -0.491  -1.226  -1.098   -0.074  -3.684  -3.773   -2.868
 30.00  6.0 -0.509   1.476   2.261    3.535  -0.467   0.626    1.770
100.00  6.0 -0.511   2.744   5.416    7.107   0.731   4.411    6.019
  0.01  7.0  0.711  -4.818  -2.651   -2.287 -99.999 -99.999  -99.999
  0.10  7.0  0.711  -4.818  -2.651   -2.286 -99.999 -99.999  -99.999
  0.20  7.0  0.711  -4.818  -2.650   -2.285 -99.999 -87.209  -88.482
  0.40  7.0  0.708  -4.818  -2.649   -2.283 -99.999 -47.390  -48.350
  0.70  7.0  0.701  -4.818  -2.645   -2.277 -61.423 -29.916  -30.618
  1.00  7.0  0.689  -4.814  -2.639   -2.266 -42.810 -22.706  -23.240
  1.50  7.0  0.662  -4.737  -2.620   -2.233 -28.339 -16.860  -17.200
  2.00  7.0  0.622  -4.515  -2.582   -2.171 -21.109 -13.739  -13.944
  3.00  7.0  0.510  -4.054  -2.462   -1.986 -13.881 -10.304  -10.319
  5.00  7.0  0.187  -3.282  -2.187   -1.577  -8.097  -7.037   -6.746
 10.00  7.0 -0.315  -1.224  -1.014   -0.008  -3.687  -3.861   -2.913
 30.00  7.0 -0.490   1.476   2.264    3.538  -0.467   0.623    1.767
100.00  7.0 -0.509   2.744   5.416    7.107   0.731   4.411    6.019
  0.01  8.0  1.936  -4.818  -1.404   -0.884 -99.999 -99.999  -99.999
  0.10  8.0  1.936  -4.818  -1.404   -0.884 -99.999 -99.999  -99.999
  0.20  8.0  1.935  -4.818  -1.404   -0.884 -99.999 -99.999  -99.999
  0.40  8.0  1.934  -4.818  -1.403   -0.883 -99.999 -62.836  -63.796
  0.70  8.0  1.931  -4.818  -1.402   -0.881 -61.530 -38.771  -39.473
  1.00  8.0  1.925  -4.814  -1.399   -0.876 -42.917 -28.936  -29.470
  1.50  8.0  1.913  -4.737  -1.389   -0.861 -28.445 -21.063  -21.404
  2.00  8.0  1.895  -4.515  -1.365   -0.824 -21.214 -16.946  -17.151
  3.00  8.0  1.844  -4.054  -1.279   -0.701 -13.983 -12.544  -12.514
  5.00  8.0  1.681  -3.279  -1.092   -0.434  -8.190  -8.543   -7.621
 10.00  8.0  0.982  -1.213  -0.427    0.509  -3.743  -4.513   -3.161
 30.00  8.0 -0.302   1.478   2.295    3.567  -0.474   0.592    1.737
100.00  8.0 -0.492   2.744   5.417    7.108   0.731   4.410    6.018
  0.01  9.0  4.671  -4.818   0.009    0.753 -99.999 -99.999  -99.999
  0.10  9.0  4.671  -4.818   0.009    0.753 -99.999 -99.999  -99.999
  0.20  9.0  4.671  -4.818   0.009    0.753 -99.999 -99.999  -99.999
  0.40  9.0  4.671  -4.818   0.009    0.754 -99.999 -97.314  -98.275
  0.70  9.0  4.665  -4.818   0.008    0.753 -62.470 -58.462  -59.164
  1.00  9.0  4.665  -4.814   0.010    0.756 -43.854 -42.745  -43.161
  1.50  9.0  4.660  -4.737   0.015    0.763 -29.370 -30.295  -29.267
  2.00  9.0  4.650  -4.515   0.029    0.782 -22.121 -23.889  -22.016
  3.00  9.0  4.625  -4.054   0.086    0.856 -14.848 -17.216  -14.705
  5.00  9.0  4.551  -3.279   0.219    1.024  -8.954 -11.436   -8.729
 10.00  9.0  4.197  -1.210   0.771    1.694  -4.269  -6.132   -3.895
 30.00  9.0  1.461   1.493   2.576    3.837  -0.560   0.301    1.450
100.00  9.0 -0.324   2.746   5.425    7.116   0.727   4.402    6.010
  0.01 10.0 10.608  -4.818   2.558    3.170 -99.999 -99.999  -99.999
  0.10 10.0 10.608  -4.818   2.558    3.170 -99.999 -99.999  -99.999
  0.20 10.0 10.608  -4.818   2.558    3.170 -99.999 -99.999  -99.999
  0.40 10.0 10.608  -4.818   2.559    3.171 -99.999 -99.999  -99.999
  0.70 10.0 10.608  -4.818   2.560    3.172 -97.218 -99.999  -97.968
  1.00 10.0 10.603  -4.814   2.559    3.172 -68.702 -72.672  -69.301
  1.50 10.0 10.603  -4.737   2.563    3.178 -46.400 -50.263  -46.828
  2.00 10.0 10.598  -4.515   2.569    3.188 -35.139 -38.878  -35.448
