 neg. daughter  k38 z=19 n=19 a=38 Q=-28.8020
 pos. daughter ar38 z=18 n=20 a=38 Q=-34.7150
              +++++++++ k38 -->ar38 +++++++++---------ar38 --> k38 ----------
    t9  lrho   uf   lbeta+  leps-     lnu    lbeta-   leps+   lnubar
  0.01  1.0 -0.003  -2.765  -7.475   -2.573 -99.999 -99.999  -99.999
  0.10  1.0 -0.058  -2.765  -7.973   -2.573 -99.999 -99.999  -99.999
  0.20  1.0 -0.134  -2.750  -8.107   -2.546 -99.999 -99.999  -99.999
  0.40  1.0 -0.306  -2.355  -8.149   -1.993 -99.999 -76.520  -77.496
  0.70  1.0 -0.503  -1.816  -7.366   -1.393 -62.985 -43.825  -44.554
  1.00  1.0 -0.511  -1.551  -5.923   -1.118 -43.981 -31.437  -32.007
  1.50  1.0 -0.511  -1.314  -4.607   -0.874 -29.193 -21.611  -21.998
  2.00  1.0 -0.511  -1.175  -3.844   -0.730 -21.792 -16.546  -16.802
  3.00  1.0 -0.511  -1.016  -2.931   -0.557 -14.384 -11.279  -11.345
  5.00  1.0 -0.511  -0.877  -1.943   -0.346  -8.459  -6.746   -6.559
 10.00  1.0 -0.511  -0.807  -0.694    0.310  -4.164  -2.917   -2.351
 30.00  1.0 -0.511   0.523   1.677    2.861  -1.820   0.754    1.875
100.00  1.0 -0.511   1.610   4.592    6.264  -1.105   4.070    5.689
  0.01  2.0 -0.001  -2.765  -6.496   -2.573 -99.999 -99.999  -99.999
  0.10  2.0 -0.038  -2.765  -6.974   -2.573 -99.999 -99.999  -99.999
  0.20  2.0 -0.095  -2.750  -7.107   -2.546 -99.999 -99.999  -99.999
  0.40  2.0 -0.227  -2.355  -7.149   -1.993 -99.999 -77.520  -78.496
  0.70  2.0 -0.446  -1.816  -6.953   -1.393 -62.985 -44.238  -44.967
  1.00  2.0 -0.506  -1.551  -5.901   -1.118 -43.981 -31.458  -32.028
  1.50  2.0 -0.511  -1.314  -4.605   -0.874 -29.193 -21.612  -21.999
  2.00  2.0 -0.511  -1.175  -3.843   -0.730 -21.792 -16.546  -16.802
