 neg. daughter k43  z=19 n=24 a=43 Q=-36.5880
 pos. daughter ar43 z=18 n=25 a=43 Q=-31.9800
              +++++++++k43  -->ar43 +++++++++---------ar43 -->k43  ----------
    t9  lrho   uf   lbeta+  leps-     lnu    lbeta-   leps+   lnubar
  0.01  1.0 -0.003 -99.999 -99.999  -99.999  -2.745 -99.999   -2.525
  0.10  1.0 -0.058 -99.999 -99.999  -99.999  -2.745 -55.838   -2.525
  0.20  1.0 -0.134 -99.999 -99.999  -99.999  -2.745 -28.859   -2.525
  0.40  1.0 -0.306 -99.999 -68.730  -69.706  -2.745 -14.810   -2.525
  0.70  1.0 -0.503 -75.319 -42.859  -43.585  -2.745  -8.993   -2.525
  1.00  1.0 -0.511 -52.618 -31.371  -31.936  -2.745  -7.494   -2.525
  1.50  1.0 -0.511 -34.967 -22.217  -22.596  -2.745  -6.238   -2.525
  2.00  1.0 -0.511 -26.156 -17.521  -17.766  -2.741  -5.518   -2.517
  3.00  1.0 -0.511 -17.396 -12.685  -12.738  -2.638  -4.645   -2.339
  5.00  1.0 -0.511 -10.507  -8.469   -8.280  -1.986  -3.555   -1.517
 10.00  1.0 -0.511  -5.443  -4.499   -3.860  -1.160  -1.874   -0.492
 30.00  1.0 -0.511  -0.652   0.257    1.520  -0.876   0.950    2.007
100.00  1.0 -0.511   1.961   4.327    6.044  -0.983   4.719    6.287
  0.01  2.0 -0.001 -99.999 -99.999  -99.999  -2.745 -99.999   -2.525
  0.10  2.0 -0.038 -99.999 -99.999  -99.999  -2.745 -56.839   -2.525
  0.20  2.0 -0.095 -99.999 -99.999  -99.999  -2.745 -29.860   -2.525
  0.40  2.0 -0.227 -99.999 -67.731  -68.707  -2.745 -15.810   -2.525
  0.70  2.0 -0.446 -75.319 -42.446  -43.172  -2.745  -9.406   -2.525
  1.00  2.0 -0.506 -52.618 -31.349  -31.914  -2.745  -7.516   -2.525
  1.50  2.0 -0.511 -34.967 -22.215  -22.594  -2.745  -6.240   -2.525
  2.00  2.0 -0.511 -26.156 -17.521  -17.766  -2.741  -5.519   -2.517
  3.00  2.0 -0.511 -17.396 -12.685  -12.738  -2.638  -4.645   -2.339
  5.00  2.0 -0.511 -10.507  -8.469   -8.280  -1.986  -3.555   -1.517
 10.00  2.0 -0.511  -5.443  -4.499   -3.860  -1.160  -1.874   -0.492
 30.00  2.0 -0.511  -0.652   0.257    1.520  -0.876   0.950    2.007
100.00  2.0 -0.511   1.961   4.327    6.044  -0.983   4.719    6.287
  0.01  3.0  0.003 -99.999 -99.999  -99.999  -2.745 -99.999   -2.525
  0.10  3.0 -0.018 -99.999 -99.999  -99.999  -2.745 -57.857   -2.525
  0.20  3.0 -0.055 -99.999 -99.999  -99.999  -2.745 -30.865   -2.525
  0.40  3.0 -0.147 -99.999 -66.728  -67.704  -2.745 -16.813   -2.525
  0.70  3.0 -0.314 -75.319 -41.498  -42.224  -2.745 -10.354   -2.525
  1.00  3.0 -0.465 -52.618 -31.143  -31.708  -2.745  -7.721   -2.525
  1.50  3.0 -0.506 -34.967 -22.201  -22.580  -2.745  -6.254   -2.525
  2.00  3.0 -0.510 -26.156 -17.517  -17.763  -2.741  -5.522   -2.517
  3.00  3.0 -0.511 -17.396 -12.684  -12.738  -2.638  -4.646   -2.339
  5.00  3.0 -0.511 -10.507  -8.469   -8.280  -1.986  -3.555   -1.517
 10.00  3.0 -0.511  -5.443  -4.499   -3.860  -1.160  -1.874   -0.492
 30.00  3.0 -0.511  -0.652   0.257    1.520  -0.876   0.950    2.007
100.00  3.0 -0.511   1.961   4.327    6.044  -0.983   4.719    6.287
  0.01  4.0  0.012 -99.999 -99.999  -99.999  -2.745 -99.999   -2.526
  0.10  4.0  0.005 -99.999 -99.999  -99.999  -2.745 -59.013   -2.526
  0.20  4.0 -0.013 -99.999 -99.999  -99.999  -2.745 -31.920   -2.526
  0.40  4.0 -0.067 -99.999 -65.710  -66.686  -2.745 -17.831   -2.526
  0.70  4.0 -0.174 -75.319 -40.491  -41.218  -2.745 -11.360   -2.526
  1.00  4.0 -0.302 -52.618 -30.321  -30.886  -2.745  -8.543   -2.526
  1.50  4.0 -0.464 -34.967 -22.059  -22.438  -2.745  -6.395   -2.525
  2.00  4.0 -0.497 -26.156 -17.486  -17.731  -2.741  -5.553   -2.518
  3.00  4.0 -0.507 -17.396 -12.679  -12.733  -2.638  -4.651   -2.339
  5.00  4.0 -0.510 -10.507  -8.468   -8.279  -1.986  -3.556   -1.517
 10.00  4.0 -0.511  -5.443  -4.499   -3.859  -1.160  -1.874   -0.492
 30.00  4.0 -0.511  -0.652   0.257    1.520  -0.876   0.950    2.007
100.00  4.0 -0.511   1.961   4.327    6.044  -0.983   4.719    6.287
  0.01  5.0  0.053 -99.999 -99.999  -99.999  -2.747 -99.999   -2.530
  0.10  5.0  0.052 -99.999 -99.999  -99.999  -2.747 -61.357   -2.530
  0.20  5.0  0.047 -99.999 -99.999  -99.999  -2.747 -33.427   -2.530
  0.40  5.0  0.026 -99.999 -64.541  -65.518  -2.747 -18.999   -2.529
  0.70  5.0 -0.026 -75.319 -39.425  -40.151  -2.747 -12.427   -2.528
  1.00  5.0 -0.098 -52.618 -29.290  -29.855  -2.746  -9.575   -2.528
  1.50  5.0 -0.246 -34.967 -21.325  -21.704  -2.746  -7.128   -2.527
  2.00  5.0 -0.383 -26.155 -17.197  -17.443  -2.742  -5.840   -2.520
  3.00  5.0 -0.476 -17.396 -12.625  -12.679  -2.638  -4.704   -2.341
  5.00  5.0 -0.502 -10.507  -8.460   -8.271  -1.986  -3.564   -1.518
 10.00  5.0 -0.509  -5.443  -4.498   -3.859  -1.160  -1.875   -0.493
 30.00  5.0 -0.511  -0.652   0.257    1.520  -0.876   0.950    2.007
100.00  5.0 -0.511   1.961   4.327    6.044  -0.983   4.719    6.287
  0.01  6.0  0.215 -99.999 -99.999  -99.999  -2.761 -99.999   -2.551
  0.10  6.0  0.214 -99.999 -99.999  -99.999  -2.762 -69.547   -2.552
  0.20  6.0  0.213 -99.999 -99.999  -99.999  -2.762 -37.612   -2.552
  0.40  6.0  0.206 -99.999 -62.269  -63.245  -2.762 -21.272   -2.551
  0.70  6.0  0.189 -75.319 -37.875  -38.601  -2.761 -13.977   -2.550
  1.00  6.0  0.161 -52.618 -27.987  -28.552  -2.760 -10.878   -2.548
  1.50  6.0  0.093 -34.967 -20.187  -20.566  -2.758  -8.266   -2.546
  2.00  6.0  0.001 -26.155 -16.231  -16.476  -2.753  -6.805   -2.536
  3.00  6.0 -0.212 -17.395 -12.183  -12.237  -2.644  -5.140   -2.353
  5.00  6.0 -0.420 -10.507  -8.377   -8.189  -1.987  -3.643   -1.523
 10.00  6.0 -0.491  -5.442  -4.489   -3.850  -1.160  -1.883   -0.496
 30.00  6.0 -0.509  -0.652   0.257    1.520  -0.876   0.950    2.007
100.00  6.0 -0.511   1.961   4.327    6.044  -0.983   4.719    6.287
  0.01  7.0  0.711 -99.999 -99.999  -99.999  -2.857 -99.999   -2.686
  0.10  7.0  0.711 -99.999 -99.999  -99.999  -2.858 -94.605   -2.687
  0.20  7.0  0.711 -99.999 -99.999  -99.999  -2.859 -50.154   -2.688
  0.40  7.0  0.708 -99.999 -55.946  -56.922  -2.858 -27.595   -2.687
  0.70  7.0  0.701 -75.319 -34.192  -34.919  -2.857 -17.659   -2.685
  1.00  7.0  0.689 -52.618 -25.324  -25.889  -2.855 -13.541   -2.681
  1.50  7.0  0.662 -34.967 -18.276  -18.655  -2.850 -10.177   -2.673
  2.00  7.0  0.622 -26.155 -14.669  -14.914  -2.840  -8.370   -2.654
  3.00  7.0  0.510 -17.395 -10.968  -11.022  -2.706  -6.351   -2.430
  5.00  7.0  0.187 -10.504  -7.764   -7.581  -2.005  -4.243   -1.559
 10.00  7.0 -0.315  -5.438  -4.401   -3.768  -1.165  -1.968   -0.526
 30.00  7.0 -0.490  -0.652   0.260    1.523  -0.876   0.947    2.004
100.00  7.0 -0.509   1.962   4.327    6.044  -0.983   4.719    6.287
  0.01  8.0  1.936 -99.999 -99.999  -99.999  -3.481 -99.999   -3.417
  0.10  8.0  1.936 -99.999 -99.999  -99.999  -3.493 -99.999   -3.434
  0.20  8.0  1.935 -99.999 -75.088  -76.370  -3.498 -81.008   -3.442
  0.40  8.0  1.934 -99.999 -40.506  -41.482  -3.494 -43.041   -3.442
  0.70  8.0  1.931 -75.319 -25.342  -26.068  -3.487 -26.515   -3.434
  1.00  8.0  1.925 -52.618 -19.100  -19.664  -3.481 -19.771   -3.424
  1.50  8.0  1.913 -34.967 -14.015  -14.409  -3.457 -14.380   -3.395
  2.00  8.0  1.895 -26.155 -11.435  -11.688  -3.415 -11.577   -3.333
  3.00  8.0  1.844 -17.395  -8.726   -8.781  -3.097  -8.591   -2.844
  5.00  8.0  1.681 -10.503  -6.275   -6.089  -2.156  -5.745   -1.754
 10.00  8.0  0.982  -5.420  -3.759   -3.153  -1.228  -2.608   -0.711
 30.00  8.0 -0.302  -0.650   0.290    1.552  -0.883   0.915    1.973
100.00  8.0 -0.492   1.962   4.328    6.045  -0.983   4.718    6.286
  0.01  9.0  4.671 -99.999 -99.999  -99.999 -99.999 -99.999  -99.999
  0.10  9.0  4.671 -99.999 -52.998  -53.098 -53.429 -99.999  -54.840
  0.20  9.0  4.671 -99.999 -28.422  -28.521 -34.721 -99.999  -36.011
  0.40  9.0  4.671 -99.999 -16.130  -16.224 -20.752 -77.519  -21.744
  0.70  9.0  4.665 -75.319 -10.852  -10.936 -14.208 -46.206  -14.663
  1.00  9.0  4.665 -52.618  -8.713   -8.779 -10.825 -33.580  -11.020
  1.50  9.0  4.660 -34.967  -7.011   -7.040  -7.855 -23.612   -7.984
  2.00  9.0  4.650 -26.155  -6.109   -6.091  -6.342 -18.520   -6.414
  3.00  9.0  4.625 -17.395  -4.978   -4.856  -4.710 -13.262   -4.681
  5.00  9.0  4.551 -10.503  -3.641   -3.387  -3.178  -8.638   -2.999
 10.00  9.0  4.197  -5.415  -2.207   -1.645  -1.788  -4.224   -1.426
 30.00  9.0  1.461  -0.636   0.569    1.825  -0.968   0.621    1.679
100.00  9.0 -0.324   1.964   4.336    6.054  -0.986   4.710    6.277
  0.01 10.0 10.608 -99.999 -99.999  -99.999 -99.999 -99.999  -99.999
  0.10 10.0 10.608 -99.999 -36.505  -35.960 -99.999 -99.999  -99.999
  0.20 10.0 10.608 -99.999 -17.907  -17.363 -99.999 -99.999  -99.999
  0.40 10.0 10.608 -99.999  -8.608   -8.063 -90.021 -99.999  -91.011
  0.70 10.0 10.608 -75.319  -4.619   -4.073 -52.913 -88.995  -53.663
  1.00 10.0 10.603 -52.618  -3.018   -2.470 -37.875 -63.507  -38.473
  1.50 10.0 10.603 -34.967  -1.759   -1.205 -26.044 -43.580  -26.472
  2.00 10.0 10.598 -26.155  -1.127   -0.566 -20.004 -33.509  -20.313
  3.00 10.0 10.588 -17.395  -0.517    0.060 -13.820 -23.281  -13.966
  5.00 10.0 10.552 -10.503  -0.099    0.514  -8.652 -14.687   -8.605
 10.00 10.0 10.389  -5.415   0.181    0.899  -4.550  -7.344   -4.284
 30.00 10.0  8.651  -0.620   1.593    2.878  -1.734  -0.584    0.478
100.00 10.0  1.351   1.985   4.417    6.135  -1.022   4.626    6.193
  0.01 11.0 23.419 -99.999 -99.999  -99.999 -99.999 -99.999  -99.999
  0.10 11.0 23.424 -99.999 -34.107  -32.967 -99.999 -99.999  -99.999
  0.20 11.0 23.419 -99.999 -15.510  -14.370 -99.999 -99.999  -99.999
  0.40 11.0 23.419 -99.999  -6.211   -5.071 -99.999 -99.999  -99.999
  0.70 11.0 23.424 -75.319  -2.223   -1.083 -99.999 -99.999  -99.999
  1.00 11.0 23.419 -52.618  -0.625    0.516 -99.999 -99.999  -99.999
  1.50 11.0 23.419 -34.967   0.624    1.765 -69.097 -86.641  -69.525
  2.00 11.0 23.419 -26.155   1.245    2.388 -52.307 -65.818  -52.615
  3.00 11.0 23.414 -17.395   1.831    2.977 -35.361 -44.829  -35.506
