 neg. daughter mg21 z=12 n= 9 a=21 Q= 10.9120
 pos. daughter na21 z=11 n=10 a=21 Q= -2.1858
              +++++++++mg21 -->na21 +++++++++---------na21 -->mg21 ----------
    t9  lrho   uf   lbeta+  leps-     lnu    lbeta-   leps+   lnubar
  0.01  1.0 -0.003   0.745  -5.571    1.467 -99.999 -99.999  -99.999
  0.10  1.0 -0.058   0.745  -6.053    1.467 -99.999 -99.999  -99.999
  0.20  1.0 -0.134   0.745  -6.173    1.467 -99.999 -99.999  -99.999
  0.40  1.0 -0.306   0.745  -6.274    1.466 -99.999 -99.999  -99.999
  0.70  1.0 -0.503   0.744  -5.698    1.465 -99.999 -94.321  -95.054
  1.00  1.0 -0.511   0.741  -4.413    1.462 -99.999 -66.609  -67.183
  1.50  1.0 -0.511   0.735  -3.267    1.457 -69.032 -44.938  -45.329
  2.00  1.0 -0.511   0.729  -2.614    1.452 -51.281 -34.000  -34.260
  3.00  1.0 -0.511   0.721  -1.836    1.446 -33.550 -22.913  -22.985
  5.00  1.0 -0.511   0.712  -0.984    1.450 -19.384 -13.783  -13.613
 10.00  1.0 -0.511   0.708   0.095    1.593  -8.811  -6.496   -5.986
 30.00  1.0 -0.511   2.291   2.178    3.729  -2.181  -0.613    0.448
100.00  1.0 -0.511   3.793   5.388    7.139  -0.181   3.713    5.290
  0.01  2.0 -0.001   0.745  -4.592    1.467 -99.999 -99.999  -99.999
  0.10  2.0 -0.038   0.745  -5.053    1.467 -99.999 -99.999  -99.999
  0.20  2.0 -0.095   0.745  -5.173    1.467 -99.999 -99.999  -99.999
  0.40  2.0 -0.227   0.745  -5.274    1.466 -99.999 -99.999  -99.999
  0.70  2.0 -0.446   0.744  -5.285    1.465 -99.999 -94.734  -95.467
  1.00  2.0 -0.506   0.741  -4.392    1.462 -99.999 -66.631  -67.205
  1.50  2.0 -0.511   0.735  -3.266    1.457 -69.032 -44.939  -45.330
  2.00  2.0 -0.511   0.729  -2.614    1.452 -51.281 -34.001  -34.261
  3.00  2.0 -0.511   0.721  -1.836    1.446 -33.550 -22.913  -22.985
  5.00  2.0 -0.511   0.712  -0.984    1.450 -19.384 -13.783  -13.613
 10.00  2.0 -0.511   0.708   0.095    1.593  -8.811  -6.496   -5.986
 30.00  2.0 -0.511   2.291   2.178    3.729  -2.181  -0.613    0.448
100.00  2.0 -0.511   3.793   5.388    7.139  -0.181   3.713    5.290
  0.01  3.0  0.003   0.745  -3.690    1.467 -99.999 -99.999  -99.999
  0.10  3.0 -0.018   0.745  -4.058    1.467 -99.999 -99.999  -99.999
  0.20  3.0 -0.055   0.745  -4.175    1.467 -99.999 -99.999  -99.999
  0.40  3.0 -0.147   0.745  -4.274    1.466 -99.999 -99.999  -99.999
  0.70  3.0 -0.314   0.744  -4.337    1.465 -99.999 -95.683  -96.415
  1.00  3.0 -0.465   0.741  -4.186    1.462 -99.999 -66.837  -67.411
  1.50  3.0 -0.506   0.735  -3.251    1.457 -69.032 -44.954  -45.345
  2.00  3.0 -0.510   0.729  -2.611    1.452 -51.281 -34.004  -34.264
  3.00  3.0 -0.511   0.721  -1.835    1.446 -33.550 -22.913  -22.985
  5.00  3.0 -0.511   0.712  -0.984    1.450 -19.384 -13.783  -13.613
 10.00  3.0 -0.511   0.708   0.095    1.593  -8.811  -6.496   -5.986
 30.00  3.0 -0.511   2.291   2.178    3.729  -2.181  -0.613    0.448
100.00  3.0 -0.511   3.793   5.388    7.139  -0.181   3.713    5.290
  0.01  4.0  0.012   0.745  -3.015    1.467 -99.999 -99.999  -99.999
  0.10  4.0  0.005   0.745  -3.108    1.467 -99.999 -99.999  -99.999
  0.20  4.0 -0.013   0.745  -3.191    1.467 -99.999 -99.999  -99.999
  0.40  4.0 -0.067   0.745  -3.278    1.467 -99.999 -99.999  -99.999
  0.70  4.0 -0.174   0.744  -3.339    1.465 -99.999 -96.689  -97.422
  1.00  4.0 -0.302   0.741  -3.368    1.462 -99.999 -67.659  -68.233
  1.50  4.0 -0.464   0.735  -3.111    1.457 -69.032 -45.095  -45.487
  2.00  4.0 -0.497   0.729  -2.580    1.452 -51.281 -34.035  -34.295
  3.00  4.0 -0.507   0.721  -1.830    1.446 -33.550 -22.919  -22.991
  5.00  4.0 -0.510   0.712  -0.983    1.450 -19.384 -13.784  -13.613
 10.00  4.0 -0.511   0.708   0.095    1.593  -8.811  -6.496   -5.986
 30.00  4.0 -0.511   2.291   2.178    3.729  -2.181  -0.613    0.448
100.00  4.0 -0.511   3.793   5.388    7.139  -0.181   3.713    5.290
