 neg. daughter mg22 z=12 n=10 a=22 Q= -0.3941
 pos. daughter na22 z=11 n=11 a=22 Q= -5.1840
              +++++++++mg22 -->na22 +++++++++---------na22 -->mg22 ----------
    t9  lrho   uf   lbeta+  leps-     lnu    lbeta-   leps+   lnubar
  0.01  1.0 -0.003  -0.708  -5.870   -0.473 -99.999 -99.999  -99.999
  0.10  1.0 -0.058  -0.708  -6.351   -0.473 -99.999 -99.999  -99.999
  0.20  1.0 -0.134  -0.708  -6.470   -0.473 -99.999 -99.999  -99.999
  0.40  1.0 -0.306  -0.708  -6.569   -0.473 -99.999 -62.208  -63.185
  0.70  1.0 -0.503  -0.708  -5.988   -0.473 -72.648 -35.833  -36.561
  1.00  1.0 -0.511  -0.708  -4.697   -0.472 -50.789 -26.053  -26.621
  1.50  1.0 -0.511  -0.708  -3.538   -0.471 -33.790 -18.306  -18.688
  2.00  1.0 -0.511  -0.709  -2.873   -0.467 -25.296 -14.313  -14.561
  3.00  1.0 -0.511  -0.717  -2.079   -0.436 -16.812 -10.156  -10.213
  5.00  1.0 -0.511  -0.755  -1.223   -0.217 -10.021  -6.554   -6.364
 10.00  1.0 -0.511  -0.673  -0.137    0.756  -4.907  -3.332   -2.787
 30.00  1.0 -0.511   1.674   2.171    3.486  -1.429   0.571    1.650
100.00  1.0 -0.511   2.623   5.181    6.874  -0.199   4.230    5.834
  0.01  2.0 -0.001  -0.708  -4.890   -0.472 -99.999 -99.999  -99.999
  0.10  2.0 -0.038  -0.708  -5.352   -0.472 -99.999 -99.999  -99.999
  0.20  2.0 -0.095  -0.708  -5.471   -0.472 -99.999 -99.999  -99.999
  0.40  2.0 -0.227  -0.708  -5.569   -0.472 -99.999 -63.208  -64.185
  0.70  2.0 -0.446  -0.708  -5.576   -0.472 -72.648 -36.246  -36.974
  1.00  2.0 -0.506  -0.708  -4.675   -0.472 -50.789 -26.075  -26.642
  1.50  2.0 -0.511  -0.708  -3.537   -0.471 -33.790 -18.308  -18.690
  2.00  2.0 -0.511  -0.709  -2.873   -0.467 -25.296 -14.313  -14.562
  3.00  2.0 -0.511  -0.717  -2.079   -0.436 -16.812 -10.156  -10.213
  5.00  2.0 -0.511  -0.755  -1.223   -0.217 -10.021  -6.554   -6.364
 10.00  2.0 -0.511  -0.673  -0.137    0.756  -4.907  -3.332   -2.787
 30.00  2.0 -0.511   1.674   2.171    3.486  -1.429   0.571    1.650
100.00  2.0 -0.511   2.623   5.181    6.874  -0.199   4.230    5.834
  0.01  3.0  0.003  -0.708  -3.989   -0.472 -99.999 -99.999  -99.999
  0.10  3.0 -0.018  -0.708  -4.356   -0.472 -99.999 -99.999  -99.999
  0.20  3.0 -0.055  -0.708  -4.472   -0.472 -99.999 -99.999  -99.999
  0.40  3.0 -0.147  -0.708  -4.569   -0.472 -99.999 -64.211  -65.188
  0.70  3.0 -0.314  -0.708  -4.628   -0.472 -72.648 -37.194  -37.922
  1.00  3.0 -0.465  -0.708  -4.470   -0.472 -50.789 -26.281  -26.848
  1.50  3.0 -0.506  -0.708  -3.522   -0.471 -33.790 -18.322  -18.704
  2.00  3.0 -0.510  -0.709  -2.870   -0.466 -25.296 -14.316  -14.565
  3.00  3.0 -0.511  -0.717  -2.078   -0.435 -16.812 -10.156  -10.213
  5.00  3.0 -0.511  -0.755  -1.223   -0.217 -10.021  -6.554   -6.364
 10.00  3.0 -0.511  -0.673  -0.137    0.756  -4.907  -3.332   -2.787
 30.00  3.0 -0.511   1.674   2.171    3.486  -1.429   0.571    1.650
100.00  3.0 -0.511   2.623   5.181    6.874  -0.199   4.230    5.834
  0.01  4.0  0.012  -0.708  -3.314   -0.470 -99.999 -99.999  -99.999
  0.10  4.0  0.005  -0.708  -3.406   -0.471 -99.999 -99.999  -99.999
  0.20  4.0 -0.013  -0.708  -3.488   -0.471 -99.999 -99.999  -99.999
  0.40  4.0 -0.067  -0.708  -3.573   -0.471 -99.999 -65.229  -66.206
  0.70  4.0 -0.174  -0.708  -3.630   -0.471 -72.648 -38.201  -38.929
  1.00  4.0 -0.302  -0.708  -3.652   -0.471 -50.789 -27.103  -27.670
  1.50  4.0 -0.464  -0.708  -3.382   -0.470 -33.790 -18.464  -18.846
  2.00  4.0 -0.497  -0.709  -2.839   -0.466 -25.296 -14.348  -14.596
  3.00  4.0 -0.507  -0.717  -2.073   -0.435 -16.812 -10.162  -10.219
  5.00  4.0 -0.510  -0.755  -1.222   -0.216 -10.021  -6.555   -6.365
 10.00  4.0 -0.511  -0.673  -0.137    0.756  -4.907  -3.332   -2.787
 30.00  4.0 -0.511   1.674   2.171    3.486  -1.429   0.571    1.650
100.00  4.0 -0.511   2.623   5.181    6.874  -0.199   4.230    5.834
  0.01  5.0  0.053  -0.708  -2.554   -0.459 -99.999 -99.999  -99.999
  0.10  5.0  0.052  -0.708  -2.560   -0.459 -99.999 -99.999  -99.999
  0.20  5.0  0.047  -0.708  -2.571   -0.459 -99.999 -99.999  -99.999
  0.40  5.0  0.026  -0.708  -2.607   -0.460 -99.999 -66.397  -67.374
  0.70  5.0 -0.026  -0.708  -2.641   -0.461 -72.648 -39.267  -39.995
  1.00  5.0 -0.098  -0.708  -2.659   -0.461 -50.789 -28.134  -28.702
  1.50  5.0 -0.246  -0.708  -2.664   -0.461 -33.790 -19.198  -19.580
  2.00  5.0 -0.383  -0.709  -2.556   -0.459 -25.296 -14.636  -14.885
  3.00  5.0 -0.476  -0.717  -2.021   -0.429 -16.812 -10.215  -10.272
  5.00  5.0 -0.502  -0.755  -1.214   -0.212 -10.021  -6.564   -6.373
 10.00  5.0 -0.509  -0.673  -0.136    0.757  -4.907  -3.333   -2.788
 30.00  5.0 -0.511   1.674   2.171    3.486  -1.429   0.571    1.650
100.00  5.0 -0.511   2.623   5.181    6.874  -0.199   4.230    5.834
  0.01  6.0  0.215  -0.708  -1.681   -0.376 -99.999 -99.999  -99.999
  0.10  6.0  0.214  -0.708  -1.681   -0.376 -99.999 -99.999  -99.999
  0.20  6.0  0.213  -0.708  -1.679   -0.376 -99.999 -99.999  -99.999
  0.40  6.0  0.206  -0.708  -1.681   -0.376 -99.999 -68.670  -69.647
  0.70  6.0  0.189  -0.708  -1.680   -0.375 -72.651 -40.817  -41.545
  1.00  6.0  0.161  -0.708  -1.681   -0.375 -50.792 -29.438  -30.005
  1.50  6.0  0.093  -0.708  -1.677   -0.372 -33.793 -20.336  -20.718
  2.00  6.0  0.001  -0.709  -1.670   -0.369 -25.298 -15.603  -15.852
  3.00  6.0 -0.212  -0.715  -1.603   -0.353 -16.813 -10.658  -10.715
  5.00  6.0 -0.420  -0.753  -1.136   -0.169 -10.022  -6.646   -6.456
 10.00  6.0 -0.491  -0.672  -0.128    0.765  -4.908  -3.342   -2.797
 30.00  6.0 -0.509   1.674   2.171    3.487  -1.429   0.571    1.649
100.00  6.0 -0.511   2.623   5.181    6.875  -0.199   4.230    5.834
  0.01  7.0  0.711  -0.708  -0.672    0.100 -99.999 -99.999  -99.999
  0.10  7.0  0.711  -0.708  -0.671    0.101 -99.999 -99.999  -99.999
  0.20  7.0  0.711  -0.708  -0.671    0.101 -99.999 -99.999  -99.999
  0.40  7.0  0.708  -0.708  -0.670    0.102 -99.999 -74.993  -75.970
  0.70  7.0  0.701  -0.708  -0.668    0.104 -72.671 -44.500  -45.228
  1.00  7.0  0.689  -0.708  -0.665    0.108 -50.812 -32.101  -32.668
  1.50  7.0  0.662  -0.708  -0.657    0.118 -33.813 -22.247  -22.629
  2.00  7.0  0.622  -0.709  -0.648    0.129 -25.318 -17.169  -17.418
  3.00  7.0  0.510  -0.715  -0.629    0.155 -16.832 -11.872  -11.929
  5.00  7.0  0.187  -0.746  -0.583    0.222 -10.035  -7.258   -7.066
 10.00  7.0 -0.315  -0.666  -0.044    0.842  -4.913  -3.430   -2.884
 30.00  7.0 -0.490   1.674   2.174    3.489  -1.430   0.568    1.646
100.00  7.0 -0.509   2.623   5.181    6.875  -0.199   4.229    5.834
  0.01  8.0  1.936  -0.708   0.476    1.204 -99.999 -99.999  -99.999
  0.10  8.0  1.936  -0.708   0.475    1.204 -99.999 -99.999  -99.999
  0.20  8.0  1.935  -0.708   0.475    1.204 -99.999 -99.999  -99.999
  0.40  8.0  1.934  -0.708   0.476    1.205 -99.999 -90.439  -91.416
  0.70  8.0  1.931  -0.708   0.477    1.206 -72.826 -53.356  -54.084
  1.00  8.0  1.925  -0.708   0.478    1.208 -50.967 -38.331  -38.898
  1.50  8.0  1.913  -0.708   0.482    1.214 -33.966 -26.450  -26.832
  2.00  8.0  1.895  -0.709   0.486    1.221 -25.469 -20.375  -20.624
  3.00  8.0  1.844  -0.714   0.491    1.235 -16.978 -14.112  -14.167
  5.00  8.0  1.681  -0.743   0.488    1.258 -10.166  -8.764   -8.547
 10.00  8.0  0.982  -0.643   0.544    1.414  -4.986  -4.084   -3.508
 30.00  8.0 -0.302   1.677   2.205    3.517  -1.438   0.537    1.615
100.00  8.0 -0.492   2.623   5.181    6.875  -0.200   4.229    5.833
  0.01  9.0  4.671  -0.708   1.766    2.635 -99.999 -99.999  -99.999
  0.10  9.0  4.671  -0.708   1.766    2.635 -99.999 -99.999  -99.999
  0.20  9.0  4.671  -0.708   1.767    2.636 -99.999 -99.999  -99.999
  0.40  9.0  4.671  -0.708   1.767    2.636 -99.999 -99.999  -99.999
  0.70  9.0  4.665  -0.708   1.766    2.635 -74.520 -73.047  -73.735
  1.00  9.0  4.665  -0.708   1.767    2.637 -52.634 -52.140  -52.486
  1.50  9.0  4.660  -0.708   1.769    2.639 -35.570 -35.682  -35.589
  2.00  9.0  4.650  -0.709   1.769    2.641 -26.995 -27.319  -26.998
  3.00  9.0  4.625  -0.714   1.766    2.641 -18.345 -18.783  -18.252
  5.00  9.0  4.551  -0.743   1.739    2.626 -11.261 -11.657  -10.979
 10.00  9.0  4.197  -0.636   1.702    2.634  -5.649  -5.704   -4.951
 30.00  9.0  1.461   1.693   2.485    3.778  -1.533   0.243    1.322
100.00  9.0 -0.324   2.626   5.190    6.884  -0.203   4.220    5.824
  0.01 10.0 10.608  -0.708   3.257    4.303 -99.999 -99.999  -99.999
  0.10 10.0 10.608  -0.708   3.258    4.303 -99.999 -99.999  -99.999
  0.20 10.0 10.608  -0.708   3.257    4.303 -99.999 -99.999  -99.999
  0.40 10.0 10.608  -0.708   3.258    4.303 -99.999 -99.999  -99.999
  0.70 10.0 10.608  -0.708   3.258    4.303 -99.999 -99.999  -99.999
  1.00 10.0 10.603  -0.708   3.257    4.303 -81.111 -82.066  -81.662
  1.50 10.0 10.603  -0.708   3.258    4.304 -54.745 -55.650  -55.120
  2.00 10.0 10.598  -0.709   3.258    4.304 -41.453 -42.308  -41.702
  3.00 10.0 10.588  -0.714   3.254    4.300 -28.039 -28.802  -28.108
  5.00 10.0 10.552  -0.743   3.226    4.271 -17.096 -17.706  -16.932
 10.00 10.0 10.389  -0.636   3.170    4.219  -8.567  -8.824   -8.011
 30.00 10.0  8.651   1.711   3.523    4.810  -2.357  -0.961    0.118
100.00 10.0  1.351   2.649   5.271    6.966  -0.241   4.137    5.741
  0.01 11.0 23.419  -0.708   4.970    6.256 -99.999 -99.999  -99.999
  0.10 11.0 23.424  -0.708   4.970    6.256 -99.999 -99.999  -99.999
  0.20 11.0 23.419  -0.708   4.969    6.256 -99.999 -99.999  -99.999
  0.40 11.0 23.419  -0.708   4.969    6.256 -99.999 -99.999  -99.999
  0.70 11.0 23.424  -0.708   4.970    6.256 -99.999 -99.999  -99.999
  1.00 11.0 23.419  -0.708   4.970    6.256 -99.999 -99.999  -99.999
  1.50 11.0 23.419  -0.708   4.970    6.256 -97.806 -98.711  -98.181
  2.00 11.0 23.419  -0.709   4.970    6.256 -73.762 -74.616  -74.011
  3.00 11.0 23.414  -0.714   4.966    6.252 -49.587 -50.350  -49.656
  5.00 11.0 23.399  -0.743   4.943    6.226 -30.045 -30.655  -29.882
 10.00 11.0 23.322  -0.636   4.893    6.170 -15.085 -15.343  -14.529
 30.00 11.0 22.504   1.712   4.983    6.365  -4.637  -3.289   -2.208
100.00 11.0 14.012   2.745   5.864    7.574  -0.648   3.503    5.105
