 neg. daughter mg25 z=12 n=13 a=25 Q=-13.1908
 pos. daughter na25 z=11 n=14 a=25 Q= -9.3570
              +++++++++mg25 -->na25 +++++++++---------na25 -->mg25 ----------
    t9  lrho   uf   lbeta+  leps-     lnu    lbeta-   leps+   lnubar
  0.01  1.0 -0.003 -99.999 -99.999  -99.999  -1.893 -99.999   -1.617
  0.10  1.0 -0.058 -99.999 -99.999  -99.999  -1.893 -54.668   -1.617
  0.20  1.0 -0.134 -99.999 -99.999  -99.999  -1.891 -27.794   -1.615
  0.40  1.0 -0.306 -99.027 -58.234  -59.209  -1.864 -13.807   -1.585
  0.70  1.0 -0.503 -56.929 -36.472  -37.197  -1.816  -8.007   -1.532
  1.00  1.0 -0.511 -40.077 -26.604  -27.168  -1.785  -6.511   -1.498
  1.50  1.0 -0.511 -26.964 -18.692  -19.068  -1.757  -5.256   -1.467
  2.00  1.0 -0.511 -20.408 -14.604  -14.844  -1.741  -4.536   -1.449
  3.00  1.0 -0.511 -13.864 -10.337  -10.382  -1.723  -3.671   -1.420
  5.00  1.0 -0.511  -8.674  -6.629   -6.418  -1.686  -2.708   -1.290
 10.00  1.0 -0.511  -4.924  -3.300   -2.696  -1.414  -1.389   -0.432
 30.00  1.0 -0.511  -0.219   0.705    1.883   1.318   1.283    2.691
100.00  1.0 -0.511   1.699   4.588    6.238   2.607   4.704    6.363
  0.01  2.0 -0.001 -99.999 -99.999  -99.999  -1.893 -99.999   -1.617
  0.10  2.0 -0.038 -99.999 -99.999  -99.999  -1.893 -55.670   -1.617
  0.20  2.0 -0.095 -99.999 -99.999  -99.999  -1.891 -28.795   -1.615
  0.40  2.0 -0.227 -99.027 -57.234  -58.209  -1.864 -14.807   -1.585
  0.70  2.0 -0.446 -56.929 -36.059  -36.784  -1.816  -8.420   -1.532
  1.00  2.0 -0.506 -40.077 -26.583  -27.146  -1.785  -6.532   -1.498
  1.50  2.0 -0.511 -26.964 -18.691  -19.067  -1.757  -5.257   -1.467
  2.00  2.0 -0.511 -20.408 -14.604  -14.844  -1.741  -4.536   -1.449
  3.00  2.0 -0.511 -13.864 -10.337  -10.382  -1.723  -3.671   -1.420
  5.00  2.0 -0.511  -8.674  -6.629   -6.418  -1.686  -2.708   -1.290
 10.00  2.0 -0.511  -4.924  -3.300   -2.696  -1.414  -1.389   -0.432
 30.00  2.0 -0.511  -0.219   0.705    1.883   1.318   1.283    2.691
100.00  2.0 -0.511   1.699   4.588    6.238   2.607   4.704    6.363
  0.01  3.0  0.003 -99.999 -99.999  -99.999  -1.893 -99.999   -1.617
  0.10  3.0 -0.018 -99.999 -99.999  -99.999  -1.893 -56.687   -1.617
  0.20  3.0 -0.055 -99.999 -99.999  -99.999  -1.891 -29.801   -1.615
  0.40  3.0 -0.147 -99.027 -56.232  -57.207  -1.864 -15.809   -1.585
  0.70  3.0 -0.314 -56.929 -35.111  -35.836  -1.816  -9.368   -1.532
  1.00  3.0 -0.465 -40.077 -26.377  -26.940  -1.785  -6.738   -1.498
  1.50  3.0 -0.506 -26.964 -18.676  -19.052  -1.757  -5.272   -1.467
  2.00  3.0 -0.510 -20.408 -14.600  -14.841  -1.741  -4.540   -1.449
  3.00  3.0 -0.511 -13.864 -10.336  -10.382  -1.723  -3.672   -1.420
  5.00  3.0 -0.511  -8.674  -6.628   -6.418  -1.686  -2.708   -1.290
 10.00  3.0 -0.511  -4.924  -3.300   -2.696  -1.414  -1.389   -0.432
 30.00  3.0 -0.511  -0.219   0.705    1.883   1.318   1.283    2.691
100.00  3.0 -0.511   1.699   4.588    6.238   2.607   4.704    6.363
  0.01  4.0  0.012 -99.999 -99.999  -99.999  -1.893 -99.999   -1.618
  0.10  4.0  0.005 -99.999 -99.999  -99.999  -1.893 -57.844   -1.618
  0.20  4.0 -0.013 -99.999 -99.999  -99.999  -1.891 -30.855   -1.615
  0.40  4.0 -0.067 -99.027 -55.214  -56.189  -1.864 -16.827   -1.585
  0.70  4.0 -0.174 -56.929 -34.105  -34.830  -1.816 -10.374   -1.532
  1.00  4.0 -0.302 -40.077 -25.555  -26.118  -1.786  -7.560   -1.498
  1.50  4.0 -0.464 -26.964 -18.534  -18.910  -1.757  -5.413   -1.467
  2.00  4.0 -0.497 -20.408 -14.569  -14.809  -1.741  -4.571   -1.449
  3.00  4.0 -0.507 -13.864 -10.331  -10.376  -1.723  -3.677   -1.421
  5.00  4.0 -0.510  -8.674  -6.628   -6.417  -1.686  -2.709   -1.290
 10.00  4.0 -0.511  -4.924  -3.300   -2.696  -1.414  -1.389   -0.432
