 neg. daughter mg29 z=12 n=17 a=29 Q=-10.7500
 pos. daughter na29 z=11 n=18 a=29 Q=  2.6600
              +++++++++mg29 -->na29 +++++++++---------na29 -->mg29 ----------
    t9  lrho   uf   lbeta+  leps-     lnu    lbeta-   leps+   lnubar
  0.01  1.0 -0.003 -99.999 -99.999  -99.999   1.127 -99.999    1.950
  0.10  1.0 -0.058 -99.999 -99.999  -99.999   1.127 -53.492    1.950
  0.20  1.0 -0.134 -99.999 -99.999  -99.999   1.127 -26.623    1.950
  0.40  1.0 -0.306 -99.999 -99.999  -99.999   1.127 -12.657    1.950
  0.70  1.0 -0.503 -99.999 -99.999  -99.999   1.127  -6.895    1.950
  1.00  1.0 -0.511 -86.944 -73.786  -74.368   1.127  -5.428    1.950
  1.50  1.0 -0.511 -58.216 -49.865  -50.268   1.127  -4.209    1.950
  2.00  1.0 -0.511 -43.853 -37.788  -38.063   1.128  -3.518    1.950
  3.00  1.0 -0.511 -29.490 -25.542  -25.636   1.140  -2.699    1.965
  5.00  1.0 -0.511 -18.006 -15.351  -15.213   1.363  -1.703    2.223
 10.00  1.0 -0.511  -9.472  -6.791   -6.327   2.096  -0.044    2.996
 30.00  1.0 -0.511  -1.958   0.179    1.183   2.891   2.455    4.120
100.00  1.0 -0.511   1.733   4.272    5.896   3.142   5.048    6.743
  0.01  2.0 -0.001 -99.999 -99.999  -99.999   1.127 -99.999    1.950
  0.10  2.0 -0.038 -99.999 -99.999  -99.999   1.127 -54.494    1.950
  0.20  2.0 -0.095 -99.999 -99.999  -99.999   1.127 -27.623    1.950
  0.40  2.0 -0.227 -99.999 -99.999  -99.999   1.127 -13.657    1.950
  0.70  2.0 -0.446 -99.999 -99.999  -99.999   1.127  -7.307    1.950
  1.00  2.0 -0.506 -86.944 -73.765  -74.347   1.127  -5.449    1.950
  1.50  2.0 -0.511 -58.216 -49.863  -50.266   1.127  -4.210    1.950
  2.00  2.0 -0.511 -43.853 -37.788  -38.063   1.128  -3.518    1.950
  3.00  2.0 -0.511 -29.490 -25.542  -25.636   1.140  -2.699    1.965
  5.00  2.0 -0.511 -18.006 -15.351  -15.213   1.363  -1.703    2.223
 10.00  2.0 -0.511  -9.472  -6.791   -6.327   2.096  -0.044    2.996
 30.00  2.0 -0.511  -1.958   0.179    1.183   2.891   2.455    4.120
100.00  2.0 -0.511   1.733   4.272    5.896   3.142   5.048    6.743
  0.01  3.0  0.003 -99.999 -99.999  -99.999   1.127 -99.999    1.950
  0.10  3.0 -0.018 -99.999 -99.999  -99.999   1.127 -55.511    1.950
  0.20  3.0 -0.055 -99.999 -99.999  -99.999   1.127 -28.629    1.950
  0.40  3.0 -0.147 -99.999 -99.999  -99.999   1.127 -14.659    1.950
  0.70  3.0 -0.314 -99.999 -99.999  -99.999   1.127  -8.256    1.950
  1.00  3.0 -0.465 -86.944 -73.559  -74.140   1.127  -5.655    1.950
  1.50  3.0 -0.506 -58.216 -49.849  -50.252   1.127  -4.225    1.950
  2.00  3.0 -0.510 -43.853 -37.784  -38.060   1.128  -3.521    1.950
  3.00  3.0 -0.511 -29.490 -25.542  -25.636   1.140  -2.700    1.965
  5.00  3.0 -0.511 -18.006 -15.351  -15.213   1.363  -1.703    2.223
 10.00  3.0 -0.511  -9.472  -6.791   -6.327   2.096  -0.044    2.996
 30.00  3.0 -0.511  -1.958   0.179    1.183   2.891   2.455    4.120
100.00  3.0 -0.511   1.733   4.272    5.896   3.142   5.048    6.743
  0.01  4.0  0.012 -99.999 -99.999  -99.999   1.127 -99.999    1.950
  0.10  4.0  0.005 -99.999 -99.999  -99.999   1.127 -56.667    1.950
  0.20  4.0 -0.013 -99.999 -99.999  -99.999   1.127 -29.684    1.950
  0.40  4.0 -0.067 -99.999 -99.999  -99.999   1.127 -15.677    1.950
  0.70  4.0 -0.174 -99.999 -99.999  -99.999   1.127  -9.262    1.950
  1.00  4.0 -0.302 -86.944 -72.737  -73.319   1.127  -6.477    1.950
  1.50  4.0 -0.464 -58.216 -49.707  -50.110   1.127  -4.366    1.950
  2.00  4.0 -0.497 -43.853 -37.753  -38.028   1.128  -3.553    1.950
  3.00  4.0 -0.507 -29.490 -25.536  -25.631   1.140  -2.705    1.965
