 neg. daughter mn55 z=25 n=30 a=55 Q=-57.7100
 pos. daughter cr55 z=24 n=31 a=55 Q=-55.1063
              +++++++++mn55 -->cr55 +++++++++---------cr55 -->mn55 ----------
    t9  lrho   uf   lbeta+  leps-     lnu    lbeta-   leps+   lnubar
  0.01  1.0 -0.003 -99.999 -99.999  -99.999  -2.437 -99.999   -2.267
  0.10  1.0 -0.058 -99.999 -99.999  -99.999  -2.437 -55.796   -2.267
  0.20  1.0 -0.134 -99.999 -76.506  -77.787  -2.437 -28.731   -2.267
  0.40  1.0 -0.306 -99.999 -43.273  -44.248  -2.437 -14.619   -2.267
  0.70  1.0 -0.503 -75.313 -28.269  -28.993  -2.440  -8.761   -2.270
  1.00  1.0 -0.511 -52.522 -21.139  -21.701  -2.440  -7.232   -2.270
  1.50  1.0 -0.511 -34.791 -15.329  -15.703  -2.413  -5.913   -2.236
  2.00  1.0 -0.511 -25.904 -12.217  -12.456  -2.348  -5.114   -2.155
  3.00  1.0 -0.511 -16.973  -8.824   -8.867  -2.188  -4.110   -1.956
  5.00  1.0 -0.511  -9.781  -5.690   -5.485  -1.713  -2.994   -1.263
 10.00  1.0 -0.511  -4.426  -2.364   -1.847  -0.172  -1.208    0.454
 30.00  1.0 -0.511  -0.030   1.673    2.747   1.034   1.828    3.085
100.00  1.0 -0.511   2.423   4.997    6.666   1.403   4.799    6.433
  0.01  2.0 -0.001 -99.999 -99.999  -99.999  -2.437 -99.999   -2.267
  0.10  2.0 -0.038 -99.999 -99.999  -99.999  -2.437 -56.798   -2.267
  0.20  2.0 -0.095 -99.999 -75.506  -76.787  -2.437 -29.732   -2.267
  0.40  2.0 -0.227 -99.999 -42.273  -43.248  -2.437 -15.619   -2.267
  0.70  2.0 -0.446 -75.313 -27.856  -28.580  -2.440  -9.173   -2.270
  1.00  2.0 -0.506 -52.522 -21.117  -21.680  -2.440  -7.254   -2.270
  1.50  2.0 -0.511 -34.791 -15.328  -15.702  -2.413  -5.915   -2.236
  2.00  2.0 -0.511 -25.904 -12.217  -12.456  -2.348  -5.115   -2.155
  3.00  2.0 -0.511 -16.973  -8.824   -8.867  -2.188  -4.110   -1.956
  5.00  2.0 -0.511  -9.781  -5.690   -5.485  -1.713  -2.994   -1.263
 10.00  2.0 -0.511  -4.426  -2.364   -1.847  -0.172  -1.208    0.454
 30.00  2.0 -0.511  -0.030   1.673    2.747   1.034   1.828    3.085
100.00  2.0 -0.511   2.423   4.997    6.666   1.403   4.799    6.433
  0.01  3.0  0.003 -99.999 -99.999  -99.999  -2.437 -99.999   -2.267
  0.10  3.0 -0.018 -99.999 -99.999  -99.999  -2.437 -57.815   -2.267
  0.20  3.0 -0.055 -99.999 -74.500  -75.781  -2.437 -30.738   -2.267
  0.40  3.0 -0.147 -99.999 -41.270  -42.245  -2.437 -16.621   -2.267
  0.70  3.0 -0.314 -75.313 -26.907  -27.632  -2.440 -10.122   -2.270
  1.00  3.0 -0.465 -52.522 -20.911  -21.474  -2.440  -7.460   -2.270
  1.50  3.0 -0.506 -34.791 -15.313  -15.687  -2.413  -5.929   -2.236
  2.00  3.0 -0.510 -25.904 -12.214  -12.453  -2.348  -5.118   -2.155
  3.00  3.0 -0.511 -16.973  -8.824   -8.866  -2.188  -4.111   -1.956
  5.00  3.0 -0.511  -9.781  -5.690   -5.484  -1.713  -2.994   -1.263
 10.00  3.0 -0.511  -4.426  -2.364   -1.847  -0.172  -1.208    0.454
 30.00  3.0 -0.511  -0.030   1.673    2.747   1.034   1.828    3.085
100.00  3.0 -0.511   2.423   4.997    6.666   1.403   4.799    6.433
  0.01  4.0  0.012 -99.999 -99.999  -99.999  -2.438 -99.999   -2.268
  0.10  4.0  0.005 -99.999 -99.999  -99.999  -2.438 -58.971   -2.268
  0.20  4.0 -0.013 -99.999 -73.445  -74.727  -2.438 -31.792   -2.268
  0.40  4.0 -0.067 -99.999 -40.252  -41.227  -2.438 -17.639   -2.268
  0.70  4.0 -0.174 -75.313 -25.901  -26.626  -2.440 -11.128   -2.270
  1.00  4.0 -0.302 -52.522 -20.089  -20.652  -2.441  -8.282   -2.270
  1.50  4.0 -0.464 -34.791 -15.172  -15.545  -2.413  -6.071   -2.236
  2.00  4.0 -0.497 -25.904 -12.182  -12.421  -2.348  -5.149   -2.155
  3.00  4.0 -0.507 -16.973  -8.818   -8.861  -2.188  -4.116   -1.956
  5.00  4.0 -0.510  -9.781  -5.689   -5.484  -1.713  -2.995   -1.263
 10.00  4.0 -0.511  -4.426  -2.364   -1.847  -0.172  -1.208    0.454
