 neg. daughter mn56 z=25. n=310 a= 6 Q=-56.9088
 pos. daughter cr56 z=24 n=32 a=56 Q=-55.2653
              +++++++++mn56 -->cr56 +++++++++---------cr56 -->mn56 ----------
    t9  lrho   uf   lbeta+  leps-     lnu    lbeta-   leps+   lnubar
  0.01  1.0 -0.003 -99.999 -99.999  -99.999  -2.678 -99.999   -2.710
  0.10  1.0 -0.058 -99.999 -94.514  -96.098  -2.678 -55.372   -2.710
  0.20  1.0 -0.134 -99.999 -52.695  -53.974  -2.678 -28.305   -2.710
  0.40  1.0 -0.306 -99.999 -31.606  -32.576  -2.678 -14.189   -2.710
  0.70  1.0 -0.503 -65.286 -21.801  -22.517  -2.678  -8.328   -2.710
  1.00  1.0 -0.511 -45.809 -16.771  -17.322  -2.678  -6.804   -2.709
  1.50  1.0 -0.511 -30.715 -12.675  -13.035  -2.668  -5.519   -2.693
  2.00  1.0 -0.511 -23.200 -10.503  -10.728  -2.611  -4.769   -2.600
  3.00  1.0 -0.511 -15.695  -8.098   -8.129  -2.319  -3.814   -2.180
  5.00  1.0 -0.511  -9.610  -5.638   -5.430  -1.589  -2.659   -1.161
 10.00  1.0 -0.511  -4.782  -2.553   -2.042   0.301  -0.879    0.943
 30.00  1.0 -0.511  -0.191   1.630    2.690   1.464   2.064    3.342
100.00  1.0 -0.511   2.269   5.000    6.662   1.753   4.914    6.552
  0.01  2.0 -0.001 -99.999 -99.999  -99.999  -2.678 -99.999   -2.710
  0.10  2.0 -0.038 -99.999 -93.512  -95.096  -2.678 -56.374   -2.710
  0.20  2.0 -0.095 -99.999 -51.695  -52.973  -2.678 -29.306   -2.710
  0.40  2.0 -0.227 -99.999 -30.607  -31.576  -2.678 -15.189   -2.710
  0.70  2.0 -0.446 -65.286 -21.388  -22.104  -2.678  -8.741   -2.710
  1.00  2.0 -0.506 -45.809 -16.749  -17.300  -2.678  -6.826   -2.709
  1.50  2.0 -0.511 -30.715 -12.674  -13.034  -2.668  -5.520   -2.693
  2.00  2.0 -0.511 -23.200 -10.502  -10.728  -2.611  -4.769   -2.600
  3.00  2.0 -0.511 -15.695  -8.098   -8.129  -2.319  -3.814   -2.180
  5.00  2.0 -0.511  -9.610  -5.638   -5.430  -1.589  -2.659   -1.161
 10.00  2.0 -0.511  -4.782  -2.553   -2.042   0.301  -0.879    0.943
 30.00  2.0 -0.511  -0.191   1.630    2.690   1.464   2.064    3.342
100.00  2.0 -0.511   2.269   5.000    6.662   1.753   4.914    6.552
  0.01  3.0  0.003 -99.999 -99.999  -99.999  -2.678 -99.999   -2.711
  0.10  3.0 -0.018 -99.999 -92.495  -94.078  -2.678 -57.391   -2.710
  0.20  3.0 -0.055 -99.999 -50.689  -51.968  -2.678 -30.312   -2.710
  0.40  3.0 -0.147 -99.999 -29.604  -30.574  -2.678 -16.192   -2.710
  0.70  3.0 -0.314 -65.286 -20.439  -21.155  -2.678  -9.689   -2.710
  1.00  3.0 -0.465 -45.809 -16.543  -17.094  -2.678  -7.031   -2.709
  1.50  3.0 -0.506 -30.715 -12.659  -13.019  -2.668  -5.535   -2.693
  2.00  3.0 -0.510 -23.200 -10.499  -10.725  -2.611  -4.772   -2.600
  3.00  3.0 -0.511 -15.695  -8.098   -8.129  -2.319  -3.815   -2.180
  5.00  3.0 -0.511  -9.610  -5.638   -5.430  -1.589  -2.659   -1.161
 10.00  3.0 -0.511  -4.782  -2.553   -2.042   0.301  -0.879    0.943
 30.00  3.0 -0.511  -0.191   1.630    2.690   1.464   2.064    3.342
100.00  3.0 -0.511   2.269   5.000    6.662   1.753   4.914    6.552
  0.01  4.0  0.012 -99.999 -99.999  -99.999  -2.680 -99.999   -2.713
  0.10  4.0  0.005 -99.999 -91.339  -92.922  -2.680 -58.547   -2.713
  0.20  4.0 -0.013 -99.999 -49.635  -50.913  -2.679 -31.366   -2.712
  0.40  4.0 -0.067 -99.999 -28.586  -29.556  -2.679 -17.210   -2.711
  0.70  4.0 -0.174 -65.286 -19.433  -20.149  -2.679 -10.696   -2.711
  1.00  4.0 -0.302 -45.809 -15.721  -16.272  -2.678  -7.853   -2.710
  1.50  4.0 -0.464 -30.715 -12.517  -12.877  -2.668  -5.676   -2.694
  2.00  4.0 -0.497 -23.200 -10.468  -10.693  -2.611  -4.803   -2.601
  3.00  4.0 -0.507 -15.695  -8.093   -8.124  -2.319  -3.820   -2.181
  5.00  4.0 -0.510  -9.610  -5.637   -5.429  -1.589  -2.660   -1.161
 10.00  4.0 -0.511  -4.782  -2.553   -2.042   0.301  -0.879    0.943
 30.00  4.0 -0.511  -0.191   1.630    2.690   1.464   2.064    3.342
100.00  4.0 -0.511   2.269   5.000    6.662   1.753   4.914    6.552
  0.01  5.0  0.053 -99.999 -99.999  -99.999  -2.690 -99.999   -2.729
  0.10  5.0  0.052 -99.999 -88.995  -90.578  -2.690 -60.891   -2.728
  0.20  5.0  0.047 -99.999 -48.128  -49.406  -2.689 -32.873   -2.727
  0.40  5.0  0.026 -99.999 -27.418  -28.387  -2.687 -18.378   -2.724
  0.70  5.0 -0.026 -65.286 -18.367  -19.082  -2.686 -11.762   -2.722
  1.00  5.0 -0.098 -45.809 -14.690  -15.241  -2.684  -8.885   -2.719
