 neg. daughter na21 z=11 n=10 a=21 Q= -2.1858
 pos. daughter ne21 z=10 n=11 a=21 Q= -5.7331
              +++++++++na21 -->ne21 +++++++++---------ne21 -->na21 ----------
    t9  lrho   uf   lbeta+  leps-     lnu    lbeta-   leps+   lnubar
  0.01  1.0 -0.003  -1.474  -6.478   -1.317 -99.999 -99.999  -99.999
  0.10  1.0 -0.058  -1.474  -6.954   -1.317 -99.999 -99.999  -99.999
  0.20  1.0 -0.134  -1.474  -7.069   -1.317 -99.999 -92.364  -93.646
  0.40  1.0 -0.306  -1.475  -7.162   -1.317 -54.056 -46.274  -47.251
  0.70  1.0 -0.503  -1.475  -6.578   -1.318 -33.895 -26.608  -27.336
  1.00  1.0 -0.511  -1.479  -5.287   -1.321 -25.810 -19.514  -20.080
  1.50  1.0 -0.511  -1.489  -4.136   -1.329 -19.133 -13.857  -14.238
  2.00  1.0 -0.511  -1.501  -3.479   -1.331 -15.432 -10.910  -11.157
  3.00  1.0 -0.511  -1.522  -2.692   -1.287 -11.492  -7.788   -7.841
  5.00  1.0 -0.511  -1.552  -1.809   -0.942  -7.839  -4.988   -4.791
 10.00  1.0 -0.511  -1.342  -0.624    0.231  -3.510  -2.326   -1.751
 30.00  1.0 -0.511   0.821   1.895    3.104  -0.423   1.169    2.289
100.00  1.0 -0.511   1.621   4.889    6.549   0.580   4.505    6.136
  0.01  2.0 -0.001  -1.474  -5.499   -1.317 -99.999 -99.999  -99.999
  0.10  2.0 -0.038  -1.474  -5.954   -1.317 -99.999 -99.999  -99.999
  0.20  2.0 -0.095  -1.474  -6.069   -1.317 -99.999 -93.365  -94.647
  0.40  2.0 -0.227  -1.475  -6.162   -1.317 -54.056 -47.274  -48.251
  0.70  2.0 -0.446  -1.475  -6.165   -1.318 -33.895 -27.021  -27.749
  1.00  2.0 -0.506  -1.479  -5.265   -1.321 -25.810 -19.535  -20.102
  1.50  2.0 -0.511  -1.489  -4.134   -1.329 -19.133 -13.859  -14.239
  2.00  2.0 -0.511  -1.501  -3.479   -1.331 -15.432 -10.911  -11.157
  3.00  2.0 -0.511  -1.522  -2.692   -1.287 -11.492  -7.788   -7.841
  5.00  2.0 -0.511  -1.552  -1.809   -0.942  -7.839  -4.988   -4.791
 10.00  2.0 -0.511  -1.342  -0.624    0.231  -3.510  -2.326   -1.751
 30.00  2.0 -0.511   0.821   1.895    3.104  -0.423   1.169    2.289
100.00  2.0 -0.511   1.621   4.889    6.549   0.580   4.505    6.136
  0.01  3.0  0.003  -1.474  -4.597   -1.316 -99.999 -99.999  -99.999
  0.10  3.0 -0.018  -1.474  -4.959   -1.317 -99.999 -99.999  -99.999
  0.20  3.0 -0.055  -1.474  -5.070   -1.317 -99.999 -94.370  -95.653
  0.40  3.0 -0.147  -1.475  -5.162   -1.317 -54.058 -48.277  -49.254
  0.70  3.0 -0.314  -1.475  -5.217   -1.318 -33.896 -27.970  -28.697
  1.00  3.0 -0.465  -1.479  -5.060   -1.321 -25.810 -19.741  -20.308
  1.50  3.0 -0.506  -1.489  -4.120   -1.329 -19.133 -13.873  -14.254
  2.00  3.0 -0.510  -1.501  -3.476   -1.331 -15.432 -10.914  -11.160
  3.00  3.0 -0.511  -1.522  -2.691   -1.287 -11.492  -7.788   -7.842
  5.00  3.0 -0.511  -1.552  -1.809   -0.942  -7.839  -4.988   -4.792
 10.00  3.0 -0.511  -1.342  -0.624    0.231  -3.510  -2.326   -1.751
 30.00  3.0 -0.511   0.821   1.895    3.104  -0.423   1.169    2.289
100.00  3.0 -0.511   1.621   4.889    6.549   0.580   4.505    6.136
  0.01  4.0  0.012  -1.474  -3.918   -1.313 -99.999 -99.999  -99.999
  0.10  4.0  0.005  -1.474  -4.007   -1.314 -99.999 -99.999  -99.999
  0.20  4.0 -0.013  -1.474  -4.086   -1.315 -99.999 -95.425  -96.707
  0.40  4.0 -0.067  -1.475  -4.166   -1.315 -54.074 -49.295  -50.272
  0.70  4.0 -0.174  -1.475  -4.219   -1.316 -33.906 -28.976  -29.704
  1.00  4.0 -0.302  -1.479  -4.242   -1.320 -25.816 -20.563  -21.129
  1.50  4.0 -0.464  -1.489  -3.979   -1.328 -19.134 -14.015  -14.396
  2.00  4.0 -0.497  -1.501  -3.445   -1.330 -15.432 -10.945  -11.192
  3.00  4.0 -0.507  -1.521  -2.686   -1.286 -11.492  -7.794   -7.847
  5.00  4.0 -0.510  -1.552  -1.808   -0.941  -7.839  -4.989   -4.792
 10.00  4.0 -0.511  -1.342  -0.624    0.231  -3.510  -2.327   -1.752
 30.00  4.0 -0.511   0.821   1.895    3.104  -0.423   1.169    2.289
100.00  4.0 -0.511   1.621   4.889    6.549   0.580   4.505    6.136
  0.01  5.0  0.053  -1.474  -3.149   -1.295 -99.999 -99.999  -99.999
  0.10  5.0  0.052  -1.474  -3.154   -1.295 -99.999 -99.999  -99.999
  0.20  5.0  0.047  -1.474  -3.164   -1.295 -99.999 -96.932  -98.214
  0.40  5.0  0.026  -1.475  -3.198   -1.297 -54.232 -50.463  -51.440
  0.70  5.0 -0.026  -1.475  -3.229   -1.299 -34.002 -30.043  -30.770
  1.00  5.0 -0.098  -1.479  -3.249   -1.303 -25.876 -21.595  -22.161
  1.50  5.0 -0.246  -1.489  -3.261   -1.313 -19.151 -14.749  -15.129
  2.00  5.0 -0.383  -1.501  -3.162   -1.318 -15.438 -11.234  -11.480
  3.00  5.0 -0.476  -1.521  -2.634   -1.276 -11.494  -7.847   -7.901
  5.00  5.0 -0.502  -1.552  -1.800   -0.936  -7.840  -4.997   -4.801
 10.00  5.0 -0.509  -1.342  -0.623    0.232  -3.511  -2.327   -1.752
 30.00  5.0 -0.511   0.821   1.895    3.104  -0.423   1.169    2.289
100.00  5.0 -0.511   1.621   4.889    6.549   0.580   4.505    6.136
  0.01  6.0  0.215  -1.474  -2.265   -1.165 -99.999 -99.999  -99.999
  0.10  6.0  0.214  -1.474  -2.265   -1.165 -99.999 -99.999  -99.999
  0.20  6.0  0.213  -1.474  -2.263   -1.165 -99.999 -99.999  -99.999
  0.40  6.0  0.206  -1.475  -2.264   -1.165 -55.659 -52.736  -53.713
  0.70  6.0  0.189  -1.475  -2.264   -1.164 -34.824 -31.592  -32.320
  1.00  6.0  0.161  -1.479  -2.267   -1.166 -26.368 -22.898  -23.464
  1.50  6.0  0.093  -1.489  -2.272   -1.172 -19.297 -15.887  -16.267
  2.00  6.0  0.001  -1.501  -2.275   -1.177 -15.508 -12.201  -12.447
