 neg. daughter ne22 z=10 n=12 a=22 Q= -8.0261
 pos. daughter f22  z= 9 n=13 a=22 Q=  2.8260
              +++++++++ne22 -->f22  +++++++++---------f22  -->ne22 ----------
    t9  lrho   uf   lbeta+  leps-     lnu    lbeta-   leps+   lnubar
  0.01  1.0 -0.003 -99.999 -99.999  -99.999  -0.782 -99.999   -0.323
  0.10  1.0 -0.058 -99.999 -99.999  -99.999  -0.782 -54.095   -0.323
  0.20  1.0 -0.134 -99.999 -99.999  -99.999  -0.782 -27.257   -0.323
  0.40  1.0 -0.306 -99.999 -99.999  -99.999  -0.782 -13.311   -0.323
  0.70  1.0 -0.503 -99.999 -85.668  -86.400  -0.782  -7.558   -0.323
  1.00  1.0 -0.511 -99.999 -60.700  -61.274  -0.780  -6.093   -0.321
  1.50  1.0 -0.511 -78.239 -41.059  -41.450  -0.766  -4.868   -0.298
  2.00  1.0 -0.511 -57.723 -31.106  -31.367  -0.729  -4.163   -0.240
  3.00  1.0 -0.511 -37.209 -20.960  -21.034  -0.616  -3.305   -0.076
  5.00  1.0 -0.511 -20.838 -12.558  -12.393  -0.422  -2.341    0.178
 10.00  1.0 -0.511  -8.707  -5.871   -5.372  -0.228  -1.127    0.507
 30.00  1.0 -0.511  -1.229  -0.291    0.844   1.870   1.325    3.086
100.00  1.0 -0.511   0.999   4.051    5.670   3.399   4.847    6.563
  0.01  2.0 -0.001 -99.999 -99.999  -99.999  -0.782 -99.999   -0.323
  0.10  2.0 -0.038 -99.999 -99.999  -99.999  -0.782 -55.097   -0.323
  0.20  2.0 -0.095 -99.999 -99.999  -99.999  -0.782 -28.257   -0.323
  0.40  2.0 -0.227 -99.999 -99.999  -99.999  -0.782 -14.311   -0.323
  0.70  2.0 -0.446 -99.999 -85.255  -85.987  -0.782  -7.971   -0.323
  1.00  2.0 -0.506 -99.999 -60.678  -61.252  -0.780  -6.114   -0.321
  1.50  2.0 -0.511 -78.239 -41.057  -41.448  -0.766  -4.869   -0.298
  2.00  2.0 -0.511 -57.723 -31.106  -31.367  -0.729  -4.163   -0.240
  3.00  2.0 -0.511 -37.209 -20.960  -21.034  -0.616  -3.305   -0.076
  5.00  2.0 -0.511 -20.838 -12.558  -12.393  -0.422  -2.341    0.178
 10.00  2.0 -0.511  -8.707  -5.871   -5.372  -0.228  -1.127    0.507
 30.00  2.0 -0.511  -1.229  -0.291    0.844   1.870   1.325    3.086
100.00  2.0 -0.511   0.999   4.051    5.670   3.399   4.847    6.563
  0.01  3.0  0.003 -99.999 -99.999  -99.999  -0.782 -99.999   -0.323
  0.10  3.0 -0.018 -99.999 -99.999  -99.999  -0.782 -56.114   -0.323
  0.20  3.0 -0.055 -99.999 -99.999  -99.999  -0.782 -29.263   -0.323
  0.40  3.0 -0.147 -99.999 -99.999  -99.999  -0.782 -15.313   -0.323
  0.70  3.0 -0.314 -99.999 -84.306  -85.039  -0.782  -8.919   -0.323
  1.00  3.0 -0.465 -99.999 -60.472  -61.046  -0.780  -6.320   -0.321
  1.50  3.0 -0.506 -78.239 -41.043  -41.434  -0.766  -4.884   -0.298
  2.00  3.0 -0.510 -57.723 -31.103  -31.363  -0.729  -4.166   -0.240
  3.00  3.0 -0.511 -37.209 -20.960  -21.034  -0.616  -3.305   -0.076
  5.00  3.0 -0.511 -20.838 -12.557  -12.393  -0.422  -2.342    0.178
 10.00  3.0 -0.511  -8.707  -5.871   -5.372  -0.228  -1.127    0.507
 30.00  3.0 -0.511  -1.229  -0.291    0.844   1.870   1.325    3.086
100.00  3.0 -0.511   0.999   4.051    5.670   3.399   4.847    6.563
  0.01  4.0  0.012 -99.999 -99.999  -99.999  -0.782 -99.999   -0.323
  0.10  4.0  0.005 -99.999 -99.999  -99.999  -0.782 -57.271   -0.323
  0.20  4.0 -0.013 -99.999 -99.999  -99.999  -0.782 -30.317   -0.323
  0.40  4.0 -0.067 -99.999 -99.999  -99.999  -0.782 -16.331   -0.323
  0.70  4.0 -0.174 -99.999 -83.300  -84.033  -0.782  -9.925   -0.323
  1.00  4.0 -0.302 -99.999 -59.650  -60.224  -0.780  -7.142   -0.321
  1.50  4.0 -0.464 -78.239 -40.901  -41.292  -0.766  -5.025   -0.298
  2.00  4.0 -0.497 -57.723 -31.071  -31.332  -0.729  -4.198   -0.240
  3.00  4.0 -0.507 -37.209 -20.954  -21.028  -0.616  -3.311   -0.076
  5.00  4.0 -0.510 -20.838 -12.557  -12.392  -0.422  -2.342    0.178
 10.00  4.0 -0.511  -8.707  -5.871   -5.372  -0.228  -1.127    0.507
 30.00  4.0 -0.511  -1.229  -0.291    0.844   1.870   1.325    3.086
100.00  4.0 -0.511   0.999   4.051    5.670   3.399   4.847    6.563
  0.01  5.0  0.053 -99.999 -99.999  -99.999  -0.782 -99.999   -0.324
  0.10  5.0  0.052 -99.999 -99.999  -99.999  -0.782 -59.614   -0.324
  0.20  5.0  0.047 -99.999 -99.999  -99.999  -0.782 -31.824   -0.324
  0.40  5.0  0.026 -99.999 -99.999  -99.999  -0.782 -17.500   -0.324
  0.70  5.0 -0.026 -99.999 -82.233  -82.966  -0.782 -10.992   -0.324
  1.00  5.0 -0.098 -99.999 -58.619  -59.193  -0.781  -8.173   -0.322
  1.50  5.0 -0.246 -78.239 -40.167  -40.559  -0.767  -5.758   -0.299
  2.00  5.0 -0.383 -57.723 -30.783  -31.043  -0.729  -4.484   -0.240
