 neg. daughter ni60 z=28 n=32 a=60 Q=-64.4702
 pos. daughter co60 z=27 n=33 a=60 Q=-61.6466
              +++++++++ni60 -->co60 +++++++++---------co60 -->ni60 ----------
    t9  lrho   uf   lbeta+  leps-     lnu    lbeta-   leps+   lnubar
  0.01  1.0 -0.003 -99.999 -99.999  -99.999  -8.305 -99.999   -8.941
  0.10  1.0 -0.058 -99.999 -99.999  -99.999  -8.158 -57.478   -8.579
  0.20  1.0 -0.134 -99.999 -83.644  -84.911  -7.195 -30.299   -7.345
  0.40  1.0 -0.306 -58.355 -46.877  -47.800  -6.389 -15.944   -6.484
  0.70  1.0 -0.503 -36.172 -30.060  -30.681  -5.382  -9.850   -5.392
  1.00  1.0 -0.511 -26.954 -21.990  -22.459  -4.766  -8.137   -4.753
  1.50  1.0 -0.511 -19.652 -15.346  -15.642  -4.199  -6.600   -4.150
  2.00  1.0 -0.511 -15.975 -11.815  -11.980  -3.850  -5.681   -3.725
  3.00  1.0 -0.511 -12.307  -8.013   -7.986  -3.151  -4.560   -2.793
  5.00  1.0 -0.511  -8.598  -4.589   -4.330  -2.061  -3.326   -1.603
 10.00  1.0 -0.511  -3.429  -1.428   -0.888  -0.759  -1.484   -0.146
 30.00  1.0 -0.511   0.294   2.122    3.205   0.495   1.640    2.858
100.00  1.0 -0.511   2.916   5.253    6.926   0.954   4.717    6.347
  0.01  2.0 -0.001 -99.999 -99.999  -99.999  -8.306 -99.999   -8.942
  0.10  2.0 -0.038 -99.999 -99.999  -99.999  -8.158 -58.479   -8.579
  0.20  2.0 -0.095 -99.999 -82.644  -83.911  -7.195 -31.299   -7.345
  0.40  2.0 -0.227 -58.355 -45.877  -46.800  -6.389 -16.944   -6.484
  0.70  2.0 -0.446 -36.172 -29.647  -30.268  -5.382 -10.263   -5.392
  1.00  2.0 -0.506 -26.954 -21.968  -22.437  -4.766  -8.159   -4.753
  1.50  2.0 -0.511 -19.652 -15.344  -15.640  -4.199  -6.602   -4.150
  2.00  2.0 -0.511 -15.975 -11.815  -11.980  -3.850  -5.681   -3.725
  3.00  2.0 -0.511 -12.307  -8.013   -7.986  -3.151  -4.560   -2.793
  5.00  2.0 -0.511  -8.598  -4.589   -4.330  -2.061  -3.326   -1.603
 10.00  2.0 -0.511  -3.429  -1.428   -0.888  -0.759  -1.484   -0.146
 30.00  2.0 -0.511   0.294   2.122    3.205   0.495   1.640    2.858
100.00  2.0 -0.511   2.916   5.253    6.926   0.954   4.717    6.347
  0.01  3.0  0.003 -99.999 -99.999  -99.999  -8.312 -99.999   -8.950
  0.10  3.0 -0.018 -99.999 -99.999  -99.999  -8.160 -59.497   -8.580
  0.20  3.0 -0.055 -99.999 -81.638  -82.905  -7.195 -32.305   -7.345
  0.40  3.0 -0.147 -58.355 -44.874  -45.798  -6.390 -17.946   -6.484
  0.70  3.0 -0.314 -36.172 -28.699  -29.320  -5.382 -11.211   -5.392
  1.00  3.0 -0.465 -26.954 -21.762  -22.231  -4.766  -8.365   -4.753
  1.50  3.0 -0.506 -19.651 -15.330  -15.626  -4.199  -6.616   -4.150
  2.00  3.0 -0.510 -15.975 -11.812  -11.977  -3.850  -5.684   -3.726
  3.00  3.0 -0.511 -12.307  -8.013   -7.985  -3.151  -4.561   -2.793
  5.00  3.0 -0.511  -8.598  -4.589   -4.330  -2.061  -3.326   -1.603
 10.00  3.0 -0.511  -3.429  -1.428   -0.888  -0.759  -1.484   -0.146
 30.00  3.0 -0.511   0.294   2.122    3.205   0.495   1.640    2.858
100.00  3.0 -0.511   2.916   5.253    6.926   0.954   4.717    6.347
  0.01  4.0  0.012 -99.999 -99.999  -99.999  -8.337 -99.999   -8.986
  0.10  4.0  0.005 -99.999 -99.999  -99.999  -8.177 -60.653   -8.596
  0.20  4.0 -0.013 -99.999 -80.583  -81.850  -7.202 -33.360   -7.350
  0.40  4.0 -0.067 -58.355 -43.857  -44.781  -6.393 -18.964   -6.486
  0.70  4.0 -0.174 -36.172 -27.694  -28.315  -5.383 -12.217   -5.393
  1.00  4.0 -0.302 -26.954 -20.941  -21.410  -4.767  -9.186   -4.754
  1.50  4.0 -0.464 -19.651 -15.188  -15.484  -4.199  -6.758   -4.151
  2.00  4.0 -0.497 -15.974 -11.780  -11.945  -3.850  -5.715   -3.726
  3.00  4.0 -0.507 -12.307  -8.008   -7.980  -3.151  -4.566   -2.793
  5.00  4.0 -0.510  -8.598  -4.589   -4.329  -2.061  -3.326   -1.604
 10.00  4.0 -0.511  -3.429  -1.428   -0.888  -0.759  -1.484   -0.146
 30.00  4.0 -0.511   0.294   2.122    3.205   0.495   1.640    2.858
100.00  4.0 -0.511   2.916   5.253    6.926   0.954   4.717    6.347
  0.01  5.0  0.053 -99.999 -99.999  -99.999  -8.461 -99.999   -9.162
  0.10  5.0  0.052 -99.999 -99.999  -99.999  -8.279 -62.997   -8.680
  0.20  5.0  0.047 -99.999 -79.077  -80.344  -7.251 -34.866   -7.378
