 neg. daughter p28  z=15 n=13 a=28 Q= -7.1595
 pos. daughter si28 z=14 n=14 a=28 Q=-21.4912
              +++++++++p28  -->si28 +++++++++---------si28 -->p28  ----------
    t9  lrho   uf   lbeta+  leps-     lnu    lbeta-   leps+   lnubar
  0.01  1.0 -0.003   0.463  -5.609    1.164 -99.999 -99.999  -99.999
  0.10  1.0 -0.058   0.463  -6.102    1.164 -99.999 -99.999  -99.999
  0.20  1.0 -0.134   0.463  -6.232    1.164 -99.999 -99.999  -99.999
  0.40  1.0 -0.306   0.460  -6.347    1.161 -99.999 -99.999  -99.999
  0.70  1.0 -0.503   0.450  -5.787    1.151 -99.999 -99.999  -99.999
  1.00  1.0 -0.511   0.443  -4.512    1.143 -99.999 -72.273  -72.847
  1.50  1.0 -0.511   0.435  -3.373    1.137 -92.612 -48.473  -48.864
  2.00  1.0 -0.511   0.442  -2.722    1.149 -68.346 -36.447  -36.707
  3.00  1.0 -0.511   0.538  -1.937    1.291 -44.074 -24.234  -24.308
  5.00  1.0 -0.511   0.897  -1.037    1.735 -24.659 -14.134  -13.971
 10.00  1.0 -0.511   1.455   0.205    2.365 -10.185  -6.041   -5.558
 30.00  1.0 -0.511   2.299   2.496    3.946  -1.020   0.381    1.397
100.00  1.0 -0.511   2.853   5.314    7.013   1.729   4.274    5.884
  0.01  2.0 -0.001   0.463  -4.630    1.164 -99.999 -99.999  -99.999
  0.10  2.0 -0.038   0.463  -5.102    1.164 -99.999 -99.999  -99.999
  0.20  2.0 -0.095   0.463  -5.232    1.164 -99.999 -99.999  -99.999
  0.40  2.0 -0.227   0.460  -5.347    1.161 -99.999 -99.999  -99.999
  0.70  2.0 -0.446   0.450  -5.374    1.151 -99.999 -99.999  -99.999
  1.00  2.0 -0.506   0.443  -4.490    1.143 -99.999 -72.295  -72.869
  1.50  2.0 -0.511   0.435  -3.371    1.137 -92.612 -48.474  -48.866
  2.00  2.0 -0.511   0.442  -2.722    1.149 -68.346 -36.447  -36.708
  3.00  2.0 -0.511   0.538  -1.937    1.291 -44.074 -24.234  -24.308
  5.00  2.0 -0.511   0.897  -1.037    1.735 -24.659 -14.134  -13.971
 10.00  2.0 -0.511   1.455   0.205    2.365 -10.185  -6.041   -5.558
 30.00  2.0 -0.511   2.299   2.496    3.946  -1.020   0.381    1.397
100.00  2.0 -0.511   2.853   5.314    7.013   1.729   4.274    5.884
  0.01  3.0  0.003   0.463  -3.729    1.164 -99.999 -99.999  -99.999
  0.10  3.0 -0.018   0.463  -4.108    1.164 -99.999 -99.999  -99.999
  0.20  3.0 -0.055   0.463  -4.234    1.164 -99.999 -99.999  -99.999
  0.40  3.0 -0.147   0.460  -4.347    1.161 -99.999 -99.999  -99.999
  0.70  3.0 -0.314   0.450  -4.427    1.151 -99.999 -99.999  -99.999
  1.00  3.0 -0.465   0.443  -4.285    1.143 -99.999 -72.501  -73.075
  1.50  3.0 -0.506   0.436  -3.357    1.137 -92.612 -48.489  -48.880
  2.00  3.0 -0.510   0.442  -2.719    1.149 -68.346 -36.451  -36.711
  3.00  3.0 -0.511   0.538  -1.936    1.291 -44.074 -24.235  -24.308
  5.00  3.0 -0.511   0.897  -1.037    1.735 -24.659 -14.134  -13.971
 10.00  3.0 -0.511   1.455   0.205    2.365 -10.185  -6.041   -5.558
 30.00  3.0 -0.511   2.299   2.496    3.946  -1.020   0.381    1.397
100.00  3.0 -0.511   2.853   5.314    7.013   1.729   4.274    5.884
  0.01  4.0  0.012   0.463  -3.060    1.165 -99.999 -99.999  -99.999
  0.10  4.0  0.005   0.463  -3.160    1.165 -99.999 -99.999  -99.999
  0.20  4.0 -0.013   0.463  -3.252    1.164 -99.999 -99.999  -99.999
  0.40  4.0 -0.067   0.460  -3.352    1.161 -99.999 -99.999  -99.999
  0.70  4.0 -0.174   0.450  -3.429    1.151 -99.999 -99.999  -99.999
  1.00  4.0 -0.302   0.443  -3.467    1.143 -99.999 -73.323  -73.897
