 neg. daughter p32  z=15 n=17 a=32 Q=-24.3042
 pos. daughter si32 z=14 n=18 a=32 Q=-24.0920
              +++++++++p32  -->si32 +++++++++---------si32 -->p32  ----------
    t9  lrho   uf   lbeta+  leps-     lnu    lbeta-   leps+   lnubar
  0.01  1.0 -0.003 -99.999 -99.999  -99.999 -10.201 -99.999  -11.023
  0.10  1.0 -0.058 -99.999 -27.366  -28.941 -10.201 -57.956  -11.023
  0.20  1.0 -0.134 -60.883 -21.550  -22.812 -10.201 -30.888  -11.023
  0.40  1.0 -0.306 -32.849 -18.441  -19.383 -10.201 -16.690  -11.023
  0.70  1.0 -0.503 -20.902 -16.293  -16.860 -10.201 -10.655  -10.795
  1.00  1.0 -0.511 -16.140 -13.614  -13.629 -10.191  -8.955   -9.344
  1.50  1.0 -0.511 -12.417 -10.627  -10.532  -8.523  -7.438   -7.604
  2.00  1.0 -0.511 -10.514  -8.980   -8.834  -6.902  -6.508   -6.401
  3.00  1.0 -0.511  -8.494  -7.098   -6.863  -5.275  -5.307   -4.890
  5.00  1.0 -0.511  -6.173  -5.059   -4.657  -3.937  -3.751   -3.219
 10.00  1.0 -0.511  -3.794  -2.670   -1.967  -1.653  -1.684   -0.675
 30.00  1.0 -0.511  -0.424   1.144    2.228   1.605   1.868    3.211
100.00  1.0 -0.511   1.045   4.587    6.206   2.574   5.184    6.863
  0.01  2.0 -0.001 -99.999 -99.999  -99.999 -10.202 -99.999  -11.024
  0.10  2.0 -0.038 -99.999 -26.364  -27.939 -10.201 -58.958  -11.023
  0.20  2.0 -0.095 -60.883 -20.549  -21.812 -10.201 -31.889  -11.023
  0.40  2.0 -0.227 -32.849 -17.441  -18.383 -10.201 -17.690  -11.023
  0.70  2.0 -0.446 -20.902 -15.880  -16.447 -10.201 -11.068  -10.920
  1.00  2.0 -0.506 -16.140 -13.593  -13.607 -10.191  -8.976   -9.365
  1.50  2.0 -0.511 -12.417 -10.625  -10.531  -8.523  -7.440   -7.605
  2.00  2.0 -0.511 -10.514  -8.980   -8.834  -6.902  -6.509   -6.401
  3.00  2.0 -0.511  -8.494  -7.098   -6.863  -5.275  -5.308   -4.890
  5.00  2.0 -0.511  -6.173  -5.059   -4.657  -3.937  -3.751   -3.219
 10.00  2.0 -0.511  -3.794  -2.670   -1.967  -1.653  -1.684   -0.675
 30.00  2.0 -0.511  -0.424   1.144    2.228   1.605   1.868    3.211
100.00  2.0 -0.511   1.045   4.587    6.206   2.574   5.184    6.863
  0.01  3.0  0.003 -99.999 -99.999  -99.999 -10.211 -99.999  -11.037
  0.10  3.0 -0.018 -99.999 -25.347  -26.922 -10.205 -59.975  -11.028
  0.20  3.0 -0.055 -60.883 -19.544  -20.806 -10.204 -32.894  -11.026
  0.40  3.0 -0.147 -32.849 -16.439  -17.381 -10.203 -18.693  -11.025
  0.70  3.0 -0.314 -20.902 -14.931  -15.499 -10.202 -12.016  -11.011
  1.00  3.0 -0.465 -16.140 -13.387  -13.402 -10.191  -9.182   -9.564
  1.50  3.0 -0.506 -12.417 -10.611  -10.517  -8.523  -7.454   -7.617
  2.00  3.0 -0.510 -10.514  -8.977   -8.831  -6.902  -6.512   -6.403
  3.00  3.0 -0.511  -8.494  -7.098   -6.862  -5.275  -5.308   -4.891
  5.00  3.0 -0.511  -6.173  -5.059   -4.657  -3.937  -3.751   -3.220
 10.00  3.0 -0.511  -3.794  -2.670   -1.967  -1.653  -1.684   -0.675
 30.00  3.0 -0.511  -0.424   1.144    2.228   1.605   1.868    3.211
100.00  3.0 -0.511   1.045   4.587    6.206   2.574   5.184    6.863
  0.01  4.0  0.012 -99.999 -99.999  -99.999 -10.249 -99.999  -11.091
  0.10  4.0  0.005 -99.999 -24.191  -25.765 -10.236 -61.131  -11.072
  0.20  4.0 -0.013 -60.883 -18.489  -19.751 -10.227 -33.949  -11.057
  0.40  4.0 -0.067 -32.849 -15.421  -16.363 -10.218 -19.711  -11.043
  0.70  4.0 -0.174 -20.902 -13.925  -14.495 -10.211 -13.023  -11.033
  1.00  4.0 -0.302 -16.140 -12.568  -12.583 -10.197 -10.004  -10.295
  1.50  4.0 -0.464 -12.416 -10.470  -10.377  -8.523  -7.596   -7.734
  2.00  4.0 -0.497 -10.514  -8.945   -8.800  -6.902  -6.543   -6.422
  3.00  4.0 -0.507  -8.494  -7.093   -6.857  -5.275  -5.313   -4.893
  5.00  4.0 -0.510  -6.173  -5.058   -4.656  -3.937  -3.752   -3.220
 10.00  4.0 -0.511  -3.794  -2.670   -1.967  -1.653  -1.684   -0.675
 30.00  4.0 -0.511  -0.424   1.144    2.228   1.605   1.868    3.211
100.00  4.0 -0.511   1.045   4.587    6.206   2.574   5.184    6.863
  0.01  5.0  0.053 -99.999 -96.947  -99.533 -10.463 -99.999  -11.393
  0.10  5.0  0.052 -99.999 -21.849  -23.423 -10.448 -63.475  -11.366
  0.20  5.0  0.047 -60.883 -16.984  -18.246 -10.419 -35.456  -11.315
  0.40  5.0  0.026 -32.849 -14.253  -15.194 -10.356 -20.879  -11.217
  0.70  5.0 -0.026 -20.902 -12.866  -13.448 -10.299 -14.089  -11.137
  1.00  5.0 -0.098 -16.140 -11.566  -11.583 -10.255 -11.036  -10.865
