 neg. daughter s28  z=16 n=12 a=28 Q=  4.2000
 pos. daughter p28  z=15 n=13 a=28 Q= -7.1595
              +++++++++s28  -->p28  +++++++++---------p28  -->s28  ----------
    t9  lrho   uf   lbeta+  leps-     lnu    lbeta-   leps+   lnubar
  0.01  1.0 -0.003   0.491  -5.424    1.083 -99.999 -99.999  -99.999
  0.10  1.0 -0.058   0.491  -5.919    1.083 -99.999 -99.999  -99.999
  0.20  1.0 -0.134   0.491  -6.051    1.083 -99.999 -99.999  -99.999
  0.40  1.0 -0.306   0.491  -6.167    1.083 -99.999 -99.999  -99.999
  0.70  1.0 -0.503   0.491  -5.604    1.083 -99.999 -82.876  -83.610
  1.00  1.0 -0.511   0.491  -4.325    1.083 -99.999 -58.945  -59.521
  1.50  1.0 -0.511   0.491  -3.183    1.083 -68.271 -40.208  -40.602
  2.00  1.0 -0.511   0.492  -2.531    1.084 -50.805 -30.726  -30.990
  3.00  1.0 -0.511   0.498  -1.758    1.100 -33.342 -21.075  -21.152
  5.00  1.0 -0.511   0.713  -0.922    1.449 -19.345 -13.022  -12.860
 10.00  1.0 -0.511   1.881   0.527    2.767  -8.717  -5.984   -5.510
 30.00  1.0 -0.511   2.656   2.939    4.375  -1.435   0.366    1.376
100.00  1.0 -0.511   2.797   5.451    7.141   1.038   4.275    5.888
  0.01  2.0 -0.001   0.491  -4.445    1.083 -99.999 -99.999  -99.999
  0.10  2.0 -0.038   0.491  -4.920    1.083 -99.999 -99.999  -99.999
  0.20  2.0 -0.095   0.491  -5.052    1.083 -99.999 -99.999  -99.999
  0.40  2.0 -0.227   0.491  -5.168    1.083 -99.999 -99.999  -99.999
  0.70  2.0 -0.446   0.491  -5.191    1.083 -99.999 -83.289  -84.023
  1.00  2.0 -0.506   0.491  -4.304    1.083 -99.999 -58.967  -59.543
  1.50  2.0 -0.511   0.491  -3.181    1.083 -68.271 -40.210  -40.604
  2.00  2.0 -0.511   0.492  -2.531    1.084 -50.805 -30.726  -30.990
  3.00  2.0 -0.511   0.498  -1.758    1.100 -33.342 -21.075  -21.152
  5.00  2.0 -0.511   0.713  -0.922    1.449 -19.345 -13.022  -12.860
 10.00  2.0 -0.511   1.881   0.527    2.767  -8.717  -5.984   -5.510
 30.00  2.0 -0.511   2.656   2.939    4.375  -1.435   0.366    1.376
100.00  2.0 -0.511   2.797   5.451    7.141   1.038   4.275    5.888
  0.01  3.0  0.003   0.491  -3.544    1.083 -99.999 -99.999  -99.999
  0.10  3.0 -0.018   0.491  -3.925    1.083 -99.999 -99.999  -99.999
  0.20  3.0 -0.055   0.491  -4.053    1.083 -99.999 -99.999  -99.999
  0.40  3.0 -0.147   0.491  -4.168    1.083 -99.999 -99.999  -99.999
  0.70  3.0 -0.314   0.491  -4.244    1.083 -99.999 -84.237  -84.971
  1.00  3.0 -0.465   0.491  -4.098    1.083 -99.999 -59.173  -59.749
  1.50  3.0 -0.506   0.491  -3.167    1.083 -68.271 -40.224  -40.618
  2.00  3.0 -0.510   0.492  -2.528    1.084 -50.805 -30.730  -30.993
  3.00  3.0 -0.511   0.498  -1.757    1.100 -33.342 -21.075  -21.153
  5.00  3.0 -0.511   0.713  -0.922    1.449 -19.345 -13.022  -12.860
 10.00  3.0 -0.511   1.881   0.527    2.767  -8.717  -5.984   -5.510
 30.00  3.0 -0.511   2.656   2.939    4.375  -1.435   0.366    1.376
100.00  3.0 -0.511   2.797   5.451    7.141   1.038   4.275    5.888
  0.01  4.0  0.012   0.491  -2.877    1.083 -99.999 -99.999  -99.999
  0.10  4.0  0.005   0.491  -2.978    1.083 -99.999 -99.999  -99.999
  0.20  4.0 -0.013   0.491  -3.072    1.083 -99.999 -99.999  -99.999
  0.40  4.0 -0.067   0.491  -3.173    1.083 -99.999 -99.999  -99.999
  0.70  4.0 -0.174   0.491  -3.246    1.083 -99.999 -85.243  -85.977
  1.00  4.0 -0.302   0.491  -3.280    1.083 -99.999 -59.995  -60.571
  1.50  4.0 -0.464   0.491  -3.026    1.083 -68.271 -40.366  -40.760
  2.00  4.0 -0.497   0.492  -2.497    1.084 -50.805 -30.761  -31.025
  3.00  4.0 -0.507   0.498  -1.752    1.100 -33.342 -21.081  -21.158
  5.00  4.0 -0.510   0.713  -0.921    1.449 -19.345 -13.023  -12.861
 10.00  4.0 -0.511   1.881   0.527    2.767  -8.717  -5.985   -5.510
 30.00  4.0 -0.511   2.656   2.939    4.375  -1.435   0.366    1.376
100.00  4.0 -0.511   2.797   5.451    7.141   1.038   4.275    5.888
  0.01  5.0  0.053   0.491  -2.147    1.084 -99.999 -99.999  -99.999
  0.10  5.0  0.052   0.491  -2.154    1.084 -99.999 -99.999  -99.999
  0.20  5.0  0.047   0.491  -2.169    1.084 -99.999 -99.999  -99.999
  0.40  5.0  0.026   0.491  -2.214    1.084 -99.999 -99.999  -99.999
  0.70  5.0 -0.026   0.491  -2.260    1.084 -99.999 -86.310  -87.044
  1.00  5.0 -0.098   0.491  -2.290    1.084 -99.999 -61.026  -61.602
  1.50  5.0 -0.246   0.491  -2.309    1.084 -68.271 -41.099  -41.493
  2.00  5.0 -0.383   0.492  -2.215    1.085 -50.805 -31.050  -31.313
  3.00  5.0 -0.476   0.498  -1.700    1.101 -33.342 -21.134  -21.212
  5.00  5.0 -0.502   0.713  -0.913    1.449 -19.345 -13.031  -12.870
 10.00  5.0 -0.509   1.881   0.528    2.767  -8.717  -5.985   -5.510
 30.00  5.0 -0.511   2.656   2.939    4.375  -1.435   0.365    1.376
100.00  5.0 -0.511   2.797   5.451    7.141   1.038   4.275    5.888
  0.01  6.0  0.215   0.491  -1.314    1.094 -99.999 -99.999  -99.999
  0.10  6.0  0.214   0.491  -1.314    1.094 -99.999 -99.999  -99.999
  0.20  6.0  0.213   0.491  -1.312    1.094 -99.999 -99.999  -99.999
  0.40  6.0  0.206   0.491  -1.316    1.094 -99.999 -99.999  -99.999
  0.70  6.0  0.189   0.491  -1.319    1.094 -99.999 -87.860  -88.594
  1.00  6.0  0.161   0.491  -1.325    1.094 -99.999 -62.330  -62.905
  1.50  6.0  0.093   0.491  -1.331    1.094 -68.271 -42.237  -42.631
  2.00  6.0  0.001   0.492  -1.333    1.095 -50.806 -32.016  -32.280
  3.00  6.0 -0.212   0.499  -1.284    1.109 -33.342 -21.577  -21.654
  5.00  6.0 -0.420   0.714  -0.835    1.453 -19.345 -13.114  -12.952
 10.00  6.0 -0.491   1.881   0.537    2.768  -8.717  -5.994   -5.519
 30.00  6.0 -0.509   2.656   2.939    4.375  -1.435   0.365    1.376
100.00  6.0 -0.511   2.797   5.451    7.141   1.038   4.275    5.888
  0.01  7.0  0.711   0.491  -0.350    1.182 -99.999 -99.999  -99.999
  0.10  7.0  0.711   0.491  -0.350    1.182 -99.999 -99.999  -99.999
  0.20  7.0  0.711   0.491  -0.349    1.182 -99.999 -99.999  -99.999
  0.40  7.0  0.708   0.491  -0.349    1.182 -99.999 -99.999  -99.999
  0.70  7.0  0.701   0.491  -0.348    1.182 -99.999 -91.542  -92.276
  1.00  7.0  0.689   0.491  -0.346    1.183 -99.999 -64.993  -65.568
  1.50  7.0  0.662   0.491  -0.342    1.184 -68.276 -44.148  -44.542
  2.00  7.0  0.622   0.492  -0.337    1.187 -50.811 -33.582  -33.846
  3.00  7.0  0.510   0.499  -0.328    1.202 -33.347 -22.791  -22.868
  5.00  7.0  0.187   0.715  -0.289    1.498 -19.349 -13.725  -13.564
 10.00  7.0 -0.315   1.881   0.619    2.777  -8.719  -6.083   -5.608
 30.00  7.0 -0.490   2.657   2.942    4.378  -1.436   0.362    1.372
100.00  7.0 -0.509   2.797   5.451    7.141   1.038   4.275    5.888
  0.01  8.0  1.936   0.491   0.732    1.734 -99.999 -99.999  -99.999
  0.10  8.0  1.936   0.491   0.732    1.734 -99.999 -99.999  -99.999
  0.20  8.0  1.935   0.491   0.732    1.734 -99.999 -99.999  -99.999
  0.40  8.0  1.934   0.491   0.732    1.734 -99.999 -99.999  -99.999
  0.70  8.0  1.931   0.491   0.733    1.735 -99.999 -99.999  -99.999
  1.00  8.0  1.925   0.491   0.733    1.736 -99.999 -71.222  -71.798
  1.50  8.0  1.913   0.491   0.736    1.739 -68.314 -48.351  -48.745
  2.00  8.0  1.895   0.492   0.739    1.742 -50.848 -36.789  -37.052
  3.00  8.0  1.844   0.499   0.743    1.754 -33.384 -25.031  -25.108
  5.00  8.0  1.681   0.715   0.744    1.882 -19.384 -15.231  -15.069
 10.00  8.0  0.982   1.883   1.189    2.891  -8.742  -6.737   -6.257
 30.00  8.0 -0.302   2.659   2.972    4.405  -1.440   0.331    1.341
100.00  8.0 -0.492   2.797   5.452    7.142   1.038   4.274    5.887
  0.01  9.0  4.671   0.491   1.941    2.943 -99.999 -99.999  -99.999
  0.10  9.0  4.671   0.491   1.941    2.943 -99.999 -99.999  -99.999
  0.20  9.0  4.671   0.491   1.941    2.943 -99.999 -99.999  -99.999
  0.40  9.0  4.671   0.491   1.941    2.943 -99.999 -99.999  -99.999
  0.70  9.0  4.665   0.491   1.940    2.942 -99.999 -99.999  -99.999
  1.00  9.0  4.665   0.491   1.941    2.944 -99.999 -85.032  -85.608
  1.50  9.0  4.660   0.491   1.942    2.945 -68.602 -57.583  -57.978
  2.00  9.0  4.650   0.492   1.943    2.946 -51.135 -43.732  -43.996
  3.00  9.0  4.625   0.499   1.940    2.948 -33.667 -29.702  -29.780
  5.00  9.0  4.551   0.715   1.922    2.962 -19.656 -18.124  -17.933
 10.00  9.0  4.197   1.884   2.252    3.550  -8.972  -8.357   -7.765
 30.00  9.0  1.461   2.676   3.245    4.657  -1.496   0.035    1.048
100.00  9.0 -0.324   2.800   5.460    7.150   1.035   4.265    5.878
  0.01 10.0 10.608   0.491   3.273    4.437 -99.999 -99.999  -99.999
  0.10 10.0 10.608   0.491   3.274    4.437 -99.999 -99.999  -99.999
  0.20 10.0 10.608   0.491   3.274    4.437 -99.999 -99.999  -99.999
  0.40 10.0 10.608   0.491   3.274    4.437 -99.999 -99.999  -99.999
  0.70 10.0 10.608   0.491   3.274    4.437 -99.999 -99.999  -99.999
  1.00 10.0 10.603   0.491   3.274    4.437 -99.999 -99.999  -99.999
  1.50 10.0 10.603   0.491   3.274    4.438 -76.029 -77.552  -76.439
  2.00 10.0 10.598   0.492   3.275    4.438 -57.228 -58.721  -57.515
  3.00 10.0 10.588   0.499   3.271    4.435 -38.287 -39.721  -38.404
  5.00 10.0 10.552   0.715   3.240    4.415 -22.882 -24.173  -22.784
 10.00 10.0 10.389   1.884   3.467    4.778 -10.855 -11.478  -10.403
 30.00 10.0  8.651   2.694   4.221    5.637  -2.090  -1.172   -0.145
100.00 10.0  1.351   2.823   5.541    7.232   1.003   4.182    5.795
  0.01 11.0 23.419   0.491   5.025    6.285 -99.999 -99.999  -99.999
  0.10 11.0 23.424   0.491   5.025    6.285 -99.999 -99.999  -99.999
