 neg. daughter s29  z=16 n=13 a=29 Q= -3.1600
 pos. daughter p29  z=15 n=14 a=29 Q=-16.9493
              +++++++++s29  -->p29  +++++++++---------p29  -->s29  ----------
    t9  lrho   uf   lbeta+  leps-     lnu    lbeta-   leps+   lnubar
  0.01  1.0 -0.003   0.674  -5.301    1.319 -99.999 -99.999  -99.999
  0.10  1.0 -0.058   0.674  -5.796    1.319 -99.999 -99.999  -99.999
  0.20  1.0 -0.134   0.674  -5.928    1.319 -99.999 -99.999  -99.999
  0.40  1.0 -0.306   0.674  -6.046    1.319 -99.999 -99.999  -99.999
  0.70  1.0 -0.503   0.674  -5.483    1.319 -99.999 -98.867  -99.601
  1.00  1.0 -0.511   0.674  -4.204    1.319 -99.999 -69.657  -70.233
  1.50  1.0 -0.511   0.674  -3.061    1.319 -82.073 -46.802  -47.196
  2.00  1.0 -0.511   0.674  -2.409    1.320 -60.683 -35.256  -35.520
  3.00  1.0 -0.511   0.675  -1.632    1.323 -39.297 -23.545  -23.623
  5.00  1.0 -0.511   0.694  -0.786    1.384 -22.214 -13.930  -13.768
 10.00  1.0 -0.511   1.276   0.309    2.212  -9.542  -6.362   -5.871
 30.00  1.0 -0.511   2.727   2.796    4.300  -1.472   0.131    1.135
100.00  1.0 -0.511   3.311   5.595    7.311   1.108   4.188    5.781
  0.01  2.0 -0.001   0.674  -4.322    1.319 -99.999 -99.999  -99.999
  0.10  2.0 -0.038   0.674  -4.797    1.319 -99.999 -99.999  -99.999
  0.20  2.0 -0.095   0.674  -4.929    1.319 -99.999 -99.999  -99.999
  0.40  2.0 -0.227   0.674  -5.046    1.319 -99.999 -99.999  -99.999
  0.70  2.0 -0.446   0.674  -5.070    1.319 -99.999 -99.280  -99.999
  1.00  2.0 -0.506   0.674  -4.182    1.319 -99.999 -69.678  -70.254
  1.50  2.0 -0.511   0.674  -3.060    1.319 -82.073 -46.803  -47.198
  2.00  2.0 -0.511   0.674  -2.409    1.320 -60.683 -35.256  -35.521
  3.00  2.0 -0.511   0.675  -1.632    1.323 -39.297 -23.545  -23.623
  5.00  2.0 -0.511   0.694  -0.786    1.384 -22.214 -13.930  -13.768
 10.00  2.0 -0.511   1.276   0.309    2.212  -9.542  -6.362   -5.871
 30.00  2.0 -0.511   2.727   2.796    4.300  -1.472   0.131    1.135
100.00  2.0 -0.511   3.311   5.595    7.311   1.108   4.188    5.781
  0.01  3.0  0.003   0.674  -3.421    1.319 -99.999 -99.999  -99.999
  0.10  3.0 -0.018   0.674  -3.802    1.319 -99.999 -99.999  -99.999
  0.20  3.0 -0.055   0.674  -3.930    1.319 -99.999 -99.999  -99.999
  0.40  3.0 -0.147   0.674  -4.046    1.319 -99.999 -99.999  -99.999
  0.70  3.0 -0.314   0.674  -4.122    1.319 -99.999 -99.999  -99.999
  1.00  3.0 -0.465   0.674  -3.976    1.319 -99.999 -69.884  -70.460
  1.50  3.0 -0.506   0.674  -3.045    1.319 -82.073 -46.817  -47.212
  2.00  3.0 -0.510   0.674  -2.406    1.320 -60.683 -35.260  -35.524
  3.00  3.0 -0.511   0.675  -1.631    1.323 -39.297 -23.545  -23.623
  5.00  3.0 -0.511   0.694  -0.786    1.384 -22.214 -13.930  -13.768
 10.00  3.0 -0.511   1.276   0.309    2.212  -9.542  -6.362   -5.871
 30.00  3.0 -0.511   2.727   2.796    4.300  -1.472   0.131    1.135
100.00  3.0 -0.511   3.311   5.595    7.311   1.108   4.188    5.781
