 neg. daughter s30  z=16 n=14 a=30 Q=-14.0620
 pos. daughter p30  z=15 n=15 a=30 Q=-20.2045
              +++++++++s30  -->p30  +++++++++---------p30  -->s30  ----------
    t9  lrho   uf   lbeta+  leps-     lnu    lbeta-   leps+   lnubar
  0.01  1.0 -0.003  -0.202  -5.674    0.195 -99.999 -99.999  -99.999
  0.10  1.0 -0.058  -0.202  -6.169    0.195 -99.999 -99.999  -99.999
  0.20  1.0 -0.134  -0.202  -6.301    0.195 -99.999 -99.999  -99.999
  0.40  1.0 -0.306  -0.202  -6.416    0.195 -99.999 -78.858  -79.837
  0.70  1.0 -0.503  -0.202  -5.851    0.195 -73.137 -45.182  -45.913
  1.00  1.0 -0.511  -0.202  -4.570    0.195 -51.088 -32.484  -33.055
  1.50  1.0 -0.511  -0.202  -3.424    0.195 -33.941 -22.469  -22.856
  2.00  1.0 -0.511  -0.202  -2.769    0.197 -25.374 -17.346  -17.601
  3.00  1.0 -0.511  -0.203  -1.983    0.209 -16.830 -12.069  -12.135
  5.00  1.0 -0.511  -0.204  -1.110    0.308 -10.057  -7.604   -7.425
 10.00  1.0 -0.511  -0.134   0.027    1.023  -5.063  -3.805   -3.258
 30.00  1.0 -0.511   2.119   2.496    3.847  -1.790   0.490    1.567
100.00  1.0 -0.511   3.277   5.629    7.340  -0.688   4.286    5.876
  0.01  2.0 -0.001  -0.202  -4.695    0.195 -99.999 -99.999  -99.999
  0.10  2.0 -0.038  -0.202  -5.169    0.195 -99.999 -99.999  -99.999
  0.20  2.0 -0.095  -0.202  -5.301    0.195 -99.999 -99.999  -99.999
  0.40  2.0 -0.227  -0.202  -5.416    0.195 -99.999 -79.858  -80.836
  0.70  2.0 -0.446  -0.202  -5.438    0.195 -73.137 -45.595  -46.326
  1.00  2.0 -0.506  -0.202  -4.548    0.195 -51.088 -32.506  -33.077
  1.50  2.0 -0.511  -0.202  -3.423    0.195 -33.941 -22.470  -22.857
  2.00  2.0 -0.511  -0.202  -2.768    0.197 -25.374 -17.346  -17.602
  3.00  2.0 -0.511  -0.203  -1.983    0.209 -16.830 -12.069  -12.135
  5.00  2.0 -0.511  -0.204  -1.110    0.308 -10.057  -7.604   -7.425
 10.00  2.0 -0.511  -0.134   0.027    1.023  -5.063  -3.805   -3.258
 30.00  2.0 -0.511   2.119   2.496    3.847  -1.790   0.490    1.567
100.00  2.0 -0.511   3.277   5.629    7.340  -0.688   4.286    5.876
  0.01  3.0  0.003  -0.202  -3.794    0.195 -99.999 -99.999  -99.999
  0.10  3.0 -0.018  -0.202  -4.175    0.195 -99.999 -99.999  -99.999
  0.20  3.0 -0.055  -0.202  -4.303    0.195 -99.999 -99.999  -99.999
  0.40  3.0 -0.147  -0.202  -4.416    0.195 -99.999 -80.860  -81.839
  0.70  3.0 -0.314  -0.202  -4.490    0.195 -73.137 -46.543  -47.274
  1.00  3.0 -0.465  -0.202  -4.343    0.195 -51.088 -32.712  -33.283
  1.50  3.0 -0.506  -0.202  -3.408    0.195 -33.941 -22.484  -22.872
  2.00  3.0 -0.510  -0.202  -2.765    0.197 -25.374 -17.350  -17.605
  3.00  3.0 -0.511  -0.203  -1.982    0.209 -16.830 -12.070  -12.136
  5.00  3.0 -0.511  -0.204  -1.110    0.308 -10.057  -7.604   -7.425
 10.00  3.0 -0.511  -0.134   0.027    1.023  -5.063  -3.805   -3.258
 30.00  3.0 -0.511   2.119   2.496    3.847  -1.790   0.490    1.567
100.00  3.0 -0.511   3.277   5.629    7.340  -0.688   4.286    5.876
  0.01  4.0  0.012  -0.202  -3.127    0.196 -99.999 -99.999  -99.999
  0.10  4.0  0.005  -0.202  -3.228    0.195 -99.999 -99.999  -99.999
  0.20  4.0 -0.013  -0.202  -3.321    0.195 -99.999 -99.999  -99.999
  0.40  4.0 -0.067  -0.202  -3.421    0.195 -99.999 -81.878  -82.857
  0.70  4.0 -0.174  -0.202  -3.492    0.195 -73.137 -47.550  -48.280
  1.00  4.0 -0.302  -0.202  -3.525    0.195 -51.088 -33.534  -34.105
  1.50  4.0 -0.464  -0.202  -3.268    0.195 -33.941 -22.626  -23.014
  2.00  4.0 -0.497  -0.202  -2.734    0.197 -25.374 -17.381  -17.637
  3.00  4.0 -0.507  -0.203  -1.977    0.209 -16.830 -12.075  -12.141
  5.00  4.0 -0.510  -0.204  -1.110    0.308 -10.057  -7.605   -7.426
 10.00  4.0 -0.511  -0.134   0.027    1.023  -5.063  -3.805   -3.258
 30.00  4.0 -0.511   2.119   2.496    3.847  -1.790   0.490    1.567
100.00  4.0 -0.511   3.277   5.629    7.340  -0.688   4.286    5.876
  0.01  5.0  0.053  -0.202  -2.396    0.200 -99.999 -99.999  -99.999
  0.10  5.0  0.052  -0.202  -2.403    0.200 -99.999 -99.999  -99.999
  0.20  5.0  0.047  -0.202  -2.418    0.200 -99.999 -99.999  -99.999
  0.40  5.0  0.026  -0.202  -2.462    0.199 -99.999 -83.047  -84.025
  0.70  5.0 -0.026  -0.202  -2.507    0.199 -73.138 -48.616  -49.347
  1.00  5.0 -0.098  -0.202  -2.534    0.199 -51.089 -34.565  -35.136
  1.50  5.0 -0.246  -0.202  -2.550    0.199 -33.942 -23.360  -23.747
  2.00  5.0 -0.383  -0.202  -2.452    0.200 -25.374 -17.670  -17.925
  3.00  5.0 -0.476  -0.203  -1.925    0.211 -16.830 -12.129  -12.195
  5.00  5.0 -0.502  -0.203  -1.102    0.310 -10.058  -7.613   -7.434
 10.00  5.0 -0.509  -0.134   0.028    1.024  -5.063  -3.806   -3.259
 30.00  5.0 -0.511   2.119   2.496    3.847  -1.790   0.490    1.567
100.00  5.0 -0.511   3.277   5.629    7.340  -0.688   4.286    5.876
  0.01  6.0  0.215  -0.202  -1.559    0.232 -99.999 -99.999  -99.999
  0.10  6.0  0.214  -0.202  -1.559    0.232 -99.999 -99.999  -99.999
  0.20  6.0  0.213  -0.202  -1.557    0.233 -99.999 -99.999  -99.999
  0.40  6.0  0.206  -0.202  -1.560    0.232 -99.999 -85.320  -86.298
  0.70  6.0  0.189  -0.202  -1.563    0.232 -73.143 -50.166  -50.897
  1.00  6.0  0.161  -0.202  -1.567    0.232 -51.094 -35.868  -36.439
  1.50  6.0  0.093  -0.202  -1.570    0.232 -33.946 -24.498  -24.885
  2.00  6.0  0.001  -0.202  -1.569    0.233 -25.379 -18.636  -18.892
  3.00  6.0 -0.212  -0.202  -1.508    0.240 -16.833 -12.571  -12.637
  5.00  6.0 -0.420  -0.203  -1.023    0.331 -10.059  -7.696   -7.517
 10.00  6.0 -0.491  -0.133   0.037    1.031  -5.064  -3.815   -3.268
 30.00  6.0 -0.509   2.119   2.497    3.847  -1.791   0.490    1.567
100.00  6.0 -0.511   3.277   5.629    7.340  -0.688   4.286    5.876
  0.01  7.0  0.711  -0.202  -0.582    0.477 -99.999 -99.999  -99.999
  0.10  7.0  0.711  -0.202  -0.582    0.477 -99.999 -99.999  -99.999
  0.20  7.0  0.711  -0.202  -0.582    0.477 -99.999 -99.999  -99.999
  0.40  7.0  0.708  -0.202  -0.581    0.478 -99.999 -91.642  -92.621
  0.70  7.0  0.701  -0.202  -0.580    0.478 -73.183 -53.849  -54.580
  1.00  7.0  0.689  -0.202  -0.577    0.480 -51.133 -38.531  -39.102
  1.50  7.0  0.662  -0.202  -0.571    0.485 -33.985 -26.409  -26.796
  2.00  7.0  0.622  -0.202  -0.564    0.491 -25.417 -20.202  -20.458
  3.00  7.0  0.510  -0.202  -0.545    0.506 -16.868 -13.785  -13.851
  5.00  7.0  0.187  -0.199  -0.474    0.565 -10.082  -8.308   -8.121
 10.00  7.0 -0.315  -0.129   0.120    1.100  -5.072  -3.903   -3.353
 30.00  7.0 -0.490   2.119   2.500    3.850  -1.791   0.486    1.564
100.00  7.0 -0.509   3.277   5.629    7.340  -0.688   4.286    5.876
  0.01  8.0  1.936  -0.202   0.528    1.359 -99.999 -99.999  -99.999
  0.10  8.0  1.936  -0.202   0.528    1.359 -99.999 -99.999  -99.999
  0.20  8.0  1.935  -0.202   0.528    1.359 -99.999 -99.999  -99.999
  0.40  8.0  1.934  -0.202   0.528    1.360 -99.999 -99.999  -99.999
  0.70  8.0  1.931  -0.202   0.529    1.361 -73.483 -62.705  -63.435
  1.00  8.0  1.925  -0.202   0.530    1.363 -51.432 -44.761  -45.332
  1.50  8.0  1.913  -0.202   0.533    1.367 -34.279 -30.612  -30.999
  2.00  8.0  1.895  -0.202   0.537    1.373 -25.704 -23.409  -23.658
  3.00  8.0  1.844  -0.202   0.548    1.389 -17.140 -16.025  -16.033
  5.00  8.0  1.681  -0.198   0.579    1.438 -10.312  -9.813   -9.499
 10.00  8.0  0.982  -0.113   0.705    1.637  -5.183  -4.556   -3.967
 30.00  8.0 -0.302   2.121   2.531    3.876  -1.801   0.455    1.532
100.00  8.0 -0.492   3.277   5.630    7.341  -0.688   4.285    5.876
  0.01  9.0  4.671  -0.202   1.776    2.697 -99.999 -99.999  -99.999
  0.10  9.0  4.671  -0.202   1.776    2.697 -99.999 -99.999  -99.999
  0.20  9.0  4.671  -0.202   1.777    2.697 -99.999 -99.999  -99.999
  0.40  9.0  4.671  -0.202   1.777    2.698 -99.999 -99.999  -99.999
  0.70  9.0  4.665  -0.202   1.776    2.697 -81.340 -82.396  -82.056
  1.00  9.0  4.665  -0.202   1.777    2.699 -57.546 -58.571  -58.109
  1.50  9.0  4.660  -0.202   1.779    2.701 -38.872 -39.844  -39.261
  2.00  9.0  4.650  -0.202   1.781    2.703 -29.432 -30.352  -29.697
  3.00  9.0  4.625  -0.202   1.786    2.709 -19.883 -20.697  -19.972
  5.00  9.0  4.551  -0.198   1.804    2.733 -12.115 -12.707  -11.963
 10.00  9.0  4.197  -0.108   1.866    2.822  -6.099  -6.176   -5.453
 30.00  9.0  1.461   2.134   2.811    4.129  -1.912   0.162    1.239
100.00  9.0 -0.324   3.279   5.638    7.349  -0.692   4.276    5.867
  0.01 10.0 10.608  -0.202   3.378    4.380 -99.999 -99.999  -99.999
  0.10 10.0 10.608  -0.202   3.379    4.380 -99.999 -99.999  -99.999
  0.20 10.0 10.608  -0.202   3.379    4.380 -99.999 -99.999  -99.999
  0.40 10.0 10.608  -0.202   3.379    4.380 -99.999 -99.999  -99.999
  0.70 10.0 10.608  -0.202   3.379    4.381 -99.999 -99.999  -99.999
  1.00 10.0 10.603  -0.202   3.378    4.380 -87.472 -88.497  -88.035
  1.50 10.0 10.603  -0.202   3.380    4.382 -58.840 -59.812  -59.229
  2.00 10.0 10.598  -0.202   3.380    4.383 -44.419 -45.341  -44.685
  3.00 10.0 10.588  -0.202   3.383    4.386 -29.894 -30.715  -29.987
  5.00 10.0 10.552  -0.198   3.390    4.396 -18.142 -18.756  -18.003
 10.00 10.0 10.389  -0.107   3.405    4.425  -9.145  -9.297   -8.555
 30.00 10.0  8.651   2.149   3.848    5.145  -2.799  -1.042    0.034
100.00 10.0  1.351   3.301   5.719    7.431  -0.731   4.193    5.783
  0.01 11.0 23.419  -0.202   5.157    6.422 -99.999 -99.999  -99.999
  0.10 11.0 23.424  -0.202   5.157    6.422 -99.999 -99.999  -99.999
  0.20 11.0 23.419  -0.202   5.157    6.421 -99.999 -99.999  -99.999
  0.40 11.0 23.419  -0.202   5.157    6.421 -99.999 -99.999  -99.999
  0.70 11.0 23.424  -0.202   5.157    6.422 -99.999 -99.999  -99.999
  1.00 11.0 23.419  -0.202   5.157    6.422 -99.999 -99.999  -99.999
  1.50 11.0 23.419  -0.202   5.157    6.422 -99.999 -99.999  -99.999
  2.00 11.0 23.419  -0.202   5.157    6.423 -76.728 -77.650  -76.994
