 neg. daughter sc45 z=21 n=24 a=45 Q=-41.0665
 pos. daughter ca45 z=20 n=25 a=45 Q=-40.8096
              +++++++++sc45 -->ca45 +++++++++---------ca45 -->sc45 ----------
    t9  lrho   uf   lbeta+  leps-     lnu    lbeta-   leps+   lnubar
  0.01  1.0 -0.003 -99.999 -99.999  -99.999  -7.317 -99.999   -8.062
  0.10  1.0 -0.058 -79.445 -26.539  -28.115  -7.317 -57.182   -8.062
  0.20  1.0 -0.134 -43.985 -19.640  -20.905  -7.315 -30.158   -8.060
  0.40  1.0 -0.306 -26.238 -15.894  -16.841  -7.174 -16.038   -7.847
  0.70  1.0 -0.503 -18.260 -13.203  -13.871  -6.688 -10.052   -7.257
  1.00  1.0 -0.511 -14.782 -10.814  -11.292  -6.397  -8.382   -6.927
  1.50  1.0 -0.511 -11.885  -8.630   -8.902  -6.166  -6.931   -6.448
  2.00  1.0 -0.511 -10.344  -7.358   -7.485  -6.027  -6.075   -5.803
  3.00  1.0 -0.511  -8.772  -5.870   -5.788  -5.449  -5.011   -4.688
  5.00  1.0 -0.511  -6.582  -4.272   -3.950  -4.309  -3.763   -3.295
 10.00  1.0 -0.511  -3.253  -2.358   -1.653  -2.413  -2.146   -1.277
 30.00  1.0 -0.511   0.251   1.302    2.537   0.416   1.039    2.227
100.00  1.0 -0.511   1.848   4.799    6.485   1.277   4.485    6.094
  0.01  2.0 -0.001 -99.999 -99.999  -99.999  -7.318 -99.999   -8.064
  0.10  2.0 -0.038 -79.445 -25.537  -27.113  -7.317 -58.184   -8.062
  0.20  2.0 -0.095 -43.985 -18.640  -19.904  -7.316 -31.159   -8.060
  0.40  2.0 -0.227 -26.238 -14.894  -15.841  -7.175 -17.038   -7.848
  0.70  2.0 -0.446 -18.260 -12.790  -13.458  -6.688 -10.465   -7.258
  1.00  2.0 -0.506 -14.782 -10.793  -11.271  -6.397  -8.403   -6.928
  1.50  2.0 -0.511 -11.885  -8.629   -8.901  -6.166  -6.933   -6.448
  2.00  2.0 -0.511 -10.344  -7.358   -7.485  -6.027  -6.076   -5.803
  3.00  2.0 -0.511  -8.772  -5.870   -5.788  -5.449  -5.011   -4.688
  5.00  2.0 -0.511  -6.582  -4.272   -3.950  -4.309  -3.763   -3.295
 10.00  2.0 -0.511  -3.253  -2.358   -1.653  -2.413  -2.146   -1.277
 30.00  2.0 -0.511   0.251   1.302    2.537   0.416   1.039    2.227
100.00  2.0 -0.511   1.848   4.799    6.485   1.277   4.485    6.094
  0.01  3.0  0.003 -99.999 -99.999  -99.999  -7.326 -99.999   -8.075
  0.10  3.0 -0.018 -79.445 -24.520  -26.096  -7.320 -59.201   -8.067
  0.20  3.0 -0.055 -43.985 -17.634  -18.899  -7.318 -32.164   -8.063
  0.40  3.0 -0.147 -26.238 -13.892  -14.838  -7.176 -18.041   -7.849
  0.70  3.0 -0.314 -18.260 -11.842  -12.509  -6.689 -11.413   -7.259
  1.00  3.0 -0.465 -14.782 -10.587  -11.064  -6.397  -8.609   -6.935
  1.50  3.0 -0.506 -11.885  -8.614   -8.886  -6.166  -6.947   -6.455
  2.00  3.0 -0.510 -10.344  -7.355   -7.482  -6.028  -6.079   -5.805
  3.00  3.0 -0.511  -8.772  -5.869   -5.787  -5.449  -5.012   -4.688
  5.00  3.0 -0.511  -6.582  -4.272   -3.949  -4.309  -3.763   -3.295
 10.00  3.0 -0.511  -3.253  -2.358   -1.653  -2.413  -2.146   -1.277
 30.00  3.0 -0.511   0.251   1.302    2.537   0.416   1.039    2.227
100.00  3.0 -0.511   1.848   4.799    6.485   1.277   4.485    6.094
  0.01  4.0  0.012 -99.999 -99.999  -99.999  -7.359 -99.999   -8.123
  0.10  4.0  0.005 -79.445 -23.363  -24.939  -7.348 -60.358   -8.106
  0.20  4.0 -0.013 -43.985 -16.580  -17.844  -7.338 -33.219   -8.091
  0.40  4.0 -0.067 -26.238 -12.874  -13.820  -7.187 -19.059   -7.863
  0.70  4.0 -0.174 -18.260 -10.836  -11.503  -6.694 -12.419   -7.265
  1.00  4.0 -0.302 -14.782  -9.765  -10.243  -6.400  -9.431   -6.948
  1.50  4.0 -0.464 -11.885  -8.472   -8.745  -6.167  -7.089   -6.512
  2.00  4.0 -0.497 -10.343  -7.323   -7.450  -6.028  -6.110   -5.830
  3.00  4.0 -0.507  -8.772  -5.864   -5.782  -5.450  -5.017   -4.693
  5.00  4.0 -0.510  -6.582  -4.271   -3.949  -4.309  -3.764   -3.295
 10.00  4.0 -0.511  -3.253  -2.358   -1.653  -2.413  -2.147   -1.277
 30.00  4.0 -0.511   0.251   1.302    2.537   0.416   1.039    2.227
100.00  4.0 -0.511   1.848   4.799    6.485   1.277   4.485    6.094
  0.01  5.0  0.053 -99.999 -99.999  -99.999  -7.538 -99.999   -8.375
  0.10  5.0  0.052 -79.445 -21.022  -22.598  -7.528 -62.701   -8.357
  0.20  5.0  0.047 -43.985 -15.068  -16.334  -7.504 -34.726   -8.314
  0.40  5.0  0.026 -26.238 -11.703  -12.651  -7.292 -20.227   -7.989
  0.70  5.0 -0.026 -18.260  -9.770  -10.440  -6.748 -13.486   -7.330
  1.00  5.0 -0.098 -14.782  -8.737   -9.216  -6.437 -10.463   -6.994
  1.50  5.0 -0.246 -11.883  -7.741   -8.014  -6.188  -7.822   -6.683
  2.00  5.0 -0.383 -10.340  -7.036   -7.163  -6.039  -6.397   -6.039
  3.00  5.0 -0.476  -8.770  -5.811   -5.729  -5.452  -5.070   -4.737
  5.00  5.0 -0.502  -6.581  -4.263   -3.940  -4.310  -3.772   -3.303
 10.00  5.0 -0.509  -3.253  -2.357   -1.652  -2.414  -2.147   -1.277
 30.00  5.0 -0.511   0.251   1.302    2.537   0.416   1.039    2.227
100.00  5.0 -0.511   1.848   4.799    6.485   1.277   4.485    6.093
  0.01  6.0  0.215 -99.999 -34.946  -37.533  -9.386 -99.999  -10.887
  0.10  6.0  0.214 -79.445 -12.812  -14.388  -9.205 -70.891  -10.575
  0.20  6.0  0.213 -43.985 -10.872  -12.136  -8.966 -38.911  -10.142
  0.40  6.0  0.206 -26.238  -9.437  -10.380  -8.078 -22.500   -8.876
  0.70  6.0  0.189 -18.260  -8.239   -8.913  -7.185 -15.036   -7.854
  1.00  6.0  0.161 -14.782  -7.461   -7.946  -6.759 -11.766   -7.377
  1.50  6.0  0.093 -11.883  -6.627   -6.897  -6.401  -8.959   -6.965
  2.00  6.0  0.001 -10.337  -6.097   -6.219  -6.173  -7.363   -6.521
  3.00  6.0 -0.212  -8.757  -5.376   -5.292  -5.479  -5.509   -5.069
  5.00  6.0 -0.420  -6.580  -4.182   -3.859  -4.315  -3.853   -3.375
 10.00  6.0 -0.491  -3.253  -2.348   -1.644  -2.414  -2.156   -1.283
 30.00  6.0 -0.509   0.251   1.303    2.537   0.416   1.039    2.227
100.00  6.0 -0.511   1.848   4.799    6.485   1.277   4.485    6.093
  0.01  7.0  0.711 -99.999  -5.328   -5.918 -99.999 -99.999  -99.999
  0.10  7.0  0.711 -79.445  -5.373   -5.959 -32.330 -95.950  -33.930
  0.20  7.0  0.711 -43.985  -5.407   -5.985 -19.987 -51.453  -21.297
  0.40  7.0  0.708 -26.238  -5.403   -5.949 -13.390 -28.823  -14.423
  0.70  7.0  0.701 -18.260  -5.337   -5.810 -10.299 -18.718  -11.130
  1.00  7.0  0.689 -14.782  -5.207   -5.588  -8.954 -14.429   -9.688
  1.50  7.0  0.662 -11.883  -4.940   -5.165  -7.812 -10.870   -8.384
  2.00  7.0  0.622 -10.337  -4.686   -4.776  -7.013  -8.928   -7.272
  3.00  7.0  0.510  -8.750  -4.243   -4.139  -5.714  -6.721   -5.657
  5.00  7.0  0.187  -6.574  -3.592   -3.264  -4.391  -4.458   -3.862
 10.00  7.0 -0.315  -3.249  -2.261   -1.562  -2.417  -2.243   -1.340
 30.00  7.0 -0.490   0.252   1.306    2.540   0.416   1.036    2.224
100.00  7.0 -0.509   1.848   4.799    6.485   1.277   4.485    6.093
  0.01  8.0  1.936 -99.999  -2.716   -2.627 -99.999 -99.999  -99.999
  0.10  8.0  1.936 -79.445  -2.765   -2.676 -94.044 -99.999  -95.641
  0.20  8.0  1.935 -43.985  -2.810   -2.722 -50.848 -82.307  -52.147
  0.40  8.0  1.934 -26.238  -2.843   -2.752 -28.617 -44.269  -29.472
  0.70  8.0  1.931 -18.260  -2.855   -2.759 -18.428 -27.574  -19.039
  1.00  8.0  1.925 -14.782  -2.851   -2.746 -14.167 -20.659  -14.659
  1.50  8.0  1.913 -11.883  -2.823   -2.694 -10.648 -15.073  -10.997
  2.00  8.0  1.895 -10.337  -2.773   -2.611  -8.809 -12.135   -9.065
  3.00  8.0  1.844  -8.750  -2.629   -2.387  -6.775  -8.960   -6.912
  5.00  8.0  1.681  -6.572  -2.303   -1.919  -5.047  -5.961   -4.938
 10.00  8.0  0.982  -3.236  -1.634   -0.953  -2.477  -2.887   -1.674
 30.00  8.0 -0.302   0.255   1.336    2.570   0.411   1.005    2.195
100.00  8.0 -0.492   1.848   4.800    6.486   1.277   4.484    6.093
  0.01  9.0  4.671 -99.999  -0.674   -0.160 -99.999 -99.999  -99.999
  0.10  9.0  4.671 -79.445  -0.703   -0.198 -99.999 -99.999  -99.999
  0.20  9.0  4.671 -43.985  -0.729   -0.232 -99.999 -99.999  -99.999
  0.40  9.0  4.671 -26.238  -0.747   -0.257 -61.949 -78.747  -62.946
  0.70  9.0  4.665 -18.260  -0.757   -0.270 -37.354 -47.265  -38.118
  1.00  9.0  4.665 -14.782  -0.756   -0.269 -27.398 -34.468  -28.016
  1.50  9.0  4.660 -11.883  -0.745   -0.256 -19.500 -24.305  -19.959
  2.00  9.0  4.650 -10.337  -0.726   -0.232 -15.433 -19.078  -15.783
  3.00  9.0  4.625  -8.750  -0.673   -0.162 -11.252 -13.632  -11.451
