 neg. daughter si24 z=14 n=10 a=24 Q= 10.7760
 pos. daughter al24 z=13 n=11 a=24 Q= -0.0520
              +++++++++si24 -->al24 +++++++++---------al24 -->si24 ----------
    t9  lrho   uf   lbeta+  leps-     lnu    lbeta-   leps+   lnubar
  0.01  1.0 -0.003   0.560  -5.520    1.200 -99.999 -99.999  -99.999
  0.10  1.0 -0.058   0.560  -6.010    1.200 -99.999 -99.999  -99.999
  0.20  1.0 -0.134   0.560  -6.137    1.200 -99.999 -99.999  -99.999
  0.40  1.0 -0.306   0.560  -6.246    1.200 -99.999 -99.999  -99.999
  0.70  1.0 -0.503   0.560  -5.676    1.200 -99.999 -79.151  -79.884
  1.00  1.0 -0.511   0.560  -4.393    1.200 -76.477 -56.337  -56.911
  1.50  1.0 -0.511   0.560  -3.246    1.200 -50.989 -38.462  -38.853
  2.00  1.0 -0.511   0.560  -2.591    1.200 -38.256 -29.415  -29.676
  3.00  1.0 -0.511   0.560  -1.811    1.203 -25.546 -20.219  -20.293
  5.00  1.0 -0.511   0.573  -0.962    1.243 -15.421 -12.618  -12.451
 10.00  1.0 -0.511   0.706   0.049    1.583  -7.801  -6.465   -5.940
 30.00  1.0 -0.511   2.477   2.420    3.934  -2.524  -0.367    0.709
100.00  1.0 -0.511   3.348   5.347    7.056  -0.632   3.978    5.581
  0.01  2.0 -0.001   0.560  -4.541    1.200 -99.999 -99.999  -99.999
  0.10  2.0 -0.038   0.560  -5.010    1.200 -99.999 -99.999  -99.999
  0.20  2.0 -0.095   0.560  -5.137    1.200 -99.999 -99.999  -99.999
  0.40  2.0 -0.227   0.560  -5.246    1.200 -99.999 -99.999  -99.999
  0.70  2.0 -0.446   0.560  -5.263    1.200 -99.999 -79.564  -80.297
  1.00  2.0 -0.506   0.560  -4.371    1.200 -76.477 -56.359  -56.933
  1.50  2.0 -0.511   0.560  -3.244    1.200 -50.989 -38.463  -38.855
  2.00  2.0 -0.511   0.560  -2.591    1.200 -38.256 -29.415  -29.676
  3.00  2.0 -0.511   0.560  -1.811    1.203 -25.546 -20.219  -20.293
  5.00  2.0 -0.511   0.573  -0.962    1.243 -15.421 -12.618  -12.451
 10.00  2.0 -0.511   0.706   0.049    1.583  -7.801  -6.465   -5.940
 30.00  2.0 -0.511   2.477   2.420    3.934  -2.524  -0.367    0.709
100.00  2.0 -0.511   3.348   5.347    7.056  -0.632   3.978    5.581
  0.01  3.0  0.003   0.560  -3.640    1.200 -99.999 -99.999  -99.999
  0.10  3.0 -0.018   0.560  -4.016    1.200 -99.999 -99.999  -99.999
  0.20  3.0 -0.055   0.560  -4.139    1.200 -99.999 -99.999  -99.999
  0.40  3.0 -0.147   0.560  -4.246    1.200 -99.999 -99.999  -99.999
  0.70  3.0 -0.314   0.560  -4.316    1.200 -99.999 -80.513  -81.246
  1.00  3.0 -0.465   0.560  -4.166    1.200 -76.477 -56.565  -57.139
  1.50  3.0 -0.506   0.560  -3.230    1.200 -50.989 -38.478  -38.869
  2.00  3.0 -0.510   0.560  -2.587    1.200 -38.256 -29.418  -29.679
  3.00  3.0 -0.511   0.560  -1.811    1.203 -25.546 -20.220  -20.293
  5.00  3.0 -0.511   0.573  -0.961    1.243 -15.421 -12.618  -12.451
 10.00  3.0 -0.511   0.706   0.049    1.583  -7.801  -6.465   -5.940
 30.00  3.0 -0.511   2.477   2.420    3.934  -2.524  -0.367    0.709
100.00  3.0 -0.511   3.348   5.347    7.056  -0.632   3.978    5.581
  0.01  4.0  0.012   0.560  -2.970    1.200 -99.999 -99.999  -99.999
  0.10  4.0  0.005   0.560  -3.067    1.200 -99.999 -99.999  -99.999
  0.20  4.0 -0.013   0.560  -3.156    1.200 -99.999 -99.999  -99.999
  0.40  4.0 -0.067   0.560  -3.251    1.200 -99.999 -99.999  -99.999
  0.70  4.0 -0.174   0.560  -3.318    1.200 -99.999 -81.519  -82.252
  1.00  4.0 -0.302   0.560  -3.348    1.200 -76.477 -57.387  -57.961
  1.50  4.0 -0.464   0.560  -3.089    1.200 -50.989 -38.619  -39.011
  2.00  4.0 -0.497   0.560  -2.556    1.200 -38.256 -29.450  -29.711
  3.00  4.0 -0.507   0.560  -1.805    1.203 -25.546 -20.225  -20.299
  5.00  4.0 -0.510   0.573  -0.961    1.243 -15.422 -12.619  -12.452
 10.00  4.0 -0.511   0.706   0.049    1.583  -7.801  -6.465   -5.940
 30.00  4.0 -0.511   2.477   2.420    3.934  -2.524  -0.367    0.709
100.00  4.0 -0.511   3.348   5.347    7.056  -0.632   3.978    5.581
  0.01  5.0  0.053   0.560  -2.228    1.201 -99.999 -99.999  -99.999
  0.10  5.0  0.052   0.560  -2.234    1.201 -99.999 -99.999  -99.999
  0.20  5.0  0.047   0.560  -2.248    1.201 -99.999 -99.999  -99.999
  0.40  5.0  0.026   0.560  -2.289    1.201 -99.999 -99.999  -99.999
  0.70  5.0 -0.026   0.560  -2.331    1.200 -99.999 -82.586  -83.319
  1.00  5.0 -0.098   0.560  -2.357    1.200 -76.477 -58.418  -58.992
  1.50  5.0 -0.246   0.560  -2.372    1.200 -50.989 -39.353  -39.745
  2.00  5.0 -0.383   0.560  -2.274    1.201 -38.256 -29.738  -29.999
  3.00  5.0 -0.476   0.560  -1.754    1.204 -25.546 -20.278  -20.352
  5.00  5.0 -0.502   0.573  -0.953    1.243 -15.422 -12.628  -12.460
 10.00  5.0 -0.509   0.706   0.050    1.583  -7.801  -6.466   -5.941
 30.00  5.0 -0.511   2.477   2.420    3.934  -2.524  -0.367    0.709
100.00  5.0 -0.511   3.348   5.347    7.056  -0.632   3.978    5.581
  0.01  6.0  0.215   0.560  -1.379    1.207 -99.999 -99.999  -99.999
  0.10  6.0  0.214   0.560  -1.379    1.207 -99.999 -99.999  -99.999
  0.20  6.0  0.213   0.560  -1.378    1.207 -99.999 -99.999  -99.999
  0.40  6.0  0.206   0.560  -1.380    1.207 -99.999 -99.999  -99.999
  0.70  6.0  0.189   0.560  -1.383    1.207 -99.999 -84.135  -84.868
  1.00  6.0  0.161   0.560  -1.387    1.207 -76.482 -59.721  -60.295
  1.50  6.0  0.093   0.560  -1.391    1.207 -50.994 -40.491  -40.883
