 neg. daughter si25 z=14 n=11 a=25 Q=  3.8240
 pos. daughter al25 z=13 n=12 a=25 Q= -8.9129
              +++++++++si25 -->al25 +++++++++---------al25 -->si25 ----------
    t9  lrho   uf   lbeta+  leps-     lnu    lbeta-   leps+   lnubar
  0.01  1.0 -0.003   0.496  -5.413    1.137 -99.999 -99.999  -99.999
  0.10  1.0 -0.058   0.499  -5.903    1.141 -99.999 -99.999  -99.999
  0.20  1.0 -0.134   0.522  -6.033    1.172 -99.999 -99.999  -99.999
  0.40  1.0 -0.306   0.564  -6.149    1.229 -99.999 -99.999  -99.999
  0.70  1.0 -0.503   0.593  -5.583    1.267 -99.999 -91.728  -92.460
  1.00  1.0 -0.511   0.606  -4.302    1.284 -96.216 -64.767  -65.340
  1.50  1.0 -0.511   0.617  -3.156    1.297 -63.523 -43.655  -44.046
  2.00  1.0 -0.511   0.622  -2.502    1.305 -47.181 -32.986  -33.246
  3.00  1.0 -0.511   0.628  -1.720    1.315 -30.849 -22.155  -22.227
  5.00  1.0 -0.511   0.641  -0.861    1.352 -17.820 -13.240  -13.071
 10.00  1.0 -0.511   0.738   0.231    1.654  -8.141  -6.147   -5.636
 30.00  1.0 -0.511   2.178   2.235    3.700  -1.877  -0.242    0.834
100.00  1.0 -0.511   3.350   5.187    6.904   0.178   4.030    5.632
  0.01  2.0 -0.001   0.496  -4.434    1.137 -99.999 -99.999  -99.999
  0.10  2.0 -0.038   0.499  -4.904    1.141 -99.999 -99.999  -99.999
  0.20  2.0 -0.095   0.522  -5.034    1.172 -99.999 -99.999  -99.999
  0.40  2.0 -0.227   0.564  -5.149    1.229 -99.999 -99.999  -99.999
  0.70  2.0 -0.446   0.593  -5.170    1.267 -99.999 -92.141  -92.873
  1.00  2.0 -0.506   0.606  -4.281    1.284 -96.216 -64.789  -65.362
  1.50  2.0 -0.511   0.617  -3.155    1.297 -63.523 -43.656  -44.047
  2.00  2.0 -0.511   0.622  -2.502    1.305 -47.181 -32.986  -33.246
  3.00  2.0 -0.511   0.628  -1.720    1.315 -30.849 -22.155  -22.228
  5.00  2.0 -0.511   0.641  -0.861    1.352 -17.820 -13.240  -13.071
 10.00  2.0 -0.511   0.738   0.231    1.654  -8.141  -6.147   -5.636
 30.00  2.0 -0.511   2.178   2.235    3.700  -1.877  -0.242    0.834
100.00  2.0 -0.511   3.350   5.187    6.904   0.178   4.030    5.632
  0.01  3.0  0.003   0.496  -3.533    1.137 -99.999 -99.999  -99.999
  0.10  3.0 -0.018   0.499  -3.909    1.141 -99.999 -99.999  -99.999
  0.20  3.0 -0.055   0.522  -4.035    1.172 -99.999 -99.999  -99.999
  0.40  3.0 -0.147   0.564  -4.149    1.229 -99.999 -99.999  -99.999
  0.70  3.0 -0.314   0.593  -4.223    1.267 -99.999 -93.089  -93.821
  1.00  3.0 -0.465   0.606  -4.075    1.284 -96.216 -64.995  -65.568
  1.50  3.0 -0.506   0.617  -3.141    1.297 -63.523 -43.671  -44.062
  2.00  3.0 -0.510   0.622  -2.498    1.305 -47.181 -32.989  -33.249
  3.00  3.0 -0.511   0.628  -1.720    1.315 -30.849 -22.156  -22.228
  5.00  3.0 -0.511   0.641  -0.861    1.352 -17.820 -13.240  -13.071
 10.00  3.0 -0.511   0.738   0.231    1.654  -8.141  -6.147   -5.636
 30.00  3.0 -0.511   2.178   2.235    3.700  -1.877  -0.242    0.834
100.00  3.0 -0.511   3.350   5.187    6.904   0.178   4.030    5.632
  0.01  4.0  0.012   0.496  -2.863    1.138 -99.999 -99.999  -99.999
  0.10  4.0  0.005   0.499  -2.961    1.141 -99.999 -99.999  -99.999
  0.20  4.0 -0.013   0.522  -3.053    1.172 -99.999 -99.999  -99.999
  0.40  4.0 -0.067   0.564  -3.154    1.229 -99.999 -99.999  -99.999
  0.70  4.0 -0.174   0.593  -3.225    1.267 -99.999 -94.095  -94.828
  1.00  4.0 -0.302   0.606  -3.257    1.284 -96.216 -65.817  -66.390
  1.50  4.0 -0.464   0.617  -3.000    1.297 -63.523 -43.813  -44.204
  2.00  4.0 -0.497   0.622  -2.467    1.305 -47.181 -33.021  -33.281
  3.00  4.0 -0.507   0.628  -1.715    1.315 -30.849 -22.161  -22.233
  5.00  4.0 -0.510   0.641  -0.860    1.352 -17.820 -13.241  -13.071
 10.00  4.0 -0.511   0.738   0.231    1.654  -8.141  -6.147   -5.636
 30.00  4.0 -0.511   2.178   2.235    3.700  -1.877  -0.242    0.834
100.00  4.0 -0.511   3.350   5.187    6.904   0.178   4.030    5.632
  0.01  5.0  0.053   0.496  -2.121    1.139 -99.999 -99.999  -99.999
  0.10  5.0  0.052   0.499  -2.128    1.142 -99.999 -99.999  -99.999
  0.20  5.0  0.047   0.522  -2.144    1.173 -99.999 -99.999  -99.999
  0.40  5.0  0.026   0.564  -2.192    1.230 -99.999 -99.999  -99.999
  0.70  5.0 -0.026   0.593  -2.238    1.267 -99.999 -95.162  -95.894
  1.00  5.0 -0.098   0.606  -2.266    1.284 -96.217 -66.848  -67.421
  1.50  5.0 -0.246   0.617  -2.283    1.298 -63.523 -44.546  -44.937
  2.00  5.0 -0.383   0.622  -2.185    1.305 -47.181 -33.309  -33.569
  3.00  5.0 -0.476   0.629  -1.663    1.316 -30.849 -22.215  -22.287
  5.00  5.0 -0.502   0.641  -0.852    1.352 -17.820 -13.249  -13.080
 10.00  5.0 -0.509   0.738   0.231    1.655  -8.141  -6.148   -5.637
 30.00  5.0 -0.511   2.178   2.235    3.700  -1.877  -0.242    0.833
100.00  5.0 -0.511   3.350   5.187    6.904   0.178   4.030    5.632
  0.01  6.0  0.215   0.496  -1.270    1.147 -99.999 -99.999  -99.999
  0.10  6.0  0.214   0.499  -1.271    1.151 -99.999 -99.999  -99.999
  0.20  6.0  0.213   0.522  -1.273    1.181 -99.999 -99.999  -99.999
  0.40  6.0  0.206   0.564  -1.282    1.237 -99.999 -99.999  -99.999
  0.70  6.0  0.189   0.593  -1.289    1.274 -99.999 -96.712  -97.444
  1.00  6.0  0.161   0.606  -1.296    1.291 -96.218 -68.151  -68.725
  1.50  6.0  0.093   0.617  -1.301    1.304 -63.525 -45.684  -46.075
  2.00  6.0  0.001   0.622  -1.302    1.312 -47.182 -34.276  -34.536
  3.00  6.0 -0.212   0.629  -1.246    1.321 -30.850 -22.657  -22.729
  5.00  6.0 -0.420   0.642  -0.774    1.356 -17.820 -13.332  -13.163
 10.00  6.0 -0.491   0.739   0.240    1.658  -8.142  -6.157   -5.646
 30.00  6.0 -0.509   2.178   2.235    3.700  -1.877  -0.243    0.833
100.00  6.0 -0.511   3.350   5.187    6.904   0.178   4.030    5.632
  0.01  7.0  0.711   0.496  -0.292    1.228 -99.999 -99.999  -99.999
  0.10  7.0  0.711   0.499  -0.292    1.231 -99.999 -99.999  -99.999
  0.20  7.0  0.711   0.522  -0.296    1.257 -99.999 -99.999  -99.999
  0.40  7.0  0.708   0.564  -0.302    1.304 -99.999 -99.999  -99.999
  0.70  7.0  0.701   0.593  -0.307    1.337 -99.999 -99.999  -99.999
  1.00  7.0  0.689   0.606  -0.307    1.352 -96.230 -70.814  -71.388
  1.50  7.0  0.662   0.617  -0.304    1.365 -63.536 -47.595  -47.986
  2.00  7.0  0.622   0.622  -0.300    1.372 -47.193 -35.842  -36.102
  3.00  7.0  0.510   0.629  -0.286    1.383 -30.861 -23.871  -23.944
  5.00  7.0  0.187   0.643  -0.226    1.414 -17.828 -13.944  -13.774
 10.00  7.0 -0.315   0.740   0.323    1.690  -8.145  -6.246   -5.734
 30.00  7.0 -0.490   2.178   2.238    3.702  -1.877  -0.246    0.830
100.00  7.0 -0.509   3.350   5.187    6.904   0.178   4.030    5.632
  0.01  8.0  1.936   0.496   0.806    1.772 -99.999 -99.999  -99.999
  0.10  8.0  1.936   0.499   0.805    1.773 -99.999 -99.999  -99.999
  0.20  8.0  1.935   0.522   0.801    1.780 -99.999 -99.999  -99.999
  0.40  8.0  1.934   0.564   0.793    1.793 -99.999 -99.999  -99.999
  0.70  8.0  1.931   0.593   0.788    1.804 -99.999 -99.999  -99.999
  1.00  8.0  1.925   0.606   0.786    1.809 -96.318 -77.044  -77.618
  1.50  8.0  1.913   0.617   0.785    1.816 -63.624 -51.798  -52.189
  2.00  8.0  1.895   0.622   0.787    1.821 -47.281 -39.048  -39.308
  3.00  8.0  1.844   0.629   0.794    1.833 -30.946 -26.111  -26.183
  5.00  8.0  1.681   0.643   0.817    1.867 -17.906 -15.449  -15.276
 10.00  8.0  0.982   0.746   0.903    2.022  -8.193  -6.899   -6.371
 30.00  8.0 -0.302   2.180   2.268    3.724  -1.884  -0.277    0.799
100.00  8.0 -0.492   3.351   5.188    6.905   0.178   4.030    5.631
  0.01  9.0  4.671   0.496   2.030    2.997 -99.999 -99.999  -99.999
  0.10  9.0  4.671   0.499   2.029    2.997 -99.999 -99.999  -99.999
  0.20  9.0  4.671   0.522   2.025    2.995 -99.999 -99.999  -99.999
  0.40  9.0  4.671   0.564   2.015    2.990 -99.999 -99.999  -99.999
  0.70  9.0  4.665   0.593   2.007    2.986 -99.999 -99.999  -99.999
  1.00  9.0  4.665   0.606   2.004    2.985 -97.056 -90.854  -91.427
  1.50  9.0  4.660   0.617   2.002    2.986 -64.356 -61.030  -61.420
  2.00  9.0  4.650   0.622   2.001    2.986 -48.002 -45.992  -46.239
  3.00  9.0  4.625   0.629   2.002    2.990 -31.642 -30.783  -30.751
  5.00  9.0  4.551   0.643   2.008    3.006 -18.538 -18.343  -17.912
 10.00  9.0  4.197   0.748   2.022    3.063  -8.648  -8.519   -7.815
 30.00  9.0  1.461   2.188   2.548    3.938  -1.964  -0.571    0.507
100.00  9.0 -0.324   3.353   5.196    6.913   0.175   4.021    5.623
  0.01 10.0 10.608   0.496   3.419    4.543 -99.999 -99.999  -99.999
  0.10 10.0 10.608   0.499   3.419    4.543 -99.999 -99.999  -99.999
  0.20 10.0 10.608   0.522   3.414    4.538 -99.999 -99.999  -99.999
  0.40 10.0 10.608   0.564   3.403    4.529 -99.999 -99.999  -99.999
  0.70 10.0 10.608   0.593   3.395    4.522 -99.999 -99.999  -99.999
  1.00 10.0 10.603   0.606   3.391    4.518 -99.999 -99.999  -99.999
  1.50 10.0 10.603   0.617   3.388    4.517 -80.102 -80.999  -80.473
  2.00 10.0 10.598   0.622   3.387    4.516 -60.120 -60.981  -60.366
  3.00 10.0 10.588   0.629   3.386    4.516 -40.012 -40.801  -40.080
  5.00 10.0 10.552   0.643   3.386    4.518 -23.742 -24.392  -23.580
 10.00 10.0 10.389   0.748   3.374    4.517 -11.309 -11.640  -10.782
 30.00 10.0  8.651   2.196   3.581    4.898  -2.712  -1.775   -0.691
100.00 10.0  1.351   3.369   5.277    6.995   0.139   3.938    5.539
  0.01 11.0 23.419   0.496   5.075    6.386 -99.999 -99.999  -99.999
  0.10 11.0 23.424   0.499   5.075    6.385 -99.999 -99.999  -99.999
  0.20 11.0 23.419   0.522   5.070    6.380 -99.999 -99.999  -99.999
  0.40 11.0 23.419   0.564   5.063    6.372 -99.999 -99.999  -99.999
  0.70 11.0 23.424   0.593   5.057    6.366 -99.999 -99.999  -99.999
  1.00 11.0 23.419   0.606   5.054    6.362 -99.999 -99.999  -99.999
  1.50 11.0 23.419   0.617   5.052    6.360 -99.999 -99.999  -99.999
  2.00 11.0 23.419   0.622   5.051    6.359 -92.428 -93.289  -92.675
  3.00 11.0 23.414   0.629   5.050    6.357 -61.560 -62.349  -61.628
  5.00 11.0 23.399   0.643   5.048    6.355 -36.691 -37.341  -36.529
 10.00 11.0 23.322   0.748   5.028    6.336 -17.826 -18.159  -17.300
 30.00 11.0 22.504   2.197   5.054    6.434  -4.972  -4.103   -3.016
100.00 11.0 14.012   3.438   5.869    7.598  -0.257   3.304    4.903
