 neg. daughter si26 z=14 n=12 a=26 Q= -7.1431
 pos. daughter al26 z=13 n=13 a=26 Q=-12.2076
              +++++++++si26 -->al26 +++++++++---------al26 -->si26 ----------
    t9  lrho   uf   lbeta+  leps-     lnu    lbeta-   leps+   lnubar
  0.01  1.0 -0.003  -0.444  -5.741   -0.137 -99.999 -99.999  -99.999
  0.10  1.0 -0.058  -0.444  -6.230   -0.137 -99.999 -99.999  -99.999
  0.20  1.0 -0.134  -0.444  -6.356   -0.137 -99.999 -99.999  -99.999
  0.40  1.0 -0.306  -0.444  -6.464   -0.137 -80.131 -65.831  -66.808
  0.70  1.0 -0.503  -0.444  -5.892   -0.137 -48.171 -37.975  -38.704
  1.00  1.0 -0.511  -0.444  -4.606   -0.137 -35.380 -27.607  -28.176
  1.50  1.0 -0.511  -0.444  -3.454   -0.136 -25.399 -19.411  -19.795
  2.00  1.0 -0.511  -0.444  -2.794   -0.133 -20.375 -15.200  -15.451
  3.00  1.0 -0.511  -0.445  -2.001   -0.111 -15.228 -10.826  -10.887
  5.00  1.0 -0.511  -0.449  -1.126    0.057  -9.736  -7.037   -6.852
 10.00  1.0 -0.511  -0.293  -0.049    0.923  -4.959  -3.575   -3.030
 30.00  1.0 -0.511   1.739   2.317    3.615  -1.535   0.714    1.797
100.00  1.0 -0.511   2.579   5.255    6.942  -0.347   4.380    5.990
  0.01  2.0 -0.001  -0.444  -4.761   -0.137 -99.999 -99.999  -99.999
  0.10  2.0 -0.038  -0.444  -5.230   -0.137 -99.999 -99.999  -99.999
  0.20  2.0 -0.095  -0.444  -5.356   -0.137 -99.999 -99.999  -99.999
  0.40  2.0 -0.227  -0.444  -5.464   -0.137 -80.131 -66.830  -67.808
  0.70  2.0 -0.446  -0.444  -5.479   -0.137 -48.171 -38.388  -39.117
  1.00  2.0 -0.506  -0.444  -4.584   -0.137 -35.380 -27.629  -28.197
  1.50  2.0 -0.511  -0.444  -3.452   -0.136 -25.399 -19.412  -19.796
  2.00  2.0 -0.511  -0.444  -2.793   -0.133 -20.375 -15.200  -15.451
  3.00  2.0 -0.511  -0.445  -2.001   -0.111 -15.228 -10.826  -10.887
  5.00  2.0 -0.511  -0.449  -1.126    0.057  -9.736  -7.037   -6.852
 10.00  2.0 -0.511  -0.293  -0.049    0.923  -4.959  -3.575   -3.030
 30.00  2.0 -0.511   1.739   2.317    3.615  -1.535   0.714    1.797
100.00  2.0 -0.511   2.579   5.255    6.942  -0.347   4.380    5.990
  0.01  3.0  0.003  -0.444  -3.860   -0.136 -99.999 -99.999  -99.999
  0.10  3.0 -0.018  -0.444  -4.235   -0.137 -99.999 -99.999  -99.999
  0.20  3.0 -0.055  -0.444  -4.358   -0.137 -99.999 -99.999  -99.999
  0.40  3.0 -0.147  -0.444  -4.464   -0.137 -80.131 -67.833  -68.811
  0.70  3.0 -0.314  -0.444  -4.531   -0.137 -48.171 -39.336  -40.065
  1.00  3.0 -0.465  -0.444  -4.379   -0.137 -35.380 -27.835  -28.404
  1.50  3.0 -0.506  -0.444  -3.438   -0.136 -25.399 -19.427  -19.811
  2.00  3.0 -0.510  -0.444  -2.790   -0.133 -20.375 -15.203  -15.455
  3.00  3.0 -0.511  -0.445  -2.000   -0.111 -15.228 -10.826  -10.887
  5.00  3.0 -0.511  -0.449  -1.126    0.057  -9.736  -7.038   -6.852
 10.00  3.0 -0.511  -0.293  -0.049    0.923  -4.959  -3.575   -3.030
 30.00  3.0 -0.511   1.739   2.317    3.615  -1.535   0.714    1.797
100.00  3.0 -0.511   2.579   5.255    6.942  -0.347   4.380    5.990
  0.01  4.0  0.012  -0.444  -3.190   -0.135 -99.999 -99.999  -99.999
  0.10  4.0  0.005  -0.444  -3.287   -0.135 -99.999 -99.999  -99.999
  0.20  4.0 -0.013  -0.444  -3.375   -0.136 -99.999 -99.999  -99.999
  0.40  4.0 -0.067  -0.444  -3.469   -0.136 -80.133 -68.851  -69.829
  0.70  4.0 -0.174  -0.444  -3.533   -0.136 -48.173 -40.342  -41.072
  1.00  4.0 -0.302  -0.444  -3.561   -0.136 -35.381 -28.657  -29.225
  1.50  4.0 -0.464  -0.444  -3.297   -0.135 -25.400 -19.569  -19.953
  2.00  4.0 -0.497  -0.444  -2.759   -0.132 -20.376 -15.235  -15.486
  3.00  4.0 -0.507  -0.445  -1.995   -0.110 -15.228 -10.832  -10.893
  5.00  4.0 -0.510  -0.449  -1.125    0.057  -9.736  -7.038   -6.853
 10.00  4.0 -0.511  -0.293  -0.049    0.923  -4.959  -3.575   -3.030
 30.00  4.0 -0.511   1.739   2.317    3.615  -1.535   0.714    1.797
100.00  4.0 -0.511   2.579   5.255    6.942  -0.347   4.380    5.990
  0.01  5.0  0.053  -0.444  -2.447   -0.127 -99.999 -99.999  -99.999
  0.10  5.0  0.052  -0.444  -2.453   -0.128 -99.999 -99.999  -99.999
  0.20  5.0  0.047  -0.444  -2.466   -0.128 -99.999 -99.999  -99.999
  0.40  5.0  0.026  -0.444  -2.507   -0.129 -80.151 -70.019  -70.997
  0.70  5.0 -0.026  -0.444  -2.546   -0.129 -48.188 -41.409  -42.138
  1.00  5.0 -0.098  -0.444  -2.569   -0.130 -35.394 -29.688  -30.257
  1.50  5.0 -0.246  -0.444  -2.580   -0.130 -25.408 -20.302  -20.686
  2.00  5.0 -0.383  -0.444  -2.477   -0.128 -20.380 -15.523  -15.775
  3.00  5.0 -0.476  -0.445  -1.943   -0.106 -15.230 -10.885  -10.946
