 neg. daughter si31 z=14 n=17 a=31 Q=-22.9487
 pos. daughter al31 z=13 n=18 a=31 Q=-15.1000
              +++++++++si31 -->al31 +++++++++---------al31 -->si31 ----------
    t9  lrho   uf   lbeta+  leps-     lnu    lbeta-   leps+   lnubar
  0.01  1.0 -0.003 -99.999 -99.999  -99.999  -0.112 -99.999    0.471
  0.10  1.0 -0.058 -99.999 -99.999  -99.999  -0.112 -54.056    0.471
  0.20  1.0 -0.134 -99.999 -99.999  -99.999  -0.112 -27.155    0.471
  0.40  1.0 -0.306 -99.999 -99.999  -99.999  -0.112 -13.165    0.471
  0.70  1.0 -0.503 -88.900 -64.499  -65.234  -0.112  -7.386    0.471
  1.00  1.0 -0.511 -62.311 -46.022  -46.599  -0.112  -5.910    0.471
  1.50  1.0 -0.511 -41.631 -31.436  -31.832  -0.112  -4.680    0.471
  2.00  1.0 -0.511 -31.292 -24.025  -24.292  -0.112  -3.980    0.472
  3.00  1.0 -0.511 -20.960 -16.444  -16.526  -0.083  -3.145    0.511
  5.00  1.0 -0.511 -12.713  -9.956   -9.802   0.321  -2.091    0.996
 10.00  1.0 -0.511  -6.628  -4.111   -3.633   1.235  -0.305    1.971
 30.00  1.0 -0.511  -1.170   1.072    2.093   2.158   2.424    3.789
100.00  1.0 -0.511   1.815   4.556    6.176   2.501   5.171    6.851
  0.01  2.0 -0.001 -99.999 -99.999  -99.999  -0.112 -99.999    0.471
  0.10  2.0 -0.038 -99.999 -99.999  -99.999  -0.112 -55.058    0.471
  0.20  2.0 -0.095 -99.999 -99.999  -99.999  -0.112 -28.155    0.471
  0.40  2.0 -0.227 -99.999 -99.999  -99.999  -0.112 -14.165    0.471
  0.70  2.0 -0.446 -88.900 -64.086  -64.821  -0.112  -7.799    0.471
  1.00  2.0 -0.506 -62.311 -46.000  -46.577  -0.112  -5.931    0.471
  1.50  2.0 -0.511 -41.631 -31.434  -31.830  -0.112  -4.681    0.471
  2.00  2.0 -0.511 -31.292 -24.025  -24.291  -0.112  -3.980    0.472
  3.00  2.0 -0.511 -20.960 -16.444  -16.526  -0.083  -3.145    0.511
  5.00  2.0 -0.511 -12.713  -9.956   -9.802   0.321  -2.091    0.996
 10.00  2.0 -0.511  -6.628  -4.111   -3.633   1.235  -0.305    1.971
 30.00  2.0 -0.511  -1.170   1.072    2.093   2.158   2.424    3.789
100.00  2.0 -0.511   1.815   4.556    6.176   2.501   5.171    6.851
  0.01  3.0  0.003 -99.999 -99.999  -99.999  -0.112 -99.999    0.471
  0.10  3.0 -0.018 -99.999 -99.999  -99.999  -0.112 -56.075    0.471
  0.20  3.0 -0.055 -99.999 -99.999  -99.999  -0.112 -29.161    0.471
  0.40  3.0 -0.147 -99.999 -99.999  -99.999  -0.112 -15.167    0.471
  0.70  3.0 -0.314 -88.900 -63.137  -63.872  -0.112  -8.747    0.471
  1.00  3.0 -0.465 -62.311 -45.794  -46.371  -0.112  -6.137    0.471
  1.50  3.0 -0.506 -41.631 -31.420  -31.816  -0.112  -4.695    0.471
  2.00  3.0 -0.510 -31.292 -24.022  -24.288  -0.112  -3.984    0.472
  3.00  3.0 -0.511 -20.960 -16.444  -16.525  -0.083  -3.146    0.511
