 neg. daughter ti40 z=22 n=18 a=40 Q= -9.1500
 pos. daughter sc40 z=21 n=19 a=40 Q=-20.5270
              +++++++++ti40 -->sc40 +++++++++---------sc40 -->ti40 ----------
    t9  lrho   uf   lbeta+  leps-     lnu    lbeta-   leps+   lnubar
  0.01  1.0 -0.003   0.645  -5.122    1.181 -99.999 -99.999  -99.999
  0.10  1.0 -0.058   0.645  -5.625    1.181 -99.999 -99.999  -99.999
  0.20  1.0 -0.134   0.645  -5.766    1.181 -99.999 -99.999  -99.999
  0.40  1.0 -0.306   0.645  -5.897    1.181 -99.999 -99.999  -99.999
  0.70  1.0 -0.503   0.645  -5.348    1.181 -99.999 -83.133  -83.868
  1.00  1.0 -0.511   0.645  -4.080    1.181 -73.276 -59.158  -59.736
  1.50  1.0 -0.511   0.645  -2.951    1.181 -49.280 -40.380  -40.777
  2.00  1.0 -0.511   0.645  -2.309    1.181 -37.285 -30.876  -31.144
  3.00  1.0 -0.511   0.638  -1.552    1.180 -25.296 -21.209  -21.292
  5.00  1.0 -0.511   0.571  -0.787    1.154 -15.651 -13.163  -13.006
 10.00  1.0 -0.511   0.228  -0.060    1.170  -7.928  -6.352   -5.846
 30.00  1.0 -0.511  -0.294   2.080    3.162  -2.170  -0.157    0.945
100.00  1.0 -0.511  -0.547   4.941    6.557  -0.151   3.960    5.607
  0.01  2.0 -0.001   0.645  -4.143    1.181 -99.999 -99.999  -99.999
  0.10  2.0 -0.038   0.645  -4.625    1.181 -99.999 -99.999  -99.999
  0.20  2.0 -0.095   0.645  -4.767    1.181 -99.999 -99.999  -99.999
  0.40  2.0 -0.227   0.645  -4.897    1.181 -99.999 -99.999  -99.999
  0.70  2.0 -0.446   0.645  -4.936    1.181 -99.999 -83.546  -84.281
  1.00  2.0 -0.506   0.645  -4.059    1.181 -73.276 -59.180  -59.758
  1.50  2.0 -0.511   0.645  -2.949    1.181 -49.280 -40.381  -40.778
  2.00  2.0 -0.511   0.645  -2.308    1.181 -37.285 -30.876  -31.144
  3.00  2.0 -0.511   0.638  -1.552    1.180 -25.296 -21.209  -21.292
  5.00  2.0 -0.511   0.571  -0.787    1.154 -15.651 -13.163  -13.006
 10.00  2.0 -0.511   0.228  -0.060    1.170  -7.928  -6.352   -5.846
 30.00  2.0 -0.511  -0.294   2.080    3.162  -2.170  -0.157    0.945
100.00  2.0 -0.511  -0.547   4.941    6.557  -0.151   3.960    5.607
  0.01  3.0  0.003   0.645  -3.242    1.181 -99.999 -99.999  -99.999
  0.10  3.0 -0.018   0.645  -3.631    1.181 -99.999 -99.999  -99.999
  0.20  3.0 -0.055   0.645  -3.769    1.181 -99.999 -99.999  -99.999
  0.40  3.0 -0.147   0.645  -3.897    1.181 -99.999 -99.999  -99.999
  0.70  3.0 -0.314   0.645  -3.988    1.181 -99.999 -84.494  -85.230
  1.00  3.0 -0.465   0.645  -3.853    1.181 -73.276 -59.386  -59.964
  1.50  3.0 -0.506   0.645  -2.935    1.181 -49.280 -40.396  -40.793
  2.00  3.0 -0.510   0.645  -2.305    1.181 -37.285 -30.879  -31.147
  3.00  3.0 -0.511   0.638  -1.551    1.180 -25.296 -21.210  -21.293
