 neg. daughter ti45 z=22 n=23 a=45 Q=-39.0040
 pos. daughter sc45 z=21 n=24 a=45 Q=-41.0665
              +++++++++ti45 -->sc45 +++++++++---------sc45 -->ti45 ----------
    t9  lrho   uf   lbeta+  leps-     lnu    lbeta-   leps+   lnubar
  0.01  1.0 -0.003  -4.234  -7.616   -4.441 -99.999 -99.999  -99.999
  0.10  1.0 -0.058  -4.238  -8.117   -4.446 -99.999 -99.999  -99.999
  0.20  1.0 -0.134  -4.270  -8.264   -4.479 -61.944 -56.758  -58.034
  0.40  1.0 -0.306  -4.327  -8.401   -4.538 -35.617 -29.327  -30.291
  0.70  1.0 -0.503  -4.367  -7.845   -4.578 -24.338 -17.612  -18.316
  1.00  1.0 -0.511  -4.383  -6.563   -4.586 -19.830 -13.665  -14.202
  1.50  1.0 -0.511  -4.391  -5.402   -4.476 -16.338 -10.430  -10.769
  2.00  1.0 -0.511  -4.384  -4.721   -4.170 -14.616  -8.667   -8.863
  3.00  1.0 -0.511  -4.327  -3.874   -3.443 -12.950  -6.703   -6.696
  5.00  1.0 -0.511  -3.965  -2.872   -2.351  -8.806  -4.798   -4.540
 10.00  1.0 -0.511  -2.029  -1.472   -0.626  -3.463  -2.759   -2.082
 30.00  1.0 -0.511   0.680   1.642    2.879   0.094   0.733    1.930
100.00  1.0 -0.511   2.158   4.918    6.599   1.255   4.368    5.988
  0.01  2.0 -0.001  -4.234  -6.637   -4.436 -99.999 -99.999  -99.999
  0.10  2.0 -0.038  -4.238  -7.118   -4.444 -99.999 -99.999  -99.999
  0.20  2.0 -0.095  -4.270  -7.265   -4.478 -61.945 -57.759  -59.034
  0.40  2.0 -0.227  -4.327  -7.401   -4.537 -35.618 -30.327  -31.290
  0.70  2.0 -0.446  -4.367  -7.433   -4.577 -24.338 -18.025  -18.729
  1.00  2.0 -0.506  -4.383  -6.541   -4.585 -19.830 -13.687  -14.223
  1.50  2.0 -0.511  -4.391  -5.400   -4.476 -16.338 -10.432  -10.771
  2.00  2.0 -0.511  -4.384  -4.721   -4.170 -14.616  -8.667   -8.863
  3.00  2.0 -0.511  -4.327  -3.874   -3.443 -12.950  -6.703   -6.696
  5.00  2.0 -0.511  -3.965  -2.872   -2.351  -8.806  -4.798   -4.540
 10.00  2.0 -0.511  -2.029  -1.472   -0.626  -3.463  -2.759   -2.082
 30.00  2.0 -0.511   0.680   1.642    2.879   0.094   0.733    1.930
100.00  2.0 -0.511   2.158   4.918    6.599   1.255   4.368    5.988
  0.01  3.0  0.003  -4.234  -5.736   -4.399 -99.999 -99.999  -99.999
  0.10  3.0 -0.018  -4.238  -6.123   -4.428 -99.999 -99.999  -99.999
  0.20  3.0 -0.055  -4.270  -6.267   -4.465 -61.955 -58.764  -60.040
  0.40  3.0 -0.147  -4.327  -6.401   -4.526 -35.622 -31.330  -32.293
  0.70  3.0 -0.314  -4.367  -6.485   -4.568 -24.340 -18.973  -19.678
  1.00  3.0 -0.465  -4.383  -6.336   -4.579 -19.831 -13.893  -14.429
  1.50  3.0 -0.506  -4.391  -5.386   -4.472 -16.339 -10.446  -10.785
  2.00  3.0 -0.510  -4.384  -4.718   -4.168 -14.616  -8.670   -8.867
  3.00  3.0 -0.511  -4.327  -3.874   -3.442 -12.950  -6.703   -6.696
  5.00  3.0 -0.511  -3.965  -2.872   -2.351  -8.806  -4.798   -4.540
 10.00  3.0 -0.511  -2.029  -1.472   -0.626  -3.463  -2.759   -2.082
 30.00  3.0 -0.511   0.680   1.642    2.879   0.094   0.733    1.930
100.00  3.0 -0.511   2.158   4.918    6.599   1.255   4.368    5.988
  0.01  4.0  0.012  -4.234  -5.071   -4.271 -99.999 -99.999  -99.999
  0.10  4.0  0.005  -4.238  -5.179   -4.306 -99.999 -99.999  -99.999
  0.20  4.0 -0.013  -4.270  -5.286   -4.359 -62.060 -59.819  -61.093
  0.40  4.0 -0.067  -4.327  -5.406   -4.435 -35.665 -32.348  -33.311
  0.70  4.0 -0.174  -4.367  -5.487   -4.483 -24.359 -19.980  -20.684
  1.00  4.0 -0.302  -4.383  -5.518   -4.501 -19.841 -14.715  -15.251
  1.50  4.0 -0.464  -4.391  -5.245   -4.432 -16.342 -10.588  -10.927
  2.00  4.0 -0.497  -4.384  -4.687   -4.148 -14.617  -8.702   -8.898
  3.00  4.0 -0.507  -4.327  -3.868   -3.437 -12.951  -6.709   -6.701
  5.00  4.0 -0.510  -3.965  -2.871   -2.350  -8.806  -4.799   -4.541
 10.00  4.0 -0.511  -2.029  -1.472   -0.626  -3.463  -2.759   -2.082
 30.00  4.0 -0.511   0.680   1.642    2.879   0.094   0.733    1.930
100.00  4.0 -0.511   2.158   4.918    6.599   1.255   4.368    5.988
  0.01  5.0  0.053  -4.234  -4.357   -3.894 -99.999 -99.999  -99.999
  0.10  5.0  0.052  -4.238  -4.366   -3.902 -99.999 -99.999  -99.999
  0.20  5.0  0.047  -4.270  -4.390   -3.934 -62.956 -61.326  -62.597
  0.40  5.0  0.026  -4.327  -4.450   -4.001 -36.048 -33.516  -34.479
  0.70  5.0 -0.026  -4.367  -4.502   -4.050 -24.534 -21.046  -21.751
  1.00  5.0 -0.098  -4.383  -4.527   -4.069 -19.941 -15.746  -16.283
  1.50  5.0 -0.246  -4.390  -4.527   -4.060 -16.388 -11.322  -11.660
  2.00  5.0 -0.383  -4.382  -4.404   -3.949 -14.638  -8.990   -9.187
  3.00  5.0 -0.476  -4.326  -3.816   -3.389 -12.957  -6.762   -6.755
  5.00  5.0 -0.502  -3.964  -2.863   -2.342  -8.806  -4.808   -4.550
 10.00  5.0 -0.509  -2.029  -1.471   -0.626  -3.463  -2.760   -2.082
 30.00  5.0 -0.511   0.680   1.642    2.879   0.094   0.733    1.930
100.00  5.0 -0.511   2.158   4.918    6.599   1.255   4.368    5.988
  0.01  6.0  0.215  -4.234  -3.531   -3.170 -99.999 -99.999  -99.999
  0.10  6.0  0.214  -4.238  -3.532   -3.172 -99.999 -99.999  -99.999
  0.20  6.0  0.213  -4.270  -3.537   -3.186 -67.117 -65.511  -66.782
  0.40  6.0  0.206  -4.327  -3.549   -3.212 -38.123 -35.789  -36.752
  0.70  6.0  0.189  -4.367  -3.553   -3.221 -25.666 -22.596  -23.300
  1.00  6.0  0.161  -4.383  -3.552   -3.218 -20.670 -17.049  -17.586
  1.50  6.0  0.093  -4.390  -3.539   -3.193 -16.799 -12.460  -12.798
  2.00  6.0  0.001  -4.381  -3.514   -3.151 -14.888  -9.957  -10.153
  3.00  6.0 -0.212  -4.319  -3.395   -2.988 -13.050  -7.204   -7.197
  5.00  6.0 -0.420  -3.960  -2.784   -2.265  -8.806  -4.890   -4.632
 10.00  6.0 -0.491  -2.028  -1.462   -0.618  -3.463  -2.769   -2.090
 30.00  6.0 -0.509   0.680   1.642    2.879   0.094   0.732    1.930
100.00  6.0 -0.511   2.158   4.918    6.599   1.255   4.368    5.988
  0.01  7.0  0.711  -4.234  -2.502   -2.104 -99.999 -99.999  -99.999
  0.10  7.0  0.711  -4.238  -2.502   -2.105 -99.999 -99.999  -99.999
  0.20  7.0  0.711  -4.270  -2.505   -2.116 -79.659 -78.053  -79.324
