 neg. daughter v53  z=23 n=30 a=53 Q=-51.8633
 pos. daughter ti53 z=22 n=31 a=53 Q=-46.8410
              +++++++++v53  -->ti53 +++++++++---------ti53 -->v53  ----------
    t9  lrho   uf   lbeta+  leps-     lnu    lbeta-   leps+   lnubar
  0.01  1.0 -0.003 -99.999 -99.999  -99.999  -1.666 -99.999   -1.426
  0.10  1.0 -0.058 -99.999 -99.999  -99.999  -1.666 -55.086   -1.426
  0.20  1.0 -0.134 -99.999 -99.999  -99.999  -1.666 -28.050   -1.426
  0.40  1.0 -0.306 -99.999 -73.256  -74.233  -1.664 -13.959   -1.424
  0.70  1.0 -0.503 -63.309 -45.168  -45.895  -1.631  -8.105   -1.377
  1.00  1.0 -0.511 -44.651 -32.785  -33.351  -1.544  -6.566   -1.257
  1.50  1.0 -0.511 -30.138 -22.881  -23.263  -1.340  -5.232   -0.996
  2.00  1.0 -0.511 -22.864 -17.749  -17.999  -1.158  -4.440   -0.778
  3.00  1.0 -0.511 -15.555 -12.378  -12.440  -0.936  -3.485   -0.523
  5.00  1.0 -0.511  -9.690  -7.742   -7.553  -0.698  -2.469   -0.211
 10.00  1.0 -0.511  -5.388  -3.451   -2.893   0.444  -0.906    1.136
 30.00  1.0 -0.511  -0.524   1.245    2.318   1.765   2.077    3.400
100.00  1.0 -0.511   1.599   4.731    6.381   2.157   5.011    6.659
  0.01  2.0 -0.001 -99.999 -99.999  -99.999  -1.666 -99.999   -1.426
  0.10  2.0 -0.038 -99.999 -99.999  -99.999  -1.666 -56.088   -1.426
  0.20  2.0 -0.095 -99.999 -99.999  -99.999  -1.666 -29.051   -1.426
  0.40  2.0 -0.227 -99.999 -72.257  -73.233  -1.664 -14.958   -1.424
  0.70  2.0 -0.446 -63.309 -44.755  -45.482  -1.631  -8.518   -1.377
  1.00  2.0 -0.506 -44.651 -32.763  -33.330  -1.544  -6.588   -1.257
  1.50  2.0 -0.511 -30.138 -22.879  -23.261  -1.340  -5.233   -0.996
  2.00  2.0 -0.511 -22.864 -17.749  -17.999  -1.158  -4.440   -0.778
  3.00  2.0 -0.511 -15.555 -12.378  -12.440  -0.936  -3.485   -0.523
  5.00  2.0 -0.511  -9.690  -7.742   -7.553  -0.698  -2.469   -0.211
 10.00  2.0 -0.511  -5.388  -3.451   -2.893   0.444  -0.906    1.136
 30.00  2.0 -0.511  -0.524   1.245    2.318   1.765   2.077    3.400
100.00  2.0 -0.511   1.599   4.731    6.381   2.157   5.011    6.659
  0.01  3.0  0.003 -99.999 -99.999  -99.999  -1.666 -99.999   -1.426
  0.10  3.0 -0.018 -99.999 -99.999  -99.999  -1.666 -57.105   -1.426
  0.20  3.0 -0.055 -99.999 -99.999  -99.999  -1.666 -30.056   -1.426
  0.40  3.0 -0.147 -99.999 -71.254  -72.230  -1.664 -15.961   -1.424
  0.70  3.0 -0.314 -63.309 -43.806  -44.534  -1.631  -9.467   -1.377
  1.00  3.0 -0.465 -44.651 -32.557  -33.123  -1.544  -6.794   -1.257
  1.50  3.0 -0.506 -30.138 -22.865  -23.247  -1.340  -5.248   -0.996
  2.00  3.0 -0.510 -22.864 -17.745  -17.996  -1.158  -4.443   -0.778
  3.00  3.0 -0.511 -15.555 -12.377  -12.440  -0.936  -3.486   -0.523
  5.00  3.0 -0.511  -9.690  -7.742   -7.553  -0.698  -2.469   -0.211
 10.00  3.0 -0.511  -5.388  -3.451   -2.893   0.444  -0.906    1.136
 30.00  3.0 -0.511  -0.524   1.245    2.318   1.765   2.077    3.400
100.00  3.0 -0.511   1.599   4.731    6.381   2.157   5.011    6.659
  0.01  4.0  0.012 -99.999 -99.999  -99.999  -1.666 -99.999   -1.427
  0.10  4.0  0.005 -99.999 -99.999  -99.999  -1.666 -58.261   -1.427
  0.20  4.0 -0.013 -99.999 -99.999  -99.999  -1.666 -31.111   -1.427
  0.40  4.0 -0.067 -99.999 -70.236  -71.212  -1.664 -16.979   -1.424
  0.70  4.0 -0.174 -63.309 -42.800  -43.527  -1.631 -10.473   -1.377
  1.00  4.0 -0.302 -44.651 -31.735  -32.302  -1.544  -7.616   -1.258
  1.50  4.0 -0.464 -30.138 -22.723  -23.105  -1.340  -5.389   -0.996
  2.00  4.0 -0.497 -22.864 -17.714  -17.964  -1.158  -4.474   -0.778
  3.00  4.0 -0.507 -15.555 -12.372  -12.434  -0.936  -3.491   -0.523
  5.00  4.0 -0.510  -9.690  -7.741   -7.552  -0.698  -2.470   -0.211
 10.00  4.0 -0.511  -5.388  -3.451   -2.893   0.444  -0.907    1.136
 30.00  4.0 -0.511  -0.524   1.245    2.318   1.765   2.077    3.400
100.00  4.0 -0.511   1.599   4.731    6.381   2.157   5.011    6.659
  0.01  5.0  0.053 -99.999 -99.999  -99.999  -1.669 -99.999   -1.431
  0.10  5.0  0.052 -99.999 -99.999  -99.999  -1.668 -60.605   -1.430
  0.20  5.0  0.047 -99.999 -99.999  -99.999  -1.668 -32.618   -1.430
  0.40  5.0  0.026 -99.999 -69.068  -70.044  -1.666 -18.147   -1.427
  0.70  5.0 -0.026 -63.309 -41.734  -42.461  -1.633 -11.540   -1.380
  1.00  5.0 -0.098 -44.651 -30.704  -31.270  -1.545  -8.647   -1.259
  1.50  5.0 -0.246 -30.138 -21.989  -22.371  -1.341  -6.121   -0.997
  2.00  5.0 -0.383 -22.864 -17.425  -17.676  -1.159  -4.761   -0.779
  3.00  5.0 -0.476 -15.555 -12.318  -12.381  -0.936  -3.544   -0.524
  5.00  5.0 -0.502  -9.690  -7.733   -7.544  -0.698  -2.478   -0.211
 10.00  5.0 -0.509  -5.388  -3.450   -2.892   0.444  -0.907    1.136
 30.00  5.0 -0.511  -0.524   1.245    2.318   1.765   2.077    3.400
100.00  5.0 -0.511   1.599   4.731    6.381   2.157   5.011    6.659
  0.01  6.0  0.215 -99.999 -99.999  -99.999  -1.681 -99.999   -1.450
  0.10  6.0  0.214 -99.999 -99.999  -99.999  -1.682 -68.795   -1.451
  0.20  6.0  0.213 -99.999 -99.999  -99.999  -1.682 -36.803   -1.451
  0.40  6.0  0.206 -99.999 -66.795  -67.771  -1.680 -20.420   -1.448
  0.70  6.0  0.189 -63.309 -40.184  -40.911  -1.645 -13.089   -1.398
  1.00  6.0  0.161 -44.651 -29.401  -29.967  -1.556  -9.950   -1.275
  1.50  6.0  0.093 -30.138 -20.851  -21.233  -1.349  -7.259   -1.007
  2.00  6.0  0.001 -22.864 -16.459  -16.709  -1.164  -5.726   -0.787
  3.00  6.0 -0.212 -15.553 -11.876  -11.939  -0.939  -3.980   -0.529
  5.00  6.0 -0.420  -9.688  -7.650   -7.462  -0.699  -2.558   -0.215
 10.00  6.0 -0.491  -5.387  -3.441   -2.883   0.443  -0.916    1.135
 30.00  6.0 -0.509  -0.524   1.245    2.318   1.765   2.077    3.400
100.00  6.0 -0.511   1.599   4.731    6.381   2.157   5.011    6.659
  0.01  7.0  0.711 -99.999 -99.999  -99.999  -1.783 -99.999   -1.588
  0.10  7.0  0.711 -99.999 -99.999  -99.999  -1.783 -93.854   -1.588
  0.20  7.0  0.711 -99.999 -99.999  -99.999  -1.783 -49.345   -1.589
  0.40  7.0  0.708 -99.999 -60.472  -61.448  -1.781 -26.743   -1.585
  0.70  7.0  0.701 -63.309 -36.501  -37.228  -1.741 -16.772   -1.526
  1.00  7.0  0.689 -44.651 -26.738  -27.304  -1.640 -12.613   -1.382
  1.50  7.0  0.662 -30.138 -18.940  -19.322  -1.412  -9.170   -1.085
  2.00  7.0  0.622 -22.864 -14.894  -15.144  -1.214  -7.291   -0.849
  3.00  7.0  0.510 -15.552 -10.662  -10.725  -0.970  -5.191   -0.572
  5.00  7.0  0.187  -9.679  -7.039   -6.854  -0.716  -3.157   -0.245
 10.00  7.0 -0.315  -5.377  -3.353   -2.795   0.441  -1.000    1.125
 30.00  7.0 -0.490  -0.524   1.248    2.321   1.764   2.074    3.397
100.00  7.0 -0.509   1.599   4.731    6.381   2.157   5.011    6.658
  0.01  8.0  1.936 -99.999 -99.999  -99.999  -2.412 -99.999   -2.312
  0.10  8.0  1.936 -99.999 -99.999  -99.999  -2.405 -99.999   -2.303
  0.20  8.0  1.935 -99.999 -84.827  -86.108  -2.400 -80.199   -2.296
  0.40  8.0  1.934 -99.999 -45.031  -46.008  -2.392 -42.189   -2.285
  0.70  8.0  1.931 -63.309 -27.651  -28.378  -2.301 -25.628   -2.156
  1.00  8.0  1.925 -44.651 -20.513  -21.079  -2.104 -18.843   -1.894
  1.50  8.0  1.913 -30.138 -14.735  -15.118  -1.746 -13.373   -1.465
  2.00  8.0  1.895 -22.864 -11.673  -11.928  -1.483 -10.498   -1.170
  3.00  8.0  1.844 -15.552  -8.420   -8.484  -1.189  -7.430   -0.847
  5.00  8.0  1.681  -9.677  -5.544   -5.362  -0.865  -4.659   -0.426
 10.00  8.0  0.982  -5.341  -2.708   -2.156   0.409  -1.638    1.056
 30.00  8.0 -0.302  -0.522   1.279    2.352   1.759   2.044    3.369
100.00  8.0 -0.492   1.600   4.732    6.382   2.156   5.010    6.658
  0.01  9.0  4.671 -99.999 -99.999  -99.999  -6.467 -99.999   -7.491
  0.10  9.0  4.671 -99.999 -27.214  -28.801  -6.334 -99.999   -7.301
  0.20  9.0  4.671 -99.999 -17.444  -18.728  -6.300 -99.999   -7.227
  0.40  9.0  4.671 -99.999 -12.103  -13.082  -6.076 -76.668   -6.823
  0.70  9.0  4.665 -63.309  -9.392  -10.123  -5.166 -45.319   -5.569
  1.00  9.0  4.665 -44.651  -7.900   -8.467  -4.361 -32.653   -4.618
  1.50  9.0  4.660 -30.138  -6.372   -6.745  -3.547 -22.605   -3.705
  2.00  9.0  4.650 -22.864  -5.379   -5.597  -3.080 -17.441   -3.175
  3.00  9.0  4.625 -15.552  -4.134   -4.135  -2.565 -12.102   -2.550
  5.00  9.0  4.551  -9.676  -2.815   -2.584  -1.673  -7.552   -1.290
 10.00  9.0  4.197  -5.330  -1.143   -0.610   0.124  -3.253    0.668
 30.00  9.0  1.461  -0.504   1.571    2.642   1.698   1.758    3.110
100.00  9.0 -0.324   1.602   4.740    6.390   2.153   5.002    6.649
  0.01 10.0 10.608 -99.999   1.109    1.386 -99.999 -99.999  -99.999
  0.10 10.0 10.608 -99.999   1.110    1.387 -99.999 -99.999  -99.999
  0.20 10.0 10.608 -99.999   1.110    1.387 -99.999 -99.999  -99.999
  0.40 10.0 10.608 -99.999   1.112    1.392 -73.567 -99.999  -74.556
  0.70 10.0 10.608 -63.309   1.120    1.407 -42.650 -88.108  -43.398
  1.00 10.0 10.603 -44.651   1.127    1.422 -30.072 -62.579  -30.668
  1.50 10.0 10.603 -30.138   1.145    1.453 -20.159 -42.573  -20.583
  2.00 10.0 10.598 -22.864   1.162    1.481 -15.103 -32.430  -15.406
  3.00 10.0 10.588 -15.552   1.202    1.543  -9.944 -22.121  -10.080
  5.00 10.0 10.552  -9.676   1.304    1.700  -5.617 -13.601   -5.550
 10.00 10.0 10.389  -5.330   1.639    2.207  -1.966  -6.373   -1.651
 30.00 10.0  8.651  -0.485   2.725    3.800   1.069   0.561    2.047
100.00 10.0  1.351   1.626   4.822    6.473   2.120   4.920    6.566
  0.01 11.0 23.419 -99.999   4.305    5.376 -99.999 -99.999  -99.999
  0.10 11.0 23.424 -99.999   4.306    5.377 -99.999 -99.999  -99.999
  0.20 11.0 23.419 -99.999   4.305    5.376 -99.999 -99.999  -99.999
  0.40 11.0 23.419 -99.999   4.305    5.376 -99.999 -99.999  -99.999
  0.70 11.0 23.424 -63.309   4.306    5.378 -99.999 -99.999  -99.999
  1.00 11.0 23.419 -44.651   4.306    5.378 -94.664 -99.999  -95.260
  1.50 11.0 23.419 -30.138   4.307    5.379 -63.221 -85.635  -63.644
  2.00 11.0 23.419 -22.864   4.308    5.380 -47.412 -64.739  -47.715
  3.00 11.0 23.414 -15.552   4.309    5.383 -31.491 -43.668  -31.628
  5.00 11.0 23.399  -9.676   4.312    5.388 -18.565 -26.550  -18.499
 10.00 11.0 23.322  -5.330   4.326    5.414  -8.472 -12.892   -8.163
 30.00 11.0 22.504  -0.483   4.494    5.710  -1.144  -1.765   -0.242
100.00 11.0 14.012   1.725   5.425    7.088   1.743   4.289    5.933
