 neg. daughter zn57 z=30 n=27 a=57 Q=-32.6113
 pos. daughter cu57 z=29 n=28 a=57 Q=-47.6000
              +++++++++zn57 -->cu57 +++++++++---------cu57 -->zn57 ----------
    t9  lrho   uf   lbeta+  leps-     lnu    lbeta-   leps+   lnubar
  0.01  1.0 -0.003   1.166  -4.751    1.869 -99.999 -99.999  -99.999
  0.10  1.0 -0.058   1.166  -5.256    1.869 -99.999 -99.999  -99.999
  0.20  1.0 -0.134   1.166  -5.403    1.869 -99.999 -99.999  -99.999
  0.40  1.0 -0.306   1.166  -5.544    1.869 -99.999 -99.999  -99.999
  0.70  1.0 -0.503   1.166  -5.008    1.869 -99.999 -99.999  -99.999
  1.00  1.0 -0.511   1.166  -3.750    1.869 -80.403 -75.829  -76.409
  1.50  1.0 -0.511   1.166  -2.633    1.869 -54.645 -50.966  -51.366
  2.00  1.0 -0.511   1.166  -2.001    1.869 -41.778 -38.424  -38.695
  3.00  1.0 -0.511   1.162  -1.253    1.870 -28.943 -25.731  -25.818
  5.00  1.0 -0.511   1.183  -0.476    1.948 -18.662 -15.300  -15.147
 10.00  1.0 -0.511   1.691   0.604    2.655  -8.626  -6.803   -6.307
 30.00  1.0 -0.511   2.598   2.977    4.400  -1.502   0.237    1.268
100.00  1.0 -0.511   2.954   5.606    7.294   0.789   4.374    5.982
  0.01  2.0 -0.001   1.166  -3.771    1.869 -99.999 -99.999  -99.999
  0.10  2.0 -0.038   1.166  -4.257    1.869 -99.999 -99.999  -99.999
  0.20  2.0 -0.095   1.166  -4.403    1.869 -99.999 -99.999  -99.999
  0.40  2.0 -0.227   1.166  -4.544    1.869 -99.999 -99.999  -99.999
  0.70  2.0 -0.446   1.166  -4.595    1.869 -99.999 -99.999  -99.999
  1.00  2.0 -0.506   1.166  -3.728    1.869 -80.403 -75.850  -76.430
  1.50  2.0 -0.511   1.166  -2.631    1.869 -54.645 -50.967  -51.367
  2.00  2.0 -0.511   1.166  -2.001    1.869 -41.778 -38.424  -38.695
  3.00  2.0 -0.511   1.162  -1.253    1.870 -28.943 -25.731  -25.818
  5.00  2.0 -0.511   1.183  -0.476    1.948 -18.662 -15.300  -15.147
 10.00  2.0 -0.511   1.691   0.604    2.655  -8.626  -6.803   -6.307
 30.00  2.0 -0.511   2.598   2.977    4.400  -1.502   0.237    1.268
100.00  2.0 -0.511   2.954   5.606    7.294   0.789   4.374    5.982
  0.01  3.0  0.003   1.166  -2.871    1.869 -99.999 -99.999  -99.999
  0.10  3.0 -0.018   1.166  -3.262    1.869 -99.999 -99.999  -99.999
  0.20  3.0 -0.055   1.166  -3.405    1.869 -99.999 -99.999  -99.999
  0.40  3.0 -0.147   1.166  -3.544    1.869 -99.999 -99.999  -99.999
  0.70  3.0 -0.314   1.166  -3.647    1.869 -99.999 -99.999  -99.999
  1.00  3.0 -0.465   1.166  -3.522    1.869 -80.403 -76.056  -76.636
  1.50  3.0 -0.506   1.166  -2.617    1.869 -54.646 -50.982  -51.382
  2.00  3.0 -0.510   1.166  -1.998    1.869 -41.778 -38.427  -38.699
  3.00  3.0 -0.511   1.162  -1.253    1.870 -28.943 -25.732  -25.819
  5.00  3.0 -0.511   1.183  -0.476    1.948 -18.662 -15.300  -15.147
 10.00  3.0 -0.511   1.691   0.604    2.655  -8.626  -6.803   -6.307
 30.00  3.0 -0.511   2.598   2.977    4.400  -1.502   0.237    1.268
100.00  3.0 -0.511   2.954   5.606    7.294   0.789   4.374    5.982
  0.01  4.0  0.012   1.166  -2.208    1.869 -99.999 -99.999  -99.999
